ACCOUNTING_MODEL_ID,ACCOUNTING_MODEL_NAME,CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,IDENTITY_MODEL,IS_DEFAULT,LAST_OPER_ID,LAST_OPER_TIME,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            <endrec>
"2","Organization Accounting Model","203000000000010002","2014-03-28 10:23:52.484000","Organization Accounting Model","1","1","203000000000010164","2014-12-06 22:07:44.398000","50","30007008"<endrec>
"23","Aggregator Accounting Model","203000000000010002","2014-04-03 18:24:35.685000","Aggregator Accounting Model","0","1","203000000000010164","2014-12-06 22:07:31.404000","50","30013135"<endrec>
"23","Aggregator Accounting Model","203000000000010164","2014-12-06 22:07:25.016000","Aggregator Accounting Model","0","1","203000000000010164","2014-12-06 22:07:31.418000","30","30135103"<endrec>
"2","Organization Accounting Model","203000000000010164","2014-12-06 22:07:38.441000","Organization Accounting Model","1","1","203000000000028306","2017-11-15 07:17:49.976000","50","30135104"<endrec>
"34","Shared Account","203000000000010809","2016-01-14 02:33:14.851000","","1","0","203000000000010806","2017-01-03 08:09:28.666000","50","937178693"<endrec>
"34","Shared Account","203000000000010806","2017-01-03 08:09:18.362000","","1","0","203000000000010806","2017-01-03 08:17:14.224000","50","937254754"<endrec>
"34","Shared Account","203000000000010806","2017-01-03 08:17:04.565000","","1","1","203000000000025034","2018-03-30 09:38:23.342000","50","937254755"<endrec>
"2","Organization Accounting Model","203000000000028306","2017-11-15 07:17:42.089000","Organization Accounting Model","1","1","203000000000025034","2018-03-30 09:46:01.199000","50","937428180"<endrec>
"34","Shared Account","203000000000025034","2018-03-30 09:38:15.438000","","1","1","203000000000025034","2018-03-30 09:38:23.355000","30","937472569"<endrec>
"2","Organization Accounting Model","203000000000025034","2018-03-30 09:45:47.256000","Organization Accounting Model","1","1","203000000000025034","2018-04-11 05:47:25.450000","50","937472570"<endrec>
"2","Organization Accounting Model","203000000000025034","2018-04-11 05:47:16.818000","Organization Accounting Model","1","1","203000000000025034","2018-04-11 05:52:34.546000","50","937475543"<endrec>
"2","Organization Accounting Model","203000000000025034","2018-04-11 05:52:28.047000","Organization Accounting Model","1","1","203000000000025034","2018-04-11 06:09:58.594000","50","937475544"<endrec>
"2","Organization Accounting Model","203000000000025034","2018-04-11 06:09:51.000000","Organization Accounting Model","1","1","203000000000025034","2018-04-17 15:49:10.941000","50","937475545"<endrec>
"2","Organization Accounting Model","203000000000025034","2018-04-17 15:48:55.379000","Organization Accounting Model","1","1","203000000000025034","2018-04-17 15:49:10.947000","30","937476564"<endrec>
