ACCOUNT_MODEL,ACCOUNT_TYPE_ALIAS,ACCOUNT_TYPE_ID,ACCOUNT_TYPE_NAME,APPLY_CREDIT_LIMIT,BALANCE_DIRECTION,CREATE_OPER_ID,CREATE_OPER_TIME,CURRENCY,CUSTOMER_APPLIED,DEBIT_QUERY_BALANCE,DESCRIPTION,EXCLUDE_LIMIT,FOR_CHARGE_CREDIT,FOR_CHARGE_DEBIT,FOR_TAX_CREDIT,FOR_TAX_DEBIT,GROUP_APPLIED,ISLOYALTYPROVIDERACCT,IS_ALLOW_OVER_DRAW,IS_SHARABLE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,ORGANIZATION_APPLIED,REALTIME_UPDATE,SP_APPLIED,STATUS,STATUS_GROUP,UNIQUE_ID,VALUE_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"1003","Control Account","10001","Control Account","","1","203000000000010002","2014-03-06 10:26:45.294000","TZS","false","","Control Account for the trust holding account","false","false","false","false","false","False","","false","0","203000000000010002","2014-03-21 10:46:20.777000","2014-03-21 10:46:20.777000","false","true","true","50","1000|1002","20003","1001"<endrec>
"1001","M-PESA Account For Customer","10011","M-PESA Account","","2","203000000000010002","2014-03-10 11:13:03.984000","TZS","true","","M-PESA Account For Customer","false","false","true","false","false","False","","false","0","203000000000010002","2014-03-11 14:10:32.044000","2014-03-11 14:10:32.044000","false","true","false","50","1004|1005|1006|1000|1002","20004","1001"<endrec>
"1001","Float Account","10013","Float Account","","2","203000000000010002","2014-03-10 12:25:39.776000","TZS","false","","The float account is used to carry out Agent operations such as deposit and withdrawal of funds","false","false","true","false","false","False","","false","0","203000000000010503","2015-07-17 16:52:57.582000","2015-07-17 16:52:57.582000","true","true","false","50","1004|1005|1000|1002|1006","20007","1001"<endrec>
"1001","M-PESA Commission Received Account For SP","10014","M-PESA Commission Received Account For SP","","2","203000000000010002","2014-03-10 16:43:16.869000","TZS","false","","M-PESA Commission Received Account For SP","true","true","false","false","false","False","","false","0","203000000000010002","2014-03-19 13:46:10.913000","2014-03-19 13:46:10.913000","false","false","true","50","1000|1002","20026","1001"<endrec>
"1001","Utility Account","10015","Utility Account","","2","203000000000010002","2014-03-10 17:16:36.251000","TZS","false","","A trading account for businesses to send and receive payments to and from customers","false","false","true","false","false","False","","false","0","203000000000010002","2014-03-10 17:16:43.340000","2014-03-10 17:16:43.340000","true","true","false","30","1004|1005|1006|1000|1002","20035","1001"<endrec>
"1001","Charges Paid Account","10016","Charges Paid Account","","2","203000000000010002","2014-03-10 17:20:36.327000","TZS","false","","Charges Paid Account","false","false","true","false","false","False","","false","1","203000000000010002","2014-03-21 10:08:18.542000","2014-03-21 10:08:18.542000","true","true","false","50","1004|1005|1006|1000|1002","20036","1001"<endrec>
"1001","MMF Customer Account","10011","M-PESA Account","","2","203000000000010002","2014-03-11 14:10:26.389000","TZS","true","","MMF Account For Customer","false","true","true","false","false","False","","false","0","203000000000010164","2014-12-09 15:54:40.575000","2014-12-09 15:54:40.575000","false","true","false","50","1004|1005|1000|1002|1006","20051","1001"<endrec>
"1001","Financial Services Account","10017","Financial Services Account","0","2","203000000000010002","2014-03-11 18:53:21.059000","TZS","false","","Used by Financial Institutions for credit and savings client transactions","false","false","true","false","false","false","false","false","0","203000000000019121","2017-09-25 08:03:50.090000","2017-09-25 07:46:49.000000","true","true","false","50","1004|1005|1006|1000|1002","20088","1001"<endrec>
"1001","Commission Paid Account","10018","M-PESA Commission Paid Account","","2","203000000000010002","2014-03-12 15:28:43.585000","TZS","false","","Total commission paid by the Service Provider","true","false","true","false","false","False","","true","0","203000000000010806","2015-09-21 08:38:17.968000","2015-09-21 08:47:47.000000","false","false","true","50","1000|1002|1006","20106","1001"<endrec>
"1001","Agency Commission Account","10019","Agency Commission Account","","1","203000000000010002","2014-03-12 15:32:09.881000","TZS","false","","Agency Commission Account","true","true","true","false","false","False","","true","0","203000000000010002","2014-03-13 20:05:37.950000","2014-03-13 20:05:37.950000","true","true","false","50","1004|1005|1006|1000|1002","20107","1001"<endrec>
"1001","M-PESA Commission Payable Account","10020","M-PESA Commission Payable Account","","2","203000000000010002","2014-03-12 17:59:42.979000","TZS","false","","Holding account for liable commission payments used in transactions such as Send Money/Give Cash","true","true","true","false","false","False","","false","0","203000000000010036","2014-08-26 10:10:32.119000","2014-08-26 10:10:32.119000","false","true","true","50","1000|1002|1006","20114","1001"<endrec>
"1001","Merchant Account","10022","Merchant Account","","2","203000000000010002","2014-03-13 11:06:28.173000","TZS","false","","Merchant Account","false","false","false","false","false","False","","false","0","203000000000010386","2015-03-11 14:36:30.692000","2015-03-11 14:36:30.692000","true","true","false","50","1004|1005|1006|1000|1002","20121","1001"<endrec>
"1001","Withholding Tax Account for Service Provider","10023","Withholding Tax Account for Service Provider","","2","203000000000010002","2014-03-13 15:42:38.559000","TZS","false","","Withholding Tax Account for Service Provider","true","false","false","true","false","False","","false","0","203000000000010002","2014-03-21 10:48:45.464000","2014-03-21 10:48:45.464000","false","false","true","50","1000|1002","20135","1001"<endrec>
"1001","Agency Commission Payable Account","10024","Agency Commission Payable Account","","2","203000000000010002","2014-03-13 18:11:49.940000","TZS","false","","Agency Commission Payable Account","true","false","false","false","true","False","","false","0","203000000000010002","2014-03-21 10:47:41.853000","2014-03-21 10:47:41.853000","true","false","false","50","1004|1005|1006|1000|1002","20141","1001"<endrec>
"1001","Commission Held Account","10025","Commission Held Account","","2","203000000000010002","2014-03-13 18:22:43.111000","TZS","false","","Commission Held Account","true","false","false","false","false","False","","false","0","203000000000010002","2014-03-13 20:31:46.782000","2014-03-13 20:31:46.782000","true","true","false","50","1004|1005|1006|1000|1002","20143","1001"<endrec>
"1001","Withdrawals Holding Account","10026","Withdrawals Holding Account","","2","203000000000010002","2014-03-13 18:53:57.226000","TZS","false","","Holds withdrawals before allocation to a control account","true","false","false","false","false","False","","false","0","203000000000010036","2014-08-26 10:10:46.694000","2014-08-26 10:10:46.694000","false","true","true","30","1000|1002|1006","20150","1001"<endrec>
"1001","Agency Commission Account","10019","Agency Commission Account","","1","203000000000010002","2014-03-13 20:05:31.934000","TZS","false","","Agency Commission Account","true","true","true","false","true","False","","true","0","203000000000010002","2014-03-14 15:01:29.609000","2014-03-14 15:01:29.609000","true","true","false","50","1004|1005|1006|1000|1002","20160","1001"<endrec>
"1001","Commission Held Account","10025","Commission Held Account","","2","203000000000010002","2014-03-13 20:31:41.911000","TZS","false","","Agency Commission Held Account","true","false","false","false","false","False","","false","0","203000000000010036","2014-08-26 10:10:16.465000","2014-08-26 10:10:16.465000","true","true","false","30","1004|1005|1000|1002|1006","20161","1001"<endrec>
"1001","Commission Account","10019","Agency Commission Account","","2","203000000000010002","2014-03-14 14:57:38.532000","TZS","false","","Agency Commission Account","true","true","true","false","true","False","","true","0","203000000000010164","2014-11-25 16:16:03.591000","2014-11-25 16:16:03.591000","true","true","false","50","1004|1005|1000|1002|1006","20166","1001"<endrec>
"1001","Airtime Purchase Account","10027","Airtime Purchase Account","","2","203000000000010002","2014-03-17 14:11:43.101000","TZS","false","","Airtime Purchase Account","true","false","true","false","false","False","","false","0","203000000000010164","2014-12-02 09:49:49.143000","2014-12-02 09:49:49.143000","true","false","false","50","1000|1002","20192","1001"<endrec>
"1001","Archived Funds Holding Account","10029","Archived Funds Holding Account","","2","203000000000010002","2014-03-18 15:16:26.377000","TZS","false","","Holds funds from recycled customer accounts","true","false","false","false","false","False","","false","0","203000000000010036","2014-08-26 10:10:23.942000","2014-08-26 10:10:23.942000","false","true","true","30","1000|1002|1006","20248","1001"<endrec>
"1001","Unclaimed Archived Funds Account","10030","Unclaimed Archived Funds Account","","2","203000000000010002","2014-03-18 15:18:03.123000","TZS","false","","Holds unclaimed funds from recycled accounts","true","false","false","false","false","False","","false","0","203000000000010002","2014-03-18 15:18:16.185000","2014-03-18 15:18:16.185000","false","true","true","30","1000|1002","20249","1001"<endrec>
"1001","Deposits Holding Account","10031","Deposits Holding Account","","2","203000000000010002","2014-03-19 10:34:32.649000","TZS","false","","Allows the Finance Team to fix Bank Reconciliation issues by allocating deposits from unknown sources here temporarily","true","false","false","false","false","False","","false","0","203000000000010002","2014-03-19 10:35:00.407000","2014-03-19 10:35:00.407000","false","true","true","30","1000|1002","20268","1001"<endrec>
