ACCOUNTING_MODEL_UNIQUE_ID,ACCOUNT_TYPE_ID,ASSIGN_MODE,HIERARCHY_LAYER                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  <endrec>
"30007008","10016","1002","3"<endrec>
"30013135","10016","1002","3"<endrec>
"30135103","10016","1002","3"<endrec>
"30135104","10016","1002","3"<endrec>
"937178693","10011","1001","1"<endrec>
"937254754","10011","1001","1"<endrec>
"937254754","10016","1002","3"<endrec>
"937254755","10011","1001","1"<endrec>
"937254755","10016","1002","3"<endrec>
"937428180","10016","1002","3"<endrec>
"937472569","10011","1001","1"<endrec>
"937472569","10016","1002","3"<endrec>
"937472569","21135","1002","3"<endrec>
"937472570","10016","1002","3"<endrec>
"937472570","21135","1002","3"<endrec>
"937475543","10016","1002","3"<endrec>
"937475543","21135","1003","1"<endrec>
"937475544","10016","1002","3"<endrec>
"937475544","21135","1001","1"<endrec>
"937475545","10016","1002","3"<endrec>
"937475545","21135","1003","1"<endrec>
"937476564","10016","1002","3"<endrec>
