ACCOUNT_TYPE,ACCUMULATING_SUBJECT,ACCUMULATING_TYPE,ACCUMULATOR_ID,ADDITIONAL_CONDITION,APPLYDATE,CREATE_OPER_ID,CREATE_OPER_TIME,CURRENCY,CYCLES_OF_VALUE_STORAGE,CYCLE_TYPE,DAYS_OF_VALUE_STORAGE,DESCRIPTION,EXPIREDATE,FAILURE_ACTION,IDENTITY_TYPE,LAST_OPER_ID,LAST_OPER_TIME,LOCK_RETRY_INTERVAL_1,LOCK_RETRY_INTERVAL_2,LOCK_RETRY_TIMES_1,LOCK_RETRY_TIMES_2,LOCK_TYPE,NAME,SATURATION_ACTION,SATURATION_AMOUNT,SATURATION_COUNT,STATUS,SUPPORT_ROLLBACK,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"10011","12","2","10001","","2015-10-13 00:00:00.000000","203000000000010809","2015-10-12 17:30:16.000000","TZS","2","3","-1","","2066-10-12 00:00:00.000000","","1000","203000000000010809","2015-10-12 17:31:28.011000","","","","","0","SendMoneyCount","","","","30","1","937164289"<endrec>
"-1","11","2","10101","10184","2015-10-15 00:00:00.000000","203000000000011204","2015-10-14 13:16:24.000000","TZS","1","1","-1","Limit Customer pay merchant , value is 5 times.","2015-10-17 00:00:00.000000","","1000","203000000000011204","2015-10-14 13:17:01.761000","5","","5","","1","Pay_merchant_Blake","","","5","30","1","937166309"<endrec>
"-1","11","2","10102","","2015-10-15 00:00:00.000000","203000000000011204","2015-10-15 04:30:36.000000","TZS","1","0","20","","2015-10-31 00:00:00.000000","","1000","203000000000010806","2015-10-19 08:30:08.067000","","","","","0","SendmoneyDynamic","","","200","30","1","937166321"<endrec>
"-1","11","2","10103","","2015-10-15 00:00:00.000000","203000000000011204","2015-10-15 05:36:41.000000","TZS","1","0","30","","2015-10-14 00:00:00.000000","","5000","203000000000011204","2015-10-15 08:23:34.534000","","","","","0","B2C_Custoemrdeposit","","","10000","30","1","937166324"<endrec>
"-1","11","2","10103","","2015-10-15 00:00:00.000000","203000000000011204","2015-10-15 08:23:03.000000","TZS","1","0","30","","2015-10-31 00:00:00.000000","","5000","203000000000011204","2015-10-15 08:23:34.541000","","","","","0","B2C_Custoemrdeposit","","","10000","30","1","937166327"<endrec>
"-1","11","2","10104","","2015-10-17 00:00:00.000000","203000000000010806","2015-10-16 11:57:44.000000","TZS","2","3","-1","","2015-10-21 00:00:00.000000","","5000","203000000000010806","2015-10-16 12:02:43.303000","","","","","0","Org_Cust_Deposit","","","200","30","1","937166351"<endrec>
"-1","11","2","10201","10549","2015-11-04 00:00:00.000000","203000000000010806","2015-11-03 08:13:15.000000","TZS","50","3","-1","","2015-12-31 00:00:00.000000","","1000","203000000000010806","2015-11-03 08:13:29.256000","","","","","0","QueryBalAcc","","","100","30","1","937168322"<endrec>
"-1","11","2","10301","","2015-11-11 00:00:00.000000","203000000000012907","2015-11-10 07:00:48.000000","TZS","1","0","20","","2015-11-30 00:00:00.000000","","1000","203000000000012907","2015-11-10 07:01:01.709000","","","","","0","DynamicSendMoney","","","200","30","1","937170310"<endrec>
"-1","11","1","10401","","2015-12-15 00:00:00.000000","203000000000012907","2015-12-14 11:18:03.000000","TZS","1","0","30","","2015-12-19 00:00:00.000000","","1000","203000000000012907","2015-12-14 11:18:38.725000","","","","","0","transactionamount","","","","30","1","937176399"<endrec>
"10011","12","2","10501","","2016-02-24 00:00:00.000000","203000000000010806","2016-02-23 07:50:52.000000","TZS","1","0","10","","2066-10-12 00:00:00.000000","","1000","203000000000010806","2016-02-23 07:51:10.949000","","","","","0","SendMoneyCount1","","","","30","1","937183464"<endrec>
