ACCUMULATOR_UNIQUE_ID,FILTER_TYPE,REASON_TYPE,TXN_AXN_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"937164289","11","10000110","20020"<endrec>
"937164289","22","0","0"<endrec>
"937166309","11","10000058","20010"<endrec>
"937166309","21","0","0"<endrec>
"937166321","11","-1","20020"<endrec>
"937166321","22","-1","-1"<endrec>
"937166324","11","10000051","20006"<endrec>
"937166324","21","0","0"<endrec>
"937166327","11","10000025","20022"<endrec>
"937166327","21","0","0"<endrec>
"937166351","11","10000051","20006"<endrec>
"937166351","21","-1","-1"<endrec>
"937168322","11","-1","20020"<endrec>
"937168322","21","-1","-1"<endrec>
"937170310","11","-1","20020"<endrec>
"937170310","22","-1","-1"<endrec>
"937176399","11","-1","-1"<endrec>
"937176399","21","-1","-1"<endrec>
"937183464","11","10000097","20020"<endrec>
"937183464","11","10000107","20020"<endrec>
"937183464","11","10000110","20020"<endrec>
"937183464","11","10000119","20020"<endrec>
"937183464","11","10002399","20020"<endrec>
"937183464","22","0","0"<endrec>
"937183486","11","-1","20020"<endrec>
"937183486","22","-1","-1"<endrec>
"937190540","11","-1","-1"<endrec>
"937190540","21","-1","-1"<endrec>
"937190547","11","-1","20020"<endrec>
"937190547","22","-1","-1"<endrec>
"937214588","12","0","0"<endrec>
"937214588","21","10002619","21499"<endrec>
"937214590","11","10002619","21499"<endrec>
"937214590","21","10002619","21499"<endrec>
"937214610","11","10002620","21499"<endrec>
"937214610","21","10002620","21499"<endrec>
"937214614","12","0","0"<endrec>
"937214614","21","10002620","21499"<endrec>
"937216588","11","-1","-1"<endrec>
"937216588","21","-1","-1"<endrec>
"937217815","11","-1","-1"<endrec>
"937217815","21","-1","-1"<endrec>
"937218570","11","-1","-1"<endrec>
"937218570","21","-1","-1"<endrec>
"937218633","11","-1","-1"<endrec>
"937218633","21","-1","-1"<endrec>
"937218641","11","10000254","20046"<endrec>
"937218641","21","-1","-1"<endrec>
"937218693","11","-1","-1"<endrec>
"937218693","21","-1","-1"<endrec>
"937250701","11","-1","-1"<endrec>
"937250701","21","-1","-1"<endrec>
"937250702","11","10000025","20022"<endrec>
"937250702","21","0","0"<endrec>
"937250714","11","10000025","20022"<endrec>
"937250714","21","-1","-1"<endrec>
"937250716","11","-1","20020"<endrec>
"937250716","22","-1","-1"<endrec>
"937250720","11","-1","-1"<endrec>
"937250720","21","-1","-1"<endrec>
"937254940","11","10000025","20022"<endrec>
"937254940","21","-1","-1"<endrec>
"937265686","11","-1","-1"<endrec>
"937265686","21","-1","-1"<endrec>
"937265687","11","-1","-1"<endrec>
"937265687","21","10000057","20009"<endrec>
"937265687","21","10000110","20020"<endrec>
"937265688","11","-1","-1"<endrec>
"937265688","21","10000056","20009"<endrec>
"937265688","21","10000057","20009"<endrec>
"937265688","21","10000110","20020"<endrec>
"937265705","11","-1","-1"<endrec>
"937265705","21","10000110","20020"<endrec>
"937281819","11","-1","-1"<endrec>
"937281819","21","-1","-1"<endrec>
"937281830","11","-1","20009"<endrec>
"937281830","11","-1","20020"<endrec>
"937281830","21","-1","-1"<endrec>
"937281831","11","-1","20009"<endrec>
"937281831","11","-1","20020"<endrec>
"937281831","21","-1","-1"<endrec>
"937281832","01","-1","-1"<endrec>
"937281838","11","-1","-1"<endrec>
"937281838","21","10000097","20020"<endrec>
"937281838","21","10000110","20020"<endrec>
"937281838","21","10000119","20020"<endrec>
"937281850","11","-1","-1"<endrec>
"937281850","21","-1","-1"<endrec>
"937287830","11","10002619","21499"<endrec>
"937287830","21","10002619","21499"<endrec>
"937288830","11","-1","-1"<endrec>
"937288830","21","-1","-1"<endrec>
"937288832","11","10002619","21499"<endrec>
"937288832","22","0","0"<endrec>
"937308870","11","-1","21499"<endrec>
"937308870","21","-1","-1"<endrec>
"937341896","11","10000110","20020"<endrec>
"937341896","22","-1","-1"<endrec>
"937344932","11","-1","20009"<endrec>
"937344932","21","-1","-1"<endrec>
"937347909","11","10000110","20020"<endrec>
"937347909","11","10000119","20020"<endrec>
"937347909","22","-1","-1"<endrec>
"937353951","11","10000056","20009"<endrec>
"937353951","11","10000057","20009"<endrec>
"937353951","11","10000302","20009"<endrec>
"937353951","11","10002590","20009"<endrec>
"937353951","11","10003234","20009"<endrec>
"937353951","11","10003389","20009"<endrec>
"937353951","11","10003390","20009"<endrec>
"937353951","22","-1","-1"<endrec>
"937353973","01","-1","-1"<endrec>
"937356923","11","10000110","20020"<endrec>
"937356923","21","-1","-1"<endrec>
"937357998","11","10000090","20018"<endrec>
"937357998","11","10000248","20018"<endrec>
"937357998","11","10003233","20018"<endrec>
"937357998","21","-1","-1"<endrec>
"937357999","11","10000090","20018"<endrec>
"937357999","11","10000248","20018"<endrec>
"937357999","11","10003233","20018"<endrec>
"937357999","21","-1","-1"<endrec>
"937358033","11","10000056","20009"<endrec>
"937358033","11","10000057","20009"<endrec>
"937358033","11","10000090","20018"<endrec>
"937358033","11","10000248","20018"<endrec>
"937358033","11","10003233","20018"<endrec>
"937358033","21","-1","-1"<endrec>
"937359002","11","10000110","20020"<endrec>
"937359002","21","-1","-1"<endrec>
"937359010","11","10000025","20022"<endrec>
"937359010","21","-1","-1"<endrec>
"937359011","11","-1","20020"<endrec>
"937359011","11","-1","21499"<endrec>
"937359011","11","-1","22199"<endrec>
"937359011","21","-1","-1"<endrec>
"937366331","11","-1","20020"<endrec>
"937366331","22","-1","-1"<endrec>
"937384555","11","10000056","20009"<endrec>
"937384555","11","10000057","20009"<endrec>
"937384555","11","10000090","20018"<endrec>
"937384555","11","10000248","20018"<endrec>
"937384555","11","10003233","20018"<endrec>
"937384555","21","-1","-1"<endrec>
"937395924","11","10000097","20020"<endrec>
"937395924","11","10000110","20020"<endrec>
"937395924","11","10000119","20020"<endrec>
"937395924","21","10000110","20020"<endrec>
"937396934","11","10000056","20009"<endrec>
"937396934","11","10000057","20009"<endrec>
"937396934","11","10000090","20018"<endrec>
"937396934","11","10000248","20018"<endrec>
"937396934","11","10003233","20018"<endrec>
"937396934","21","-1","-1"<endrec>
"937396935","11","10000056","20009"<endrec>
"937396935","11","10000057","20009"<endrec>
"937396935","11","10000059","20010"<endrec>
"937396935","11","10000090","20018"<endrec>
"937396935","11","10000248","20018"<endrec>
"937396935","11","10003233","20018"<endrec>
"937396935","21","-1","-1"<endrec>
"937396938","11","10000059","20010"<endrec>
"937396938","21","-1","-1"<endrec>
"937408012","11","-1","-1"<endrec>
"937408012","21","10002903","22598"<endrec>
"937408015","11","10002903","22598"<endrec>
"937408015","11","10002904","22598"<endrec>
"937408015","11","10002905","22598"<endrec>
"937408015","11","10002918","22598"<endrec>
"937408015","11","10002919","22598"<endrec>
"937408015","11","10002920","22598"<endrec>
"937408015","11","10002921","22598"<endrec>
"937408015","21","-1","-1"<endrec>
"937411126","01","-1","-1"<endrec>
"937413058","11","-1","-1"<endrec>
"937413058","21","10000110","20020"<endrec>
"937413061","11","-1","-1"<endrec>
"937413061","21","-1","-1"<endrec>
"937413063","11","-1","-1"<endrec>
"937413063","21","10000110","20020"<endrec>
"937414123","11","10000056","20009"<endrec>
"937414123","11","10000057","20009"<endrec>
"937414123","11","10000059","20010"<endrec>
"937414123","11","10000090","20018"<endrec>
"937414123","11","10000248","20018"<endrec>
"937414123","11","10003233","20018"<endrec>
"937414123","11","10003390","20009"<endrec>
"937414123","21","-1","-1"<endrec>
"937415075","11","-1","-1"<endrec>
"937415075","21","-1","20018"<endrec>
"937415098","11","10000110","20020"<endrec>
"937415098","21","-1","-1"<endrec>
"937415121","11","10000025","20022"<endrec>
"937415121","21","-1","-1"<endrec>
"937417110","11","-1","-1"<endrec>
"937417110","21","10000110","20020"<endrec>
"937417114","11","-1","-1"<endrec>
"937417114","21","-1","-1"<endrec>
"937417118","11","10002903","22598"<endrec>
"937417118","21","-1","-1"<endrec>
"937417119","11","-1","-1"<endrec>
"937417119","21","10002903","22598"<endrec>
"937417144","11","10000119","20020"<endrec>
"937417144","21","-1","-1"<endrec>
"937417153","11","10003109","20008"<endrec>
"937417153","21","-1","-1"<endrec>
