ERROR_CODE,IS_INSTANTLY,NOTIFICATION_TYPE,OPERATION_CODE,RECEIVING_CHANNEL,RECIPIENT_ROLE,RECIPIENT_SUB_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            <endrec>
"*","1","107000000000068079","ActiveFSIKCBProducts","1001","01","0"<endrec>
"*","1","107000000000029057","ActiveFSIProducts","1001","01","0"<endrec>
"*","1","208000000000034242","ActiveFSIProducts","0000","02","0"<endrec>
"*","1","102000000000000115","AddCustomerBeneficiary","9999","01","0"<endrec>
"*","1","208000000000034242","AddCustomerFF","9999","01","0"<endrec>
"*","1","208000000000034242","AddCustomerFF","9999","02","0"<endrec>
"*","1","208000000000034239","AddGroupBeneficiary","9999","01","0"<endrec>
"*","1","208000000000034242","AddGroupMember","9999","01","0"<endrec>
"*","1","208000000000034239","AddGroupMember","9999","7000","500000000000011802"<endrec>
"*","1","208000000000034242","AddOrgBeneficiary","9999","01","0"<endrec>
"*","1","208000000000034242","AddPrefContact","9999","02","0"<endrec>
"*","1","208000000000034242","ApproveGroupTask","0000","01","0"<endrec>
"*","1","208000000000111238","ApproveGroupTask","9999","02","0"<endrec>
"*","1","208000000000028239","ApproveGroupTask","9999","06","0"<endrec>
"*","1","208000000000111238","ApproveGroupTask","9999","15","0"<endrec>
"*","1","208000000000034242","CCHAddGroupMember","0000","01","0"<endrec>
"*","1","208000000000034242","CCHAddGroupMember","0000","7000","500000000000011802"<endrec>
"*","1","102000000000000101","CCHChangeCustKYC","1001","01","0"<endrec>
"*","1","208000000000034242","CCHCreateGroup","0000","01","0"<endrec>
"*","1","208000000000034242","CCHIdentifyCustomer","1001","01","0"<endrec>
"*","1","107000000000002161","CCHIdentifyOrgOperator","1001","01","0"<endrec>
"*","1","208000000000064239","CCHRemoveGroupMember","0000","7000","500000000000011802"<endrec>
"*","1","107000000000002143","CCHResetCustPIN","1001","01","0"<endrec>
"*","1","107000000000002065","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"*","1","107000000000002151","CCHUnlockCustPIN","1001","01","0"<endrec>
"*","1","107000000000002135","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"*","1","107000000000002052","ChangeCustPIN","1001","01","0"<endrec>
"*","1","107000000000002055","ChangeCustSecretWord","1001","01","0"<endrec>
"*","1","208000000000034242","ChangeGroupMemberRole","0000","7000","500000000000011802"<endrec>
"*","1","208000000000034242","ChangeLinkStatus","0000","01","0"<endrec>
"*","1","208000000000034239","ChangeLinkStatus","0000","02","0"<endrec>
"*","1","208000000000034242","ChangeLinkStatus","0000","06","0"<endrec>
"*","1","102000000000000103","ChangeOrgOperatorKYC","9999","02","0"<endrec>
"*","1","208000000000034242","ChangeOrgOperatorOwnKYC","9999","01","0"<endrec>
"*","1","102000000000000103","ChangeOrgOperatorOwnKYC","9999","02","0"<endrec>
"*","1","208000000000034242","ChangeOrgOperatorOwnKYC","9999","02.DEVICE.OLD","0"<endrec>
"*","1","107000000000002055","ChangeOrgOperatorSecretWord","1001","01","0"<endrec>
"*","1","208000000000034239","ChangeOrgParentShortCode","9999","02","0"<endrec>
"*","1","208000000000034239","ConfirmGroupMembership","9999","01","0"<endrec>
"*","1","208000000000034239","ConfirmTransaction","9999","01","0"<endrec>
"*","1","208000000000034242","CreateAccount","9999","01","0"<endrec>
"*","1","107000000000002175","CreateCustomer","1001","01","0"<endrec>
"*","1","104000000000000391","CreateDirectDebitMandateByOrganization","9999","50","0"<endrec>
"*","1","208000000000034242","CreateGroup","0000","01","0"<endrec>
"*","1","208000000000077243","CreateGroup","0000","06","0"<endrec>
"*","1","208000000000034242","CreateIdentityBankAccount","0000","01","0"<endrec>
"*","1","208000000000034242","CreateIdentityBankAccount","0000","02","0"<endrec>
"*","1","107000000000002048","CreateOrgOperator","1001","01","0"<endrec>
"*","1","208000000000034242","CreateOrganizationBundle","9999","01","0"<endrec>
"*","1","208000000000034242","CreateReminderSchedule","0000","01","0"<endrec>
"*","1","208000000000034242","CustomerActivateCard","0000","01","0"<endrec>
"*","1","208000000000034242","CustomerCancelCard","9999","01","0"<endrec>
"*","1","208000000000034242","CustomerGetStartPIN","9999","01","0"<endrec>
"*","1","208000000000034239","CustomerRegisterCard","0000","01","0"<endrec>
"*","1","208000000000034239","CustomerRegisterCard","0000","02","0"<endrec>
"*","1","107000000000008033","DeleteCustomerBeneficiary","9999","01","0"<endrec>
"*","1","208000000000034239","DeleteGroupBeneficiary","9999","01","0"<endrec>
"*","1","208000000000034242","DeleteIdentityBankAccount","9999","01","0"<endrec>
"*","1","107000000000008033","DeleteOrgBeneficiary","9999","01","0"<endrec>
"*","1","208000000000034242","GroupCancelCard","9999","01","0"<endrec>
"*","1","208000000000034242","GroupRegisterCard","9999","01","0"<endrec>
"*","1","208000000000034242","InitiateTransactionByReminder","9999","01","0"<endrec>
"*","1","208000000000087238","ModifyCustomerFF","9999","01","0"<endrec>
"*","1","208000000000087238","ModifyCustomerFF","9999","02","0"<endrec>
"*","1","208000000000087238","ModifyCustomerFF","9999","06","0"<endrec>
"*","1","208000000000087238","ModifyCustomerFF","9999","15","0"<endrec>
"*","1","208000000000034242","OrgActivateCard","0000","01","0"<endrec>
"*","1","208000000000034242","OrgActivateCard","0000","02","0"<endrec>
"*","1","208000000000034242","OrgCancelCard","9999","01","0"<endrec>
"*","1","208000000000034242","OrgRegisterCard","9999","01","0"<endrec>
"*","1","208000000000034242","QueryGroupList","9999","01","0"<endrec>
"*","1","208000000000034239","QueryGroupTransactions","9999","01","0"<endrec>
"*","1","208000000000034239","RegisterCard4Customer","0000","01","0"<endrec>
"*","1","208000000000034239","RegisterCard4Customer","0000","02","0"<endrec>
