IS_INSTANTLY,NOTIFICATION_TYPE,OPERATION_CODE,RECEIVING_CHANNEL,RECIPIENT_ROLE,RECIPIENT_SUB_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"1","102000000000000027","ActivateCust","9999","01","0"<endrec>
"1","103000000000000224","ActivateCustSIM","1001","02","0"<endrec>
"1","208000000000021251","ActivateCustomerDirectDebitMandate","0000","01","0"<endrec>
"1","208000000000021251","ActivateCustomerDirectDebitMandate","9999","02","0"<endrec>
"1","208000000000021251","ActivateCustomerDirectDebitMandate","9999","49","0"<endrec>
"1","208000000000089238","ActivateCustomerDirectDebitMandate","9999","50","0"<endrec>
"1","208000000000021251","ActivateGroupDirectDebitMandate","9999","01","0"<endrec>
"1","208000000000021251","ActivateGroupDirectDebitMandate","9999","02","0"<endrec>
"1","208000000000021251","ActivateGroupDirectDebitMandate","9999","49","0"<endrec>
"1","208000000000089238","ActivateGroupDirectDebitMandate","9999","50","0"<endrec>
"1","102000000000000028","ActivateOperator","0000","01","0"<endrec>
"1","103000000000000226","ActivateOrgOperatorSIM","1001","02","0"<endrec>
"1","208000000000021251","ActivateOrganizationDirectDebitMandate","9999","01","0"<endrec>
"1","208000000000021251","ActivateOrganizationDirectDebitMandate","9999","02","0"<endrec>
"1","208000000000021251","ActivateOrganizationDirectDebitMandate","9999","49","0"<endrec>
"1","208000000000021251","ActivateOrganizationDirectDebitMandate","9999","50","0"<endrec>
"1","102000000000000054","ActivateTill","0000","01","0"<endrec>
"1","102000000000000054","ActivateTill","0000","02","0"<endrec>
"1","107000000000067039","ActiveFSIKCBProducts","1001","01","0"<endrec>
"1","107000000000049032","ActiveFSIProducts","1001","02","0"<endrec>
"1","208000000000081240","ActiveGroup","0000","02","0"<endrec>
"1","208000000000081240","ActiveGroup","0000","7000","500000000000011802"<endrec>
"1","208000000000081240","ActiveGroup","0000","7000","500000000000011803"<endrec>
"1","208000000000081240","ActiveGroup","0000","7000","500000000000011902"<endrec>
"1","103000000000000368","ActiveGroupFSIProducts","9999","01","0"<endrec>
"1","103000000000000368","ActiveGroupFSIProducts","9999","02","0"<endrec>
"1","103000000000000368","ActiveOrgFSIProducts","9999","01","0"<endrec>
"1","103000000000000368","ActiveOrgFSIProducts","9999","02","0"<endrec>
"1","102000000000000058","AddCustDevice","0000","02","0"<endrec>
"1","208000000000020239","AddCustomerBeneficiary","9999","01","0"<endrec>
"1","208000000000020239","AddCustomerBeneficiary","9999","02","0"<endrec>
"1","208000000000020240","AddCustomerBeneficiary","9999","0201","0"<endrec>
"1","208000000000020240","AddCustomerBeneficiary","9999","15","0"<endrec>
"1","103010700000001414","AddCustomerFF","9999","02","0"<endrec>
"1","208000000000034240","AddGroupBeneficiary","9999","01","0"<endrec>
"1","208000000000054238","AddGroupMember","9999","0","0"<endrec>
"1","208000000000096238","AddGroupMember","9999","01","0"<endrec>
"1","208000000000078240","AddGroupMember","9999","7000","500000000000011902"<endrec>
"1","208000000000021244","AddOrgBeneficiary","9999","01","0"<endrec>
"1","103010700000001418","AddPrefContact","9999","01","0"<endrec>
"1","103010700000001418","AddPrefContact","9999","02","0"<endrec>
"1","102000000000000032","AddTillDevice","0000","02","0"<endrec>
"1","208000000000021248","ApproveDirectDebitMandate","9999","01","0"<endrec>
"1","208000000000021248","ApproveDirectDebitMandate","9999","49","0"<endrec>
"1","208000000000021248","ApproveDirectDebitMandate","9999","50","0"<endrec>
"1","208000000000111239","ApproveGroupTask","9999","01","0"<endrec>
"1","208000000000026240","ApproveGroupTask","9999","15","0"<endrec>
"1","102000000000000037","AssignOrgOperatorRole","0000","01","0"<endrec>
"1","102000000000000037","AssignOrgOperatorRole","0000","02","0"<endrec>
"1","102000000000000038","AssignSPOperatorRole","0000","02","0"<endrec>
"1","208000000000021250","BulkCancelIssuedVoucher","9999","01","0"<endrec>
"1","208000000000063240","CCHAddGroupMember","9999","01","0"<endrec>
"1","208000000000021240","CCHAddGroupMember","9999","02","0"<endrec>
"1","107000000000002033","CCHChangeCustKYC","0000","01","0"<endrec>
"1","107000000000002034","CCHChangeCustKYC","0000","02","0"<endrec>
"1","208000000000064238","CCHChangeGroupMemberRole","0000","7000","500000000000011802"<endrec>
