ADDITIONAL_DATA_ID,ADDITIONAL_TYPE,DATA_TYPE,DATA_TYPE_KEY,DESCRIPTION,DISPLAY_ORDER,DISP_NAME,FEATURE_CODE,MODIFY_FLAG,NAME,STATUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     <endrec>
"100","1","01","","First name of the sender. It's used for HomeSend service.","7","Sender First Name","1","1","Sender First Name","1"<endrec>
"1001","3","01","","","","","1","1","test","1"<endrec>
"1002","2","01","","Reserved.","","","1","1","InputTest","1"<endrec>
"101","1","01","","Middle or paternal name of the sender. It's used for HomeSend service.","8","Sender Middle Name","1","1","Sender Middle Name","1"<endrec>
"102","1","01","","Last or maternal name of the sender. It's used for HomeSend service.","9","Sender Last Name","1","1","Sender Last Name","1"<endrec>
"103","1","01","","Sender address. It's used for HomeSend service.","10","Sender Address","1","1","Sender Address","1"<endrec>
"104","1","01","","Country where the money is transferred out. It's used for WesternUnion service.","11","Country of Origin","1","1","Country of Origin","1"<endrec>
"105","1","01","","Recipient's first name. It's used for WesternUnion service.","12","Recipient First Name","1","1","Recipient First Name","1"<endrec>
"106","1","01","","Recipient's last or maternal name. It's used for WesternUnion service.","13","Recipient Last Name","1","1","Recipient Last Name","1"<endrec>
"1063","3","01","","Reserved.","1063","Sender Full Name","1","1","Sender Full Name","1"<endrec>
"107","1","01","","Reserved.","14","Recipient MSISDN","1","1","Recipient MSISDN","1"<endrec>
"108","1","01","","Source URI for sending the payment. (The value is an MSISDN in the case of M-PESA G2.) The value format is as follows: tel:+ + Country code + National number. It's used for HomeSend service.","15","Source URI","1","1","Source URI","1"<endrec>
"109","1","01","","Unique ID of the partner organization. It's used for WesternUnion service.","16","Partner_ID","1","1","Partner_ID","1"<endrec>
"110","1","01","","Unique ID of the physical or logical application initiating the message. It's used for WesternUnion service.","17","System_ID","1","1","System_ID","1"<endrec>
"111","1","01","","Application name. It's used for WesternUnion service.","18","System_Name","1","1","System_Name","1"<endrec>
"112","1","01","","Version number used to validate the compatibility and functionality. It's used for WesternUnion service.","19","System_Version","1","1","System_Version","1"<endrec>
"113","1","01","","IP address of the actual machine initiating the message. It's used for WesternUnion service.","20","System_IP_Address","1","1","System_IP_Address","1"<endrec>
"114","1","01","","Unique ID of the communication channel. It's used for WesternUnion service.","21","Connector_ID","1","1","Connector_ID","1"<endrec>
"115","1","01","","Application-specific value for identifying a message or a group of messages. It's used for WesternUnion service.","22","External_Reference_Number","1","1","External_Reference_Number","1"<endrec>
"116","1","01","","Country code portion of the mobile number. It's used for WesternUnion service.","23","Receiver_Mobile_Phone_Country_Code","1","1","Receiver_Mobile_Phone_Country_Code","1"<endrec>
"1161","3","01","","Name of the receiver or beneficiary, which is provided by the sender. It's used for HomeSend service.","1060","","1","1","Beneficiary_Name","1"<endrec>
