APPROVE_SWITCH,SERVICE,TYPE_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        <endrec>
"","10013","BULK_REMINDER_SCHEDULE"<endrec>
"1","10031","BULK_PAYMENT"<endrec>
"","10031","BULK_REMINDER_SCHEDULE"<endrec>
"","10049","BULK_AIRTIME_TRANSFER"<endrec>
"1","10049","BULK_PAYMENT"<endrec>
"0","10049","BULK_PAYMENT_VALIDATION"<endrec>
"","10049","BULK_REMINDER_SCHEDULE"<endrec>
"1","10050","BULK_PAYMENT"<endrec>
"1","10051","BULK_PAYMENT"<endrec>
"1","10052","BULK_PAYMENT"<endrec>
"0","10052","BULK_PAYMENT_VALIDATION"<endrec>
"","10052","BULK_REMINDER_SCHEDULE"<endrec>
"1","10053","BULK_PAYMENT"<endrec>
"1","10174","BULK_PAYMENT"<endrec>
"1","10302","BULK_PAYMENT"<endrec>
"1","10411","BULK_AIRTIME_TOPUP_FOR_ORG"<endrec>
"1","10411","BULK_PAYMENT"<endrec>
"1","10465","BULKK_ISSUING_SP_VOUCHER"<endrec>
"","10484","BULK_ISSUING_ORGANIZATION_VOUCHER"<endrec>
"1","10558","BULK_PAYMENT"<endrec>
"0","10564","B2B_BULK_PAYMENT"<endrec>
"1","10564","BULK_PAYMENT"<endrec>
"","10564","BULK_REMINDER_SCHEDULE"<endrec>
"","10574","BULK_ISSUING_ORGANIZATION_VOUCHER"<endrec>
"1","10605","BULK_PAYMENT"<endrec>
"","10655","BULK_TWO_PART_PAYMENT_CONFIRM"<endrec>
"1","10876","BULK_PAYMENT"<endrec>
"1","10906","BULK_PAYMENT"<endrec>
"","10906","BULK_TWO_PART_BUY_GOODS"<endrec>
"1","10936","BULK_PAYMENT"<endrec>
"0","10936","MANAGE_BULK_PAYMENT"<endrec>
"1","10947","BULK_PAYMENT"<endrec>
"1","11007","BULK_PAYMENT"<endrec>
"1","11076","BULK_PAYMENT"<endrec>
"1","11077","BULK_PAYMENT"<endrec>
"0","11186","B2B_BULK_PAYMENT"<endrec>
"1","11187","MANAGE_B2B_BULK_PAYMENT"<endrec>
"1","11196","BULK_PAYMENT"<endrec>
"","11426","BULK_CPS_TO_BANK_OFFLINE"<endrec>
