AUTOMATIC_RENEWAL,BEGIN_VALIDITY_PERIOD,BUNDLE_CATEGORY,BUNDLE_ID,BUNDLE_NAME,BUNDLE_PROVIDER,BUNDLE_TYPE,CURRENCY,DESCRIPTION,DURATION_TIMES,DURATION_UNIT,EFFECTIVE_MODE,END_VALIDITY_PERIOD,EXTERNAL_PRICE,IDENTITY_TYPE,INTERNAL_PRICE,SPLITTING_MODE,STATUS,SUBSCRIPTION_PRICE,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"0","2016-06-23 00:00:00.000000","","1","basic customer bundle no renewal 5 days (reason type)","","1","TZS","p2p, withdrawals","5","1","0","2099-12-31 00:00:00.000000","","1000","500000","","50","500000","937214596"<endrec>
"0","2016-06-29 00:00:00.000000","","2","customer bundle","","1","TZS","","7","1","7","2099-12-31 00:00:00.000000","","1000","100000","","30","100000","937214671"<endrec>
"0","2016-10-26 00:00:00.000000","","1001","Test bundle fix","","1","TZS","","30","1","0","2099-12-31 00:00:00.000000","","1000","20000","","60","0","937232540"<endrec>
"0","2016-10-27 00:00:00.000000","","1002","basic customer bundle no renewal 2 days (Service)","","1","TZS","service based eg send money p2p quota should be either reg or unreg withdraw should be all forms of withdrawal (check service to see which reason types are covered)","2","1","0","2099-12-31 00:00:00.000000","","1000","500000","","50","500000","937232546"<endrec>
"1","2016-10-27 00:00:00.000000","","1003","Customer buy goods bundle with renewal 1 week (reason type)","","1","TZS","Customer buy goods bundle with renewal 1 week (reason type)","1","2","0","2099-12-31 00:00:00.000000","","1000","50000","","30","50000","937232550"<endrec>
"1","2016-10-27 00:00:00.000000","","1004","Customer buy goods bundle with renewal 1 week with 2 day delay (reason type)","","1","TZS","Customer buy goods bundle with renewal 1 week with 2 day delay (reason type)","1","2","2","2099-12-31 00:00:00.000000","","1000","50000","","30","50000","937232551"<endrec>
"0","2016-10-27 00:00:00.000000","","1005","Customer P2P (service) 1 month no renewal","","1","TZS","Customer P2P (service) 1 month no renewal","1","3","0","2099-12-31 00:00:00.000000","","1000","75000","","50","75000","937232552"<endrec>
"1","2016-10-27 00:00:00.000000","","1006","Customer P2P (service) 2 month with renewal","","1","TZS","Customer P2P (service) 2 month with renewal","2","3","0","2099-12-31 00:00:00.000000","","1000","75000","","50","75000","937232553"<endrec>
"1","2016-10-27 00:00:00.000000","","1007","Customer P2P (service) with renewal 2 day with 1 day delay","","1","TZS","Customer P2P (service) with renewal 2 day with 1 day delay","2","1","1","2099-12-31 00:00:00.000000","","1000","30000","","30","30000","937232554"<endrec>
"1","2016-10-27 00:00:00.000000","","1008","Customer super bundle (service) with QUARTERLY renewal","","1","TZS","Customer super bundle (service) with QUARTERLY renewal","1","4","0","2099-12-31 00:00:00.000000","","1000","100000","","30","100000","937232555"<endrec>
"1","2016-10-27 00:00:00.000000","","1009","basic customer bundle 2 days renewal next day after expiry (service)","","1","TZS","basic customer bundle 2 days renewal next day after expiry (service)","2","1","-1","2099-12-31 00:00:00.000000","","1000","35000","","50","35000","937232556"<endrec>
"1","2016-10-27 00:00:00.000000","","1010","Customer P2P Limited Value bundle 3 Day auto renew","","1","TZS","Customer P2P Limited Value bundle","3","1","0","2099-12-31 00:00:00.000000","","1000","62500","","30","62500","937232560"<endrec>
"1","2016-10-27 00:00:00.000000","","1011","Customer Mixed Limited 1 week auto renew","","1","TZS","Customer Mixed Limited 1 week auto renew","1","2","0","2099-12-31 00:00:00.000000","","1000","100000","","30","100000","937232561"<endrec>
"0","2016-10-27 00:00:00.000000","","1012","Customer p2p service 1 week combined liberty mb100 with external split","201000000000064005","3","TZS","Customer p2p service 1 week combined liberty mb100 with external split","1","2","0","2099-12-31 00:00:00.000000","50000","1000","50000","1","50","100000","937232562"<endrec>
"0","2016-10-27 00:00:00.000000","","1013","Customer p2p service 1 week combined liberty mb200 with internal split","201000000000064005","3","TZS","Customer p2p service 1 week combined liberty mb200 with internal split","1","2","0","2099-12-31 00:00:00.000000","0","1000","40000","0","50","40000","937232563"<endrec>
"1","2016-10-27 00:00:00.000000","","1014","Customer external bundle Liberty mbonga voice auto renew","201000000000064005","2","TZS","Liberty mbonga voice","","","","2099-12-31 00:00:00.000000","40000","1000","","1","50","40000","937232564"<endrec>
"0","2016-10-27 00:00:00.000000","","1015","basic customer SP data bundle","","4","TZS","service based eg send money p2p quota should be either reg or unreg withdraw should be all forms of withdrawal (check service to see which reason types are covered)","","","","2099-12-31 00:00:00.000000","36000","1000","0","1","50","36000","937232565"<endrec>
"0","2016-10-27 00:00:00.000000","","1016","Business internal bundle 1 B2C Reason 2 day","","1","TZS","","2","1","0","2099-12-31 00:00:00.000000","","5000","200000","","30","200000","937232566"<endrec>
"0","2016-10-27 00:00:00.000000","","1017","Business internal bundle 2 B2C Service 2 day","","1","TZS","Business internal bundle 2 B2C Service 2 day","2","1","0","2099-12-31 00:00:00.000000","","5000","300000","","30","300000","937232567"<endrec>
"1","2016-10-27 00:00:00.000000","","1018","Business internal BULK bundle B2C Service 1 week","","1","TZS","Business internal BULK bundle B2C Service 1 week","1","2","0","2099-12-31 00:00:00.000000","","5000","2500000","","30","2500000","937232568"<endrec>
"0","2016-10-27 00:00:00.000000","","1019","Business combined bundle Liberty B2C Service 2 days external SMS split","201000000000064005","3","TZS","Business combined bundle Liberty B2C Service 2 days external SMS split","2","1","0","2099-12-31 00:00:00.000000","50000","5000","200000","1","50","250000","937232569"<endrec>
"0","2016-10-27 00:00:00.000000","","1020","Business external bundle MNO org","201000000000029004","2","TZS","Business external bundle MNO org","","","","2099-12-31 00:00:00.000000","50000","5000","","1","50","50000","937232570"<endrec>
"1","2016-10-27 00:00:00.000000","","1021","Group Internal Bundle auto renew 2 day","","1","TZS","Group Internal Bundle auto renew 2 day","2","1","0","2099-12-31 00:00:00.000000","","7000","30000","","30","30000","937232571"<endrec>
"1","2016-10-27 00:00:00.000000","","1022","Group Combined Bundle auto renew 2 day","201000000000029004","3","TZS","Group Combined Bundle auto renew 2 day","2","1","0","2099-12-31 00:00:00.000000","65000","7000","62000","1","30","127000","937232572"<endrec>
"0","2016-10-27 00:00:00.000000","","1023","Group External Bundle MNOorg","201000000000029004","2","TZS","Group External Bundle MNOorg","","","","2099-12-31 00:00:00.000000","100000","7000","","1","50","100000","937232573"<endrec>
"0","2016-10-28 00:00:00.000000","","1024","test12345","","1","TZS","","2","1","1","2016-10-30 00:00:00.000000","","1000","10000","","10","10000","937232574"<endrec>
"0","2016-10-28 00:00:00.000000","","1025","AJ1","","1","TZS","","3","2","3","2016-12-31 00:00:00.000000","","1000","10000","","50","10000","937232575"<endrec>
"0","2016-10-28 00:00:00.000000","","1026","customer bundle test","","1","TZS","test","10","1","10","2016-11-15 00:00:00.000000","","1000","100000","","50","100000","937232576"<endrec>
"0","2016-10-28 00:00:00.000000","","1026","customer bundle test","","1","TZS","test","10","1","10","2016-11-15 00:00:00.000000","","1000","100000","","30","100000","937232577"<endrec>
"0","2016-11-01 00:00:00.000000","","1025","AJ1","","1","TZS","","3","2","3","2016-12-31 00:00:00.000000","","1000","10000","","50","10000","937232601"<endrec>
"0","2016-11-02 00:00:00.000000","","1020","Business external bundle MNO org","201000000000029004","2","TZS","Business external bundle MNO org","","","","2099-12-31 00:00:00.000000","50000","5000","","1","30","50000","937233545"<endrec>
"1","2016-11-02 00:00:00.000000","","1006","Customer P2P (service) 2 month with renewal","","1","TZS","Customer P2P (service) 2 month with renewal","2","3","0","2099-12-31 00:00:00.000000","","1000","75000","","50","75000","937233546"<endrec>
"0","2016-11-02 00:00:00.000000","","2001","Bundle01","","1","TZS","","10","1","10","2016-12-01 00:00:00.000000","","1000|7000","0","","50","0","937233547"<endrec>
"0","2016-11-02 00:00:00.000000","","2001","Bundle01","","1","TZS","","10","1","10","2016-11-02 00:00:00.000000","","1000|7000","0","","50","0","937233548"<endrec>
"1","2016-11-02 00:00:00.000000","","2003","Customer P2P (Services) 3month with renewal","","1","TZS","Customer P2P (Services) 3month with renewal","2","3","0","2099-12-31 00:00:00.000000","","1000","75000","","50","75000","937233550"<endrec>
"0","2016-11-02 00:00:00.000000","","2004","Bundleorganization","","1","TZS","","10","1","10","2016-11-02 00:00:00.000000","","1000|7000|5000","0","","50","0","937233551"<endrec>
"0","2016-11-02 00:00:00.000000","2","1015","basic customer SP data bundle","","4","TZS","service based eg send money p2p quota should be either reg or unreg withdraw should be all forms of withdrawal (check service to see which reason types are covered)","","","","2016-11-02 00:00:00.000000","36000","1000","0","1","30","36000","937233552"<endrec>
"1","2016-11-02 00:00:00.000000","","1009","basic customer bundle 2 days renewal next day after expiry (service)","","1","TZS","basic customer bundle 2 days renewal next day after expiry (service)","2","1","-1","2099-12-31 00:00:00.000000","","1000","35000","","50","35000","937233554"<endrec>
"1","2016-11-03 00:00:00.000000","","1009","basic customer bundle 2 days renewal next day after expiry (service)","","1","TZS","basic customer bundle 2 days renewal next day after expiry (service)","2","1","-1","2099-12-31 00:00:00.000000","","1000","35000","","50","35000","937234541"<endrec>
"1","2016-11-03 00:00:00.000000","","2003","Customer P2P (Services) 3month with renewal","","1","TZS","Customer P2P (Services) 3month with renewal","2","3","0","2099-12-31 00:00:00.000000","","1000","75000","","50","75000","937234542"<endrec>
"1","2016-11-07 00:00:00.000000","","1009","basic customer bundle 2 days renewal next day after expiry (service)","","1","TZS","basic customer bundle 2 days renewal next day after expiry (service)","2","1","-1","2099-12-31 00:00:00.000000","","1000","35000","","50","35000","937234544"<endrec>
"0","2016-11-03 00:00:00.000000","","1025","AJ1","","1","TZS","","3","2","3","2016-12-31 00:00:00.000000","","1000","10000","","50","10000","937234545"<endrec>
"1","2016-11-03 00:00:00.000000","","2003","Customer P2P (Services) 3month with renewal","","1","TZS","Customer P2P (Services) 3month with renewal","2","3","0","2099-12-31 00:00:00.000000","","1000","75000","","50","75000","937234547"<endrec>
"0","2016-11-03 00:00:00.000000","","1025","AJ1","","1","TZS","","3","2","3","2016-11-03 00:00:00.000000","","1000","10000","","50","10000","937234548"<endrec>
