APPLYDATE,CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,EFFECTIVEMODE,EXPIREDATE,IDENTITY_TYPE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,NAME,PROFILE_ID,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  <endrec>
"2015-07-16 21:08:58.673000","203000000000010503","2015-07-16 21:07:16.359000","Default Organization Charge Profile","1","2015-08-10 04:37:18.581000","5000","203000000000011204","2015-08-10 04:37:18.585000","","Default Organization Charge Profile","20013","50","30118466"<endrec>
"2015-03-24 14:48:42.448000","203000000000010240","2015-03-24 14:48:24.193000","CSR Promotion Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-03-24 14:48:42.519000","","CSR Promotion Tariff","20127","30","30165354"<endrec>
"2015-03-24 15:08:58.594000","203000000000010278","2015-03-24 14:49:33.168000","Fedha Mgao Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010278","2015-03-24 15:08:58.662000","","Fedha Mgao Tariff","20037","30","30165355"<endrec>
"2015-03-24 14:51:56.642000","203000000000010240","2015-03-24 14:51:36.442000","Bank Tariff 8","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-03-24 14:51:56.990000","","Bank Tariff 8","20101","30","30165357"<endrec>
"2015-03-24 14:55:13.304000","203000000000010240","2015-03-24 14:54:59.299000","Zero Rated Promotion Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-03-24 14:55:13.382000","","Zero Rated Promotion Tariff","20103","30","30165358"<endrec>
"2015-03-24 14:58:33.843000","203000000000010240","2015-03-24 14:57:50.693000","Micro Payment Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-03-24 14:58:33.913000","","Micro Payment Tariff","20104","30","30165359"<endrec>
"2015-03-24 15:08:05.240000","203000000000010240","2015-03-24 15:07:49.269000","Kenya Charity Sweepstake Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-03-24 15:08:05.309000","","Kenya Charity Sweepstake Tariff","20108","30","30165362"<endrec>
"2015-03-24 15:15:04.825000","203000000000010240","2015-03-24 15:10:44.168000","Staggered Tariff 3","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-03-24 15:15:04.904000","","Staggered Tariff 3","20111","30","30165364"<endrec>
"2015-03-24 15:15:19.374000","203000000000010240","2015-03-24 15:13:17.708000","Staggered Tariff 4","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-03-24 15:15:19.450000","","Staggered Tariff 4","20114","30","30165366"<endrec>
"2015-03-24 15:21:23.525000","203000000000010240","2015-03-24 15:21:09.651000","FSI Tariff 1","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-03-24 15:21:23.595000","","FSI Tariff 1","20115","30","30165369"<endrec>
"2015-03-24 16:01:16.648000","203000000000010240","2015-03-24 15:52:47.938000","Retail Distribution Tariff 3","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-03-24 16:01:16.719000","","Retail Distribution Tariff 3","20112","30","30165375"<endrec>
"2015-03-24 16:01:44.834000","203000000000010240","2015-03-24 15:58:30.340000","Retail Distribution Tariff 5","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-03-24 16:01:44.902000","","Retail Distribution Tariff 5","20118","30","30165377"<endrec>
"2015-03-24 16:01:58.438000","203000000000010240","2015-03-24 16:00:26.864000","Retail Distribution Tariff 6","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-03-24 16:01:58.511000","","Retail Distribution Tariff 6","20119","30","30165378"<endrec>
"2015-03-24 16:17:34.457000","203000000000010240","2015-03-24 16:15:21.963000","PC Plus Min Tariff 2","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-03-24 16:17:34.590000","","PC Plus Min Tariff 2","20121","30","30165381"<endrec>
"2015-03-24 16:21:00.983000","203000000000010278","2015-03-24 16:20:44.153000","Mauzo Tariff 1","1","2099-12-31 23:59:59.000000","5000","203000000000010278","2015-03-24 16:21:01.079000","","Mauzo Tariff 1","20043","30","30165384"<endrec>
