BUSINESS_SCOPE,CHARGE_CATEGORY_TYPE,CHARGE_CREDIT_PARTY_MESSAGE,CHARGE_DEBIT_PARTY_MESSAGE,CHARGE_PAYER,CHARGE_PROFILE_FROMS,CHARGE_RECEIVER,CHARGE_TYPE_DESCRIPTION,CHARGE_TYPE_ID,CHARGE_TYPE_NAME,CHARGING_MODE,CREATE_OPER_ID,CREATE_OPER_TIME,DYNAMIC_VALUE,EFFECTIVE_MODE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,NEED_ALTERNATIVE_CHARGE,PRINCIPLE_TYPE,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        <endrec>
"3","1","Float Balance Statement Charge","Float Balance Statement Charge","1001","1001","1005","Fee for Agency Float Balance Statement SMS","10000002","Fee for Agency Float Balance Statement SMS","","203000000000010002","2014-03-10 14:18:39.683000","","0","203000000000010002","2014-03-10 14:19:17.593000","","0","27","30","20008"<endrec>
"3","1","{ChargeReceiver}","{ChargePayer}","1001","1001","1005","Fee For Agent Balance SMS","10000003","Fee For Agent Balance SMS","","203000000000010002","2014-03-10 16:29:37.267000","","0","203000000000010002","2014-03-10 16:29:42.449000","","0","21","30","20025"<endrec>
"3","1","{ChargeReceiver}","{ChargePayer}","1001","1001","1005","Fee For Customer Balance SMS","10000004","Fee For Customer Balance SMS","","203000000000010002","2014-03-10 16:59:43.076000","","0","203000000000021013","2017-05-11 11:11:01.970000","","0","21","50","20030"<endrec>
"2","1","B2C Payment Charge","B2C Payment Charge","1004","1004","1005","Fee For B2C Payment","10000005","Fee For B2C Payment","","203000000000010002","2014-03-10 17:48:55.953000","","0","203000000000010002","2014-04-03 14:05:06.406000","","0","20004","30","20038"<endrec>
"3","1","Change PIN request by {ChargePayer}","Customer PIN change","1002","1002","1005","Customer Change PIN Charge","10000015","Customer Change PIN Charge","","203000000000010002","2014-03-11 19:54:55.805000","","0","203000000000010002","2014-03-21 14:32:03.501000","","0","27","50","20092"<endrec>
"3","1","Change PIN request by {ChargePayer}","Organization Operator PIN Change","1002","1002","1005","Change PIN at Agent Till Charge","10000016","Change PIN at Agent Till Charge","","203000000000010002","2014-03-11 19:56:04.393000","","0","203000000000010002","2014-03-21 14:31:35.746000","","0","27","50","20093"<endrec>
"3","1","Change PIN request by {ChargePayer}","Activate A New Customer Charge","1001","1001","1005","Activate A New Customer Charge","10000017","Activate A New Customer Charge","","203000000000010002","2014-03-11 19:57:37.218000","","0","203000000000014908","2016-12-02 02:16:59.096000","","0","27","50","20094"<endrec>
"2","5","Business Payment With Withdrawal Fee received from {ChargePayer}","Business Payment With Withdrawal","1004","1004","1003","Fee For B2C Payment Withdrawal Charge Paid To Customer","10000018","Fee For B2C Payment Withdrawal Charge Paid To Customer","","203000000000010002","2014-03-11 20:07:06.905000","","0","203000000000010002","2014-04-03 14:30:57.193000","","0","20004","50","20095"<endrec>
"2","2","Deposit commission recieved from{ChargePayer}","Deposit commission paid to {ChargeReceiver}","1005","1004","1004","Deposit Charge","10000020","Deposit Charge","","203000000000010002","2014-03-12 15:02:59.739000","","0","203000000000010002","2014-03-14 11:12:50.959000","","0","20006","50","20102"<endrec>
"2","1","Payment Received From {CreditParty}","Pay Bill Charge","1003","1003","1005","Pay Utility Charge By Organization","10000022","Pay Utility Charge By Organization","","203000000000010002","2014-03-13 11:28:23.355000","","0","203000000000020211","2017-04-11 13:53:01.687000","","0","20009","30","20126"<endrec>
"2","1","Payment Recieved form {DebitParty}","Pay Merchant Charge","1004","1003","1005","Pay Merchant Charge By Customer","10000023","Pay Merchant Charge By Customer","","203000000000010002","2014-03-13 14:54:38.817000","","0","203000000000010806","2017-08-28 14:51:24.227000","","0","20010","60","20129"<endrec>
"2","1","Payment recieved from {CreditParty}","Pay merchant Charge","1003","1003","1005","Pay Merchant Charge By Organization","10000024","Pay Merchant Charge By Organization","","203000000000010002","2014-03-13 14:57:28.345000","","0","203000000000010002","2014-03-13 14:57:40.321000","","0","20010","30","20130"<endrec>
"2","2","Deposit commission","Deposit commission","1005","1004","1004","Deposit Charge","10000020","Deposit Charge","","203000000000010002","2014-03-14 11:12:45.124000","","0","203000000000010002","2014-03-14 11:12:50.977000","","0","20006","30","20164"<endrec>
"2","5","Business Transaction Charge Paid By Credit Party","Business Transaction Charge","1003","1004","1004","Business Deposit of Funds Charge","10000025","Business Deposit of Funds Charge","","203000000000010002","2014-03-14 16:47:21.228000","","0","203000000000010002","2014-03-17 10:39:31.493000","","0","20003","50","20170"<endrec>
"2","5","Business Transaction Charge Paid By Debit Party","Business Transaction Charge","1004","1003","1003","Business Withdrawal of Funds Charge","10000026","Business Withdrawal of Funds Charge","","203000000000010002","2014-03-14 16:50:04.977000","","0","203000000000010002","2014-03-17 10:40:20.549000","","0","20003","50","20171"<endrec>
"2","5","Business Transaction Charge Paid By {CreditParty}","Business Transaction Charge","1003","1004","1004","Business Deposit of Funds Charge","10000025","Business Deposit of Funds Charge","","203000000000010002","2014-03-17 10:39:23.182000","","0","203000000000010002","2014-03-17 10:39:31.511000","","0","20003","30","20185"<endrec>
"2","5","Business Transaction Charge Paid By {DebitParty}","Business Transaction Charge","1004","1003","1003","Business Withdrawal of Funds Charge","10000026","Business Withdrawal of Funds Charge","","203000000000010002","2014-03-17 10:40:10.478000","","0","203000000000010002","2014-03-17 10:40:20.567000","","0","20003","30","20186"<endrec>
"2","1","Airtime Purchase Discount Charge","Airtime Commission","1003","1003","1005","Airtime Purchase Discount Charge","10000027","Airtime Purchase Discount Charge","","203000000000010002","2014-03-17 14:45:11.795000","","0","203000000000015728","2017-08-15 14:50:24.029000","","0","20018","50","20205"<endrec>
"2","1","Customer Transfer of Funds Charge Received From {DebitParty}","Customer Transfer of Funds Charge","1004","1004","1005","Customer Transfer Charge","10000029","Customer Transfer Charge","","203000000000010002","2014-03-18 11:53:35.021000","","0","203000000000010002","2014-03-18 11:54:28.227000","","0","20020","30","20237"<endrec>
"2","1","Withdrawal at ATM Charge","Withdrawal at ATM Charge","1004","1003","1005","Withdrawal at ATM Charge","10000031","Withdrawal at ATM Charge","","203000000000010002","2014-03-19 13:38:15.464000","","0","203000000000010002","2014-03-19 13:38:31.681000","","0","20008","30","20280"<endrec>
"2","2","Withdrawal at ATM Commission","Withdrawal at ATM Commission","1005","1003","1003","Withdrawal at ATM Commission","10000032","Withdrawal at ATM Commission","","203000000000010002","2014-03-19 13:39:24.231000","","0","203000000000010002","2014-03-19 13:39:31.840000","","0","20008","30","20281"<endrec>
