CHG_DISTRIBUTION_DESC,CHG_DISTRIBUTION_ID,CREATE_OPER_ID,CREATE_OPER_TIME,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,NAME,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                <endrec>
"Aggregator 20PC Tariff","20001","203000000000010002","2014-03-17 17:15:59.975000","203000000000010002","2014-04-09 10:46:28.345000","","Aggregator 20PC Tariff","50","20215"<endrec>
"Aggregator 30 PC Tariff","20002","203000000000010002","2014-03-17 17:16:20.922000","203000000000010002","2014-04-09 10:46:28.055000","","Aggregator 30 PC Tariff","50","20216"<endrec>
"Aggregator 10PC Tariff","20003","203000000000010002","2014-03-17 17:17:35.352000","203000000000010002","2014-04-09 10:46:28.550000","","Aggregator 10PC Tariff","50","20217"<endrec>
"Aggregator 20PC Tariff","20001","203000000000010002","2014-04-07 13:51:52.789000","203000000000010002","2014-04-10 11:45:56.031000","","Aggregator 20PC Tariff","50","30013202"<endrec>
"Aggregator 10PC Tariff","20003","203000000000010002","2014-04-07 13:52:21.717000","203000000000010002","2014-04-10 11:45:06.076000","","Aggregator 10PC Tariff","50","30013203"<endrec>
"Aggregator 30 PC Tariff","20002","203000000000010002","2014-04-07 13:52:58.122000","203000000000010002","2014-04-10 11:45:55.842000","","Aggregator 30 PC Tariff","50","30013204"<endrec>
"Aggregator 10PC Tariff","20003","203000000000010002","2014-04-10 11:20:43.899000","203000000000017202","2016-12-02 09:36:56.369000","","Aggregator 10PC Tariff","50","30015657"<endrec>
"Aggregator 20PC Tariff","20001","203000000000010002","2014-04-10 11:22:18.542000","203000000000014911","2017-02-01 08:57:17.879000","","Aggregator 20PC Tariff","50","30015659"<endrec>
"Aggregator 30 PC Tariff","20002","203000000000010002","2014-04-10 11:44:03.285000","203000000000021013","2017-04-19 22:13:08.482000","","Aggregator 30 PC Tariff","50","30015663"<endrec>
"Aggregator 10PC Tariff","20003","203000000000017202","2016-12-02 09:36:37.904000","203000000000010806","2017-02-01 07:42:29.298000","","Aggregator 10PC Tariff","50","937244724"<endrec>
"Aggregator 10PC Tariff","20003","203000000000010806","2017-02-01 07:42:17.834000","203000000000010806","2017-09-01 14:10:29.356000","","Aggregator 10PC Tariff","50","937262713"<endrec>
"Aggregator 20PC Tariff","20001","203000000000014911","2017-02-01 08:56:54.972000","203000000000014911","2017-02-01 08:57:17.879000","","Aggregator 20PC Tariff","30","937262719"<endrec>
"Aggregator 30 PC Tariff","20002","203000000000021013","2017-04-19 22:13:01.296000","203000000000021013","2017-04-19 22:13:08.482000","","Aggregator 30 PC Tariff","30","937325879"<endrec>
"80PC Tarrif","20035","203000000000010811","2017-07-03 11:33:43.798000","203000000000010811","2017-07-03 11:33:53.900000","","80PC Tarrif","30","937371501"<endrec>
"Aggregator 10PC Tariff","20003","203000000000010806","2017-09-01 14:10:22.300000","203000000000010806","2017-09-01 14:17:37.477000","","Aggregator 10PC Tariff","50","937396980"<endrec>
"Aggregator 10PC Tariff","20003","203000000000010806","2017-09-01 14:17:30.777000","203000000000010806","2017-09-01 14:17:37.477000","","Aggregator 10PC Tariff","30","937396981"<endrec>
