ADVANCE_N_CONDITION,APPLYDATE,CFG_TYPE,CFG_UNIQUE_ID,CHG_CONDITION,EXPIREDATE,PRIORITY,RULE_DESC,RULE_ID,RULE_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"","2015-10-01 00:00:00.000000","1","937166338","10197","2015-10-31 23:59:59.000000","1","","100","test1"<endrec>
"","2016-06-23 00:00:00.000000","1","937250724","300092","2016-12-31 23:59:59.000000","1","","1000","DynamicBuyAirtimeforSP"<endrec>
"","2016-12-01 00:00:00.000000","1","937250737","300093","2016-12-30 23:59:59.000000","1","Send Money","1001","IBM_Dynamic1"<endrec>
"","2015-10-09 00:00:00.000000","1","937250737","300094","2015-10-30 23:59:59.000000","1","Send Money","1002","IBM_Dynamic2"<endrec>
"","2016-12-01 00:00:00.000000","1","937250738","300095","2016-12-30 23:59:59.000000","1","Send Money","1003","IBM_Dynamic1"<endrec>
"","2015-10-09 00:00:00.000000","1","937250738","300096","2015-10-30 23:59:59.000000","1","Send Money","1004","IBM_Dynamic2"<endrec>
"","2016-12-01 00:00:00.000000","1","937250741","300097","2016-12-30 23:59:59.000000","1","Send Money","1005","IBM_Dynamic1"<endrec>
"","2015-10-09 00:00:00.000000","1","937250741","300098","2016-12-31 23:59:59.000000","2","Send Money","1006","IBM_Dynamic2"<endrec>
"","2016-12-01 00:00:00.000000","1","937250743","300099","2016-12-30 23:59:59.000000","1","Send Money","1007","IBM_Dynamic1"<endrec>
"","2015-10-09 00:00:00.000000","1","937250743","300100","2016-12-31 23:59:59.000000","2","Send Money","1008","IBM_Dynamic2"<endrec>
"","2016-12-01 00:00:00.000000","1","937250748","300101","2016-12-30 23:59:59.000000","1","Send Money","1009","IBM_Dynamic1"<endrec>
"","2015-10-01 00:00:00.000000","1","937166338","10198","2015-10-31 23:59:59.000000","2","","101","test2"<endrec>
"","2015-10-09 00:00:00.000000","1","937250748","300102","2016-12-31 23:59:59.000000","2","Send Money","1010","IBM_Dynamic2"<endrec>
"","2016-07-06 00:00:00.000000","1","937215693","10889","2017-07-27 23:59:59.000000","1","Automation","1013","Automation"<endrec>
"","2016-12-01 00:00:00.000000","1","937253683","300108","2016-12-30 23:59:59.000000","1","Send Money","1023","IBM_Dynamic1"<endrec>
"","2015-10-09 00:00:00.000000","1","937253683","300109","2016-12-31 23:59:59.000000","2","Send Money","1024","IBM_Dynamic2"<endrec>
"","2016-12-26 00:00:00.000000","1","937253705","300110","2030-12-24 23:59:59.000000","1","test","1026","test"<endrec>
"","2016-12-26 00:00:00.000000","1","937253709","300111","2030-12-24 23:59:59.000000","1","test","1027","test"<endrec>
"","2016-12-26 00:00:00.000000","1","937253712","300112","2030-12-24 23:59:59.000000","1","test","1028","test"<endrec>
"","2015-10-09 00:00:00.000000","1","937166340","10199","2015-10-09 23:59:59.000000","1","Send Money","103","IBM_Dynamic1"<endrec>
"","2016-12-26 00:00:00.000000","1","937254685","300118","2030-12-24 23:59:59.000000","1","test","1033","test"<endrec>
"","2016-12-01 00:00:00.000000","1","937254708","300119","2017-01-30 23:59:59.000000","1","Send Money","1034","IBM_Dynamic1"<endrec>
"","2015-10-09 00:00:00.000000","1","937254708","300120","2016-12-31 23:59:59.000000","2","Send Money","1035","IBM_Dynamic2"<endrec>
"","2016-12-01 00:00:00.000000","1","937254711","300121","2017-01-30 23:59:59.000000","2","Send Money","1036","IBM_Dynamic1"<endrec>
"","2015-10-09 00:00:00.000000","1","937254711","300122","2017-01-31 23:59:59.000000","1","Send Money","1037","IBM_Dynamic2"<endrec>
"","2016-12-01 00:00:00.000000","1","937254714","300123","2017-01-30 23:59:59.000000","2","Send Money","1038","IBM_Dynamic1"<endrec>
"","2015-10-09 00:00:00.000000","1","937254714","300124","2017-01-31 23:59:59.000000","1","Send Money","1039","IBM_Dynamic2"<endrec>
"","2015-10-09 00:00:00.000000","1","937166340","10200","2015-10-14 23:59:59.000000","1","Send Money","104","IBM_Dynamic2"<endrec>
"","2016-12-01 00:00:00.000000","1","937254728","300125","2017-01-30 23:59:59.000000","2","Send Money","1040","IBM_Dynamic1"<endrec>
"","2015-10-09 00:00:00.000000","1","937254728","300126","2017-01-31 23:59:59.000000","1","Send Money","1041","IBM_Dynamic2"<endrec>
