ALLOW_MSG_LOG,CATALOG_ID,CHANNEL,COMMAND_HANDLE_MODULE,COMMAND_SCOPE,COMMAND_TYPE,COMMAND_VERSION,DESCRIPTION,DIRECT,HAS_SOAP_FAULT,INTERFACE_CODE,MSG_CODE,PARANT_COMMAND_SCOPE,REQUEST_FLAG,RESPONSE_COMMAND,SYC_ASC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  <endrec>
"","","API","","ADP_FailureUnableToProcessRequest","F","","M-Shwari soap fault","O","N","","","","0","",""<endrec>
"","3","API","Outgoing API Service","ActivateAccount","S","","NA","O","","16","","","1","ActivateAccountResponse","S"<endrec>
"","3","API","BO Service","ActivateAccountResponse","S","","NA","I","N","","","","0","",""<endrec>
"","3","API","Outgoing API Service","ActivateGroupAccount","S","","ActivateGroupAccount","O","N","33","","","1","ActivateGroupAccountResponse","S"<endrec>
"","3","API","BO Service","ActivateGroupAccountResponse","S","","ActivateGroupAccountResponse","I","N","","","","0","",""<endrec>
"","","API","","ActivateTill","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","-1","API","Outgoing GOA Service","AirtimeGOARequest","G","","AirtimeGOARequest","O","N","1","GOA_Charge","GOAHeader","1","AirtimeGOAResponse",""<endrec>
"","110","API","TC Event Service","AirtimeGOAResponse","S","","","I","N","","","","0","",""<endrec>
"","-1","API","Outgoing GOA Service","ApplyTransReqTestRef","G","","","O","N","2","GOA_BillValidation","GOAHeader","1","ApplyTransactionResponse",""<endrec>
"","-1","API","Outgoing GOA Service","ApplyTransactionRequest","G","","","O","N","2","","GOAHeader","1","ApplyTransactionResponse",""<endrec>
"","110","API","TC Event Service","ApplyTransactionResponse","S","","","I","N","","","","0","",""<endrec>
"","104","API","Outgoing API Service","AutoSweepOnlineRequestToBank","S","","","O","N","35","","","1","AutoSweepOnlineResponse","S"<endrec>
"","104","API","BO Service","AutoSweepOnlineResponse","S","","Auto Sweep Online Response","I","N","","","","0","",""<endrec>
"","104","API","BO Service","AutoSweepOnlineResponseSendFailed","S","","Auto Sweep Online Response Send Failed","I","N","","","","0","",""<endrec>
"","104","API","BO Service","AutoSweepOnlineResponseSoapFault","S","","Auto Sweep Online Response Soap Fault","I","N","","","","0","",""<endrec>
"","104","API","BO Service","AutoSweepOnlineResponseTimeOut","S","","Auto Sweep Online Response Time Out","I","N","","","","0","",""<endrec>
"","","API","BC Service","BCBusiness","P","","NA","I","N","","","","1","",""<endrec>
"","","API","BO Service","BOBusiness","P","","NA","I","N","","","","1","",""<endrec>
"","128","API","Outgoing API Service","BankAccounttoCPS","S","","Bank Account to CPS","O","N","48","BankAccounttoCPS","","1","BankAccounttoCPSResponse",""<endrec>
"","128","API","TC Event Service","BankAccounttoCPSResponse","S","","Bank Account to CPS Response","I","N","","","","0","",""<endrec>
"","128","API","TC Event Service","BankAccounttoCPSResponseSendFailed","S","","Bank Account to CPS Response Send Failed","I","N","","","","0","",""<endrec>
"","128","API","TC Event Service","BankAccounttoCPSResponseSoapFault","S","","Bank Account to CPS Response Soap Fault","I","N","","","","0","",""<endrec>
"","128","API","TC Event Service","BankAccounttoCPSResponseTimeOut","S","","Bank Account to CPS Response Time Out","I","N","","","","0","",""<endrec>
"","-1","API","Outgoing GOA Service","BillConfirmation","G","","","O","N","3","","GOAHeader","1","",""<endrec>
"","127","API","BO Service","BindBankAccountRequest","S","","Create Bank Account","I","","","","","1","BindBankAccountRequestResponse","S"<endrec>
"","127","API","BO Service","BindBankAccountRequestResponse","S","","Bind Bank Account Response","O","N","","","","0","",""<endrec>
"","","API","","BulkTask","S","","NA","I","N","","","BCBusiness","1","",""<endrec>
"","-1","API","Outgoing GOA Service","BuyGoodsGOARequest","G","","test","O","N","89","GOABuyGoods","GOAHeader","1","ApplyTransactionResponse",""<endrec>
"","104","API","TC Event Service","C2BPaymentConfirmationResult","S","","C2BPaymentConfirmationResult","I","N","","","","0","",""<endrec>
"","104","API","TC Event Service","C2BPaymentQueryResult","S","","C2BPaymentQueryResponse","I","N","","","","0","",""<endrec>
"","104","API","TC Event Service","C2BPaymentValidationResult","S","","C2BPaymentValidationResult","I","N","","","","0","",""<endrec>
"","128","API","Outgoing API Service","CPStoBankAccount","S","","CPS to Bank Account","O","N","49","CPStoBankAccount","","1","CPStoBankAccountResponse",""<endrec>
"","128","API","TC Event Service","CPStoBankAccountResponse","S","","CPS to Bank Account Response","I","N","","","","0","",""<endrec>
"","128","API","TC Event Service","CPStoBankAccountResponseSendFailed","S","","CPS to Bank Account Response Send Failed","I","N","","","","0","",""<endrec>
"","128","API","TC Event Service","CPStoBankAccountResponseSoapFault","S","","CPS to Bank Account Response Soap Fault","I","N","","","","0","",""<endrec>
"","128","API","TC Event Service","CPStoBankAccountResponseTimeOut","S","","CPS to Bank Account Response Time Out","I","N","","","","0","",""<endrec>
"","","API","Outgoing GOA Service","CancelOrder","G","","Cancel Redeem Points To Goods","O","N","103","","GOAHeader","1","CancelOrderResponse",""<endrec>
"","110","API","TC Event Service","CancelOrderResponse","S","","CompleteRedeemPointsToGoodsResponse","I","N","","","","0","",""<endrec>
"","110","API","GOA BO Service","CancelOrderResponseSendFailed","S","","Send Redeem points to goods request failed","I","N","","","","0","",""<endrec>
"","110","API","GOA BO Service","CancelOrderResponseSoapFault","S","","Send redeem points to goods request and receive soap fault","I","N","","","","0","",""<endrec>
"","110","API","GOA BO Service","CancelOrderResponseTimeOut","S","","Redeem Points to goods time out","I","N","","","","0","",""<endrec>
"","","API","","ChangeCustAcctStatus","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeCustDevice","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeCustKYC","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeCustLanguageViaCust","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeCustLanguageViaOperator","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeCustPIN","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeCustStatus","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","BO Service","ChangeCustomerStatus","S","","NA","I","N","","","BOBusiness","1","","A"<endrec>
"","-1","API","Outgoing GOA Service","ChangeDompetkuPIN","G","","ChangeDompetkuPIN","O","N","63","","GOAHeader","1","",""<endrec>
"","","API","","ChangeOrgAcctStatus","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeOrgKYC","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeOrgOperatorKYC","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeOrgOperatorLanguage","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeOrgOperatorOwnKYC","S","","OrgOperator Self Update KYC","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeOrgOperatorPIN","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeOrgOperatorStatus","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeOrgStatus","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeTillDevice","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","","API","","ChangeTillStatus","S","","NA","I","N","","","BOBusiness","1","",""<endrec>
"","104","API","Outgoing API Service","Charge","S","","Outgoing API Service","O","N","1","","","1","ChargeResponse",""<endrec>
"","104","API","TC Event Service","ChargeResponse","S","","ChargeResponse","I","N","","","","0","",""<endrec>
"","104","API","TC Event Service","ChargeResponseSendFailed","S","","ChargeResponseSendFailed","I","N","","","","0","",""<endrec>
"","104","API","TC Event Service","ChargeResponseSoapFault","S","","","I","N","","","","0","",""<endrec>
