CHANNEL,CURRENCY_CODE,CURRENCY_SYMBOL,CURRENCY_SYMBOL_POSITION,DECIMAL_DIGITS,DECIMAL_GROUPING_LENGTH,DECIMAL_GROUPING_SYMBOL,DECIMAL_POINT,LANGUAGE_CODE,NEGATIVE_FORMAT,NEGATIVE_SYMBOL,POSITIVE_FORMAT,POSITIVE_SYMBOL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               <endrec>
"1001","TZS","Tsh","4","2","3",",",".","en_KE","1","-","1","+"<endrec>
"1001","TZS","Tsh","4","2","3",",",".","sw_KE","1","-","1","+"<endrec>
"1005","TZS","Tsh","4","2","3",",",".","en_KE","1","-","1","+"<endrec>
"1005","TZS","Tsh","4","2","3",",",".","sw_KE","1","-","1","+"<endrec>
"1011","TZS","Tsh","4","2","3",",",".","en_KE","1","-","1","+"<endrec>
"1011","TZS","Tsh","4","2","3",",",".","sw_KE","1","-","1","+"<endrec>
"9999","999","Point","4","0","3",",",".","en","1","-","1","+"<endrec>
"9999","999","Point","4","0","3",",",".","en_KE","1","-","1","+"<endrec>
"9999","999","Point","4","0","3",",",".","sw_KE","1","-","1","+"<endrec>
"9999","CAD","$","1","0","-1",",",".","en","1","-","1","+"<endrec>
"9999","CAD","$","1","0","-1",",",".","en_KE","1","-","1","+"<endrec>
"9999","CAD","$","1","0","-1",",",".","sw_KE","1","-","1","+"<endrec>
"9999","GBP","£","1","2","3",",",".","en","1","-","1","+"<endrec>
"9999","GBP","£","1","2","3",",",".","en_KE","1","-","1","+"<endrec>
"9999","GBP","£","1","2","3",",",".","sw_KE","1","-","1","+"<endrec>
"9999","TZS","Tsh","4","2","3",",",".","en","1","-","1","+"<endrec>
"9999","TZS","Tsh","4","2","3",",",".","en_KE","1","-","1","+"<endrec>
"9999","TZS","Tsh","4","2","3",",",".","sw_KE","1","-","1","+"<endrec>
"9999","USD","$","1","2","3",",",".","en","1","-","1","+"<endrec>
"9999","USD","$","1","2","3",",",".","en_KE","1","-","1","+"<endrec>
"9999","USD","$","1","2","3",",",".","sw_KE","1","-","1","+"<endrec>
