DATA_DICT_KEY,DATA_DICT_VALUE,DISPLAY_ORDER,IS_EDITABLE,LOAD_DATA_TS,NAME,STATUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        <endrec>
"ACCOUNT_STATUS","1000","1","N","","New","1"<endrec>
"ACCOUNT_STATUS","1002","2","N","","Active","1"<endrec>
"ACCOUNT_STATUS","1004","3","N","","Suspended","1"<endrec>
"ACCOUNT_STATUS","1005","4","N","","Frozen","1"<endrec>
"ACCOUNT_STATUS","1006","5","N","","Closed","1"<endrec>
"ACCOUNT_STATUS","1007","6","N","","Dormant","1"<endrec>
"ACTION.USSD_PUSH.EXPIRD","1","1","N","","Terminate","1"<endrec>
"ACTION.USSD_PUSH.EXPIRD","2","2","N","","Continue as Cancellation","1"<endrec>
"ACTION.USSD_PUSH.EXPIRD","3","3","N","","Continue as Confirmation","1"<endrec>
"ACTIVITY.PARAM.TYPE","Athourization","1","N","","Authorization","1"<endrec>
"ACTIVITY.PARAM.TYPE","Check Voucher","3","N","","Check Voucher","1"<endrec>
"ACTIVITY.PARAM.TYPE","Disabled","5","N","","Disabled","1"<endrec>
"ACTIVITY.PARAM.TYPE","Issuing Authorized Voucher","2","N","","Issuing Authorized Voucher","1"<endrec>
"ACTIVITY.PARAM.TYPE","Issuing Voucher","4","N","","Issuing Voucher","1"<endrec>
"ACTIVITY.PARAM.TYPE","Send Failure Notification","10","N","","Send Failure Notification","1"<endrec>
"ACTIVITY.PARAM.TYPE","Send Failure Recharge MSISDN Notification","13","N","","Send Failure Recharge MSISDN Notification","1"<endrec>
"ACTIVITY.PARAM.TYPE","Send Notification","9","N","","Send Notification","1"<endrec>
"ACTIVITY.PARAM.TYPE","Send Recharge MSISDN Notification","12","N","","Send Recharge MSISDN Notification","1"<endrec>
"ACTIVITY.PARAM.TYPE","Validate KYC","11","N","","Validate KYC","1"<endrec>
"ACTIVITY.PARAM.TYPE","send Failure Notification","8","N","","Send Failure Notification","1"<endrec>
"ACTIVITY.PARAM.TYPE","send Notification","7","N","","Send Notification","1"<endrec>
"ACTIVITY.PARAM.TYPE","send sms confirmation request","6","N","","Send SMS Confirmation Request","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","1","1","N","","1st","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","10","10","N","","10th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","11","11","N","","11th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","12","12","N","","12th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","13","13","N","","13th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","14","14","N","","14th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","15","15","N","","15th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","16","16","N","","16th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","17","17","N","","17th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","18","18","N","","18th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","19","19","N","","19th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","2","2","N","","2nd","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","20","20","N","","20th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","21","21","N","","21st","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","22","22","N","","22nd","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","23","23","N","","23rd","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","24","24","N","","24th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","25","25","N","","25th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","26","26","N","","26th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","27","27","N","","27th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","28","28","N","","28th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","3","3","N","","3rd","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","4","4","N","","4th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","5","5","N","","5th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","6","6","N","","6th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","7","7","N","","7th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","8","8","N","","8th","1"<endrec>
"ACTUAL_CREDIT_DATE_MONTH","9","9","N","","9th","1"<endrec>
"ACTUAL_CREDIT_DATE_WEEK","1","1","N","","Sunday","1"<endrec>
"ACTUAL_CREDIT_DATE_WEEK","2","2","N","","Monday","1"<endrec>
"ACTUAL_CREDIT_DATE_WEEK","3","3","N","","Tuesday","1"<endrec>
"ACTUAL_CREDIT_DATE_WEEK","4","4","N","","Wednesday","1"<endrec>
"ACTUAL_CREDIT_DATE_WEEK","5","5","N","","Thursday","1"<endrec>
"ACTUAL_CREDIT_DATE_WEEK","6","6","N","","Friday","1"<endrec>
"ACTUAL_CREDIT_DATE_WEEK","7","7","N","","Saturday","1"<endrec>
"AG_TEMPLATE_COMMAND_VERSION","1.0","1","N","","1.0","1"<endrec>
"AG_WS_CLIENT_CERTIFICATE","0","1","N","","No","1"<endrec>
"AG_WS_CLIENT_CERTIFICATE","1","2","N","","Yes","1"<endrec>
"AG_WS_CLIENT_IPLIMIT","0","1","N","","No","1"<endrec>
"AG_WS_CLIENT_IPLIMIT","1","2","N","","Yes","1"<endrec>
"AG_WS_CLIENT_SERIALNO","0","1","N","","No","1"<endrec>
"AG_WS_CLIENT_SERIALNO","1","2","N","","Yes","1"<endrec>
"AG_WS_MSG_MAX_RESEND_INTERVAL_MODE","0","1","N","","Fixed Mode","1"<endrec>
"AG_WS_MSG_MAX_RESEND_INTERVAL_MODE","1","2","N","","Ascending Mode","1"<endrec>
"AG_WS_REC_MSG","0","1","N","","No","1"<endrec>
"AG_WS_REC_MSG","1","2","N","","Yes","1"<endrec>
"API_CHANNEL","1002","1","N","","STK","1"<endrec>
"API_CHANNEL","1003","2","N","","USSD","1"<endrec>
"API_CHANNEL","1005","3","N","","Web","1"<endrec>
"API_CHANNEL","1010","4","N","","API","1"<endrec>
"API_CHANNEL","1014","5","N","","APP","1"<endrec>
"BANK.SWITCHING.CODES","Bank Switching Code","1","Y","","Bank Switching Name","1"<endrec>
"BANKACCOUNT.BANK.TYPE","1","1","Y","","Trusted Bank","1"<endrec>
"BANKACCOUNT.BANK.TYPE","2","2","Y","","Non-Trusted Bank","1"<endrec>
"BANK_CARD_TYPE","0","3","N","","Band Account","1"<endrec>
"BANK_CARD_TYPE","1","1","N","","Debit Card","1"<endrec>
"BANK_CARD_TYPE","2","2","N","","Credit Card","1"<endrec>
"BANK_CATEGORY","1","1","N","","East Bank (Sample)","1"<endrec>
"BANK_CATEGORY","10","10","N","","PRIME BANK LTD                       ","1"<endrec>
"BANK_CATEGORY","100","100","N","","KENGEN                               ","1"<endrec>
"BANK_CATEGORY","11","11","N","","THE COOPERATIVE BANK OF KENYA        ","1"<endrec>
"BANK_CATEGORY","110","101","Y","","SPECIAL MIGRATION","1"<endrec>
"BANK_CATEGORY","12","12","N","","NATIONAL BANK OF KENYA LTD           ","1"<endrec>
"BANK_CATEGORY","120","102","Y","","GUARANTY TRUST BANK KENYA LTD","1"<endrec>
"BANK_CATEGORY","13","13","N","","Credit Bank Limited","1"<endrec>
"BANK_CATEGORY","14","14","N","","ORIENTAL COMMERCIAL BANK             ","1"<endrec>
"BANK_CATEGORY","15","15","N","","Diamond Trust Bank Limited","1"<endrec>
"BANK_CATEGORY","16","16","N","","CITIBANK                             ","1"<endrec>
"BANK_CATEGORY","17","17","N","","HABIB BANK A.G.ZURICH                ","1"<endrec>
"BANK_CATEGORY","18","18","N","","MIDDLE EAST BANK                     ","1"<endrec>
"BANK_CATEGORY","19","19","N","","BANK OF AFRICA KENYA LIMITED         ","1"<endrec>
"BANK_CATEGORY","2","2","N","","West Bank (Sample)","1"<endrec>
"BANK_CATEGORY","20","20","N","","DUBAI BANK OF KENYA LTD              ","1"<endrec>
"BANK_CATEGORY","21","21","N","","Fidelity Commercial Bank Limited","1"<endrec>
"BANK_CATEGORY","22","22","N","","Fina Bank Limited","1"<endrec>
"BANK_CATEGORY","23","23","N","","CONSOLIDATED BANK OF KENYA LTD       ","1"<endrec>
"BANK_CATEGORY","24","24","N","","Giro Commercial Bank Limited","1"<endrec>
"BANK_CATEGORY","25","25","N","","CREDIT BANK / TRUST / CITY FINANCE   ","1"<endrec>
"BANK_CATEGORY","26","26","N","","TRANSNATIONAL BANK LTD               ","1"<endrec>
"BANK_CATEGORY","27","27","N","","Habib Bank A G  Zurich","1"<endrec>
"BANK_CATEGORY","28","28","N","","Habib Bank Limited","1"<endrec>
"BANK_CATEGORY","29","29","N","","Housing Finance Bank","1"<endrec>
"BANK_CATEGORY","3","3","N","","BARCLAYS BANK OF KENYA LTD.          ","1"<endrec>
"BANK_CATEGORY","30","30","N","","CHASE BANK (K) LTD                   ","1"<endrec>
"BANK_CATEGORY","31","31","N","","CFC-STANBIC BANK LTD                 ","1"<endrec>
"BANK_CATEGORY","32","32","N","","Jamii Bora Bank","1"<endrec>
"BANK_CATEGORY","33","33","N","","Kenya Commercial Bank Limited","1"<endrec>
"BANK_CATEGORY","34","34","N","","K-Rep Bank Limited","1"<endrec>
"BANK_CATEGORY","35","35","N","","AFRICAN BANKING CORPORATION LTD.     ","1"<endrec>
"BANK_CATEGORY","36","36","N","","National Bank of Kenya Limited","1"<endrec>
"BANK_CATEGORY","37","37","N","","NIC Bank Limited","1"<endrec>
"BANK_CATEGORY","38","38","N","","Oriental Commercial Bank Limited","1"<endrec>
"BANK_CATEGORY","39","39","N","","IMPERIAL BANK LTD                    ","1"<endrec>
"BANK_CATEGORY","4","4","N","","Bank of India","1"<endrec>
"BANK_CATEGORY","40","40","N","","Standard Chartered Bank Kenya Limited","1"<endrec>
"BANK_CATEGORY","41","41","N","","NATIONAL INDUSTRIAL CREDIT BANK      ","1"<endrec>
"BANK_CATEGORY","42","42","N","","GIRO BANK LTD / COMMERCE BANK        ","1"<endrec>
"BANK_CATEGORY","43","43","N","","ECOBANK KENYA LTD                    ","1"<endrec>
"BANK_CATEGORY","44","44","Y","","Bank of China","1"<endrec>
"BANK_CATEGORY","49","49","N","","EQUATORIAL COMMERCIAL BANK LTD       ","1"<endrec>
"BANK_CATEGORY","5","5","N","","BANK OF INDIA                        ","1"<endrec>
"BANK_CATEGORY","50","50","N","","PARAMOUNT UNIVERSAL BANK LTD         ","1"<endrec>
"BANK_CATEGORY","51","51","N","","JAMII BORA                           ","1"<endrec>
"BANK_CATEGORY","53","53","N","","FINA BANK LTD.                       ","1"<endrec>
"BANK_CATEGORY","54","54","N","","VICTORIA COMMERCIAL BANK LTD         ","1"<endrec>
"BANK_CATEGORY","55","55","N","","GUARDIAN BANK / GUILDERS             ","1"<endrec>
"BANK_CATEGORY","57","57","N","","INVESTMENT & MORGAGES BANK LTD       ","1"<endrec>
"BANK_CATEGORY","59","59","N","","DEVELOPMENT BANK OF KENYA            ","1"<endrec>
"BANK_CATEGORY","6","6","N","","BANK OF BARODA                       ","1"<endrec>
"BANK_CATEGORY","60","60","N","","FIDELITY COMMERCIAL BANK LTD         ","1"<endrec>
"BANK_CATEGORY","61","61","N","","HOUSING FINANCE                      ","1"<endrec>
