CATEGORY_ID,CUSTOMIZE_DISP_ORDER,DATA_DICT_KEY,DESCRIPTION,IS_EDITABLE,IS_VISIBLE,LOAD_DATA_TS,NAME,REG_EXP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"Others","","ACCOUNT_STATUS","Account status","N","Y","","Account status",""<endrec>
"Others","","ACTION.USSD_PUSH.EXPIRD","ACTION.USSD_PUSH.EXPIRD","N","N","","ACTION.USSD_PUSH.EXPIRD",""<endrec>
"Others","","ACTIVITY.PARAM.TYPE","Activity Param Type","N","N","","Activity Param Type",""<endrec>
"Others","","ACTUAL_CREDIT_DATE_MONTH","ACTUAL_CREDIT_DATE_MONTH","N","N","","ACTUAL_CREDIT_DATE_MONTH",""<endrec>
"Others","","ACTUAL_CREDIT_DATE_WEEK","ACTUAL_CREDIT_DATE_WEEK","N","N","","ACTUAL_CREDIT_DATE_WEEK",""<endrec>
"Others","","AG_WS_CLIENT_CERTIFICATE","Bind 3rd party certificate","N","N","","Bind 3rd party certificate",""<endrec>
"Others","","AG_WS_CLIENT_IPLIMIT","Filter 3rd party ip","N","N","","Filter 3rd party ip",""<endrec>
"Others","","AG_WS_CLIENT_SERIALNO","Review 3rd party serial no","N","N","","Review 3rd party serial no",""<endrec>
"Others","","AG_WS_MSG_MAX_RESEND_INTERVAL_MODE","Resend interval mode","N","N","","Resend interval mode",""<endrec>
"Others","","AG_WS_REC_MSG","Record ag message","N","N","","Record ag message",""<endrec>
"Others","","API_CHANNEL","API Channel","N","N","","API Channel",""<endrec>
"Others","","BANK.SWITCHING.CODES","","Y","Y","","Bank Switching Codes",""<endrec>
"KYC","N","BANK_CATEGORY","Bank Category","Y","Y","","Bank Category",""<endrec>
"Others","","BILL_CHAR_SET","Bill char set","N","N","","Bill char set",""<endrec>
"Others","","BILL_VALIDATION_OPTION","Bill validation option","N","N","","Bill validation option",""<endrec>
"Others","","BME.LOCALE","BME.LOCALE","N","N","","BME.LOCALE",""<endrec>
"Others","","BO_ROLE","Business Operation roles","N","Y","","Business Operation roles",""<endrec>
"Others","","CHANNEL","Channels","N","Y","","Channels",""<endrec>
"Digit_analysis","","CHANNEL_CATEGORY","Channel category","N","N","","Channel category",""<endrec>
"KYC","","CHANNEL_CLIENTID","Channel ClientID","Y","Y","","Channel ClientID",""<endrec>
"Others","","CLAWBACK_REASON_LIST","Reason for Clawback","N","N","","Reason for Clawback",""<endrec>
"Others","","COM.STATUS","COM.STATUS","N","N","","COM.STATUS",""<endrec>
"Others","","COMMISSION_INVOICE_EXTRAS","","N","N","","Invoice Extras",""<endrec>
"Others","","COMMISSION_INVOICE_FILE_TYPE","","N","N","","Commission Invoice File Type",""<endrec>
"Others","","COMMISSION_INVOICE_STATUS","","N","N","","Commission Invoice Status",""<endrec>
"Others","","CONFIGURATION_DATA_TABLES_LIST","The tables related to configuration items that can be selected in GUI for querying.","N","N","","Configuration Data Tables List",""<endrec>
