ELEMENT_EXT_NO,ELEMENT_EXT_TYPE,ELEMENT_IDENTIFIER,ELEMENT_TYPE,EXTERNAL_ELEMENT_ID,NAME,PROVIDER,THIRD_PARTY_CODE,UNIQUE_ID,UNIT,VOLUME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                <endrec>
"","1","Time","1","1001","Bundle A","201000000000064005","","937442222","4","0"<endrec>
"","1","Time","1","1001","Bundle A","201000000000064005","","937442223","4","5"<endrec>
"","1","Time","1","1001","Bundle A","201000000000064005","","937442224","4","5"<endrec>
"","1","Time","1","1001","Bundle A","201000000000064005","","937468586","4","0"<endrec>
"","1","Time","1","1001","Bundle A","201000000000064005","","937468587","4","0"<endrec>
"","1","Time","1","1001","Bundle A","201000000000064005","","937468593","4","0"<endrec>
"","1","Time","1","1001","Bundle A","201000000000064005","","937468594","4","0"<endrec>
"","1","Time","1","1001","Bundle A","201000000000064005","","937468597","4","0"<endrec>
"","1","Time","1","1001","Bundle A","201000000000064005","","937491620","4","0"<endrec>
"","1","Time","1","1001","Bundle A","201000000000064005","","937533832","4","0"<endrec>
"","1","Time","1","1001","Bundle A","201000000000064005","","937583798","4","0"<endrec>
"","1","Time","1","1001","Bundle A","201000000000064005","","937585786","4","0"<endrec>
"","","Ashwini","1","2001","","201000000000064005","","937397010","4","0"<endrec>
"","","Ashwini","1","2001","","201000000000064005","","937433169","4","0"<endrec>
"","","Ashwini","1","2001","","201000000000064005","","937442223","4","5"<endrec>
"","","Ashwini","1","2001","","201000000000064005","","937442224","4","5"<endrec>
"","","Ashwini","1","2001","","201000000000064005","","937447262","4","0"<endrec>
"","","Ashwini","1","2001","","201000000000064005","","937468586","4","0"<endrec>
"","","Test1234","1","3","Test123","0","","937232565","TMS","0"<endrec>
"","","Test1234","1","3","Test123","0","","937233552","TMS","0"<endrec>
"","","test","1","3001","","201000000000048015","","937462338","4","0"<endrec>
"","","test","1","3001","","201000000000048015","","937462339","4","1"<endrec>
"","4","mbonga voice and SMS","1","4","mbonga voice and SMS","201000000000064005","mb100","937232562","4","200"<endrec>
"","4","mbonga voice and SMS","1","4","mbonga voice and SMS","201000000000064005","mb100","937290850","4","200"<endrec>
"","4","mbonga voice and SMS","1","4","mbonga voice and SMS","201000000000064005","mb100","937344879","4","200"<endrec>
"","4","mbonga voice and SMS","1","4","mbonga voice and SMS","201000000000064005","mb100","937433196","4","200"<endrec>
"","4","mbonga voice and SMS","1","4","mbonga voice and SMS","201000000000064005","mb100","937442223","4","5"<endrec>
"","4","mbonga voice and SMS","1","4","mbonga voice and SMS","201000000000064005","mb100","937442224","4","5"<endrec>
"","4","mbonga voice and SMS","1","4","mbonga voice and SMS","201000000000064005","mb100","937468586","4","0"<endrec>
"","4","mbonga voice and SMS","1","4","mbonga voice and SMS","201000000000064005","mb100","937475566","4","200"<endrec>
"","4","mbonga voice and SMS","1","4","mbonga voice and SMS","201000000000064005","mb100","937496732","4","200"<endrec>
"","4","mbonga voice and SMS","1","4","mbonga voice and SMS","201000000000064005","mb100","937600759","4","200"<endrec>
"24","4","10086","1","4001","","201000000000172001","","937515918","4","200"<endrec>
"24","4","10086","1","4001","","201000000000172001","","937515931","4","200"<endrec>
"24","4","10086","1","4001","","201000000000172001","","937517729","4","200"<endrec>
"24","4","10086","1","4001","","201000000000172001","","937518725","4","200"<endrec>
"24","4","10086","1","4001","","201000000000172001","","937583894","4","200"<endrec>
"24","4","10086","1","4001","","201000000000172001","","937595791","4","200"<endrec>
"","5","mbonga voice","1","5","mbonga voice","201000000000064005","mb200","937232564","3","50"<endrec>
"","5","mbonga voice","1","5","mbonga voice","201000000000064005","mb200","937433218","3","50"<endrec>
"","5","mbonga voice","1","5","mbonga voice","201000000000064005","mb200","937433221","3","50"<endrec>
"","5","mbonga voice","1","5","mbonga voice","201000000000064005","mb200","937442223","4","5"<endrec>
"","5","mbonga voice","1","5","mbonga voice","201000000000064005","mb200","937442224","4","5"<endrec>
"","5","mbonga voice","1","5","mbonga voice","201000000000064005","mb200","937442225","3","50"<endrec>
"","5","mbonga voice","1","5","mbonga voice","201000000000064005","mb200","937442229","3","50"<endrec>
"","5","mbonga voice","1","5","mbonga voice","201000000000064005","mb200","937468586","4","0"<endrec>
"","5","mbonga voice","1","5","mbonga voice","201000000000064005","mb200","937468595","1","2"<endrec>
"","5","mbonga voice","1","5","mbonga voice","201000000000064005","mb200","937555734","3","50"<endrec>
"","","MNO","1","5001","MNo test","201000000000029004","","937571755","4","100"<endrec>
"","2","mbonga SMS","1","6","mbonga SMS","201000000000064005","mb200","937232563","3","100"<endrec>
"","2","mbonga SMS","1","6","mbonga SMS","201000000000064005","mb200","937232569","4","0"<endrec>
"","2","mbonga SMS","1","6","mbonga SMS","201000000000064005","mb200","937235633","4","0"<endrec>
"","2","mbonga SMS","1","6","mbonga SMS","201000000000064005","mb200","937276829","4","0"<endrec>
"","2","mbonga SMS","1","6","mbonga SMS","201000000000064005","mb200","937328879","4","0"<endrec>
"","2","mbonga SMS","1","6","mbonga SMS","201000000000064005","mb200","937340875","3","100"<endrec>
"","2","mbonga SMS","1","6","mbonga SMS","201000000000064005","mb200","937442223","4","5"<endrec>
"","2","mbonga SMS","1","6","mbonga SMS","201000000000064005","mb200","937442224","4","5"<endrec>
"","2","mbonga SMS","1","6","mbonga SMS","201000000000064005","mb200","937466616","3","200"<endrec>
"","2","mbonga SMS","1","6","mbonga SMS","201000000000064005","mb200","937468586","4","0"<endrec>
"","2","mbonga SMS","1","6","mbonga SMS","201000000000064005","mb200","937510305","1","1"<endrec>
"","2","mbonga SMS","1","6","mbonga SMS","201000000000064005","mb200","937516760","1","1"<endrec>
"","2","mbonga SMS","1","6","mbonga SMS","201000000000064005","mb200","937516767","1","1"<endrec>
"","","12345","1","6001","","201000000000064005","","937583875","4","30"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937232570","4","0"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937232572","4","10"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937232573","1","20"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937233545","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937364012","4","0"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937364013","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937364014","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937364022","4","0"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937364023","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937364024","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937364028","4","0"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937364029","4","0"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937364030","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937364032","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937377510","4","0"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937443229","4","0"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937443234","1","20"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937445234","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937456367","4","0"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937473608","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937474545","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937489621","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937509824","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937509888","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937509947","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937510479","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937512825","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937514811","4","4"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937515909","4","1"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937515910","4","1"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937515933","4","1"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937516762","4","1"<endrec>
"","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345","937516763","4","1"<endrec>
