DESCRIPTION,ELEMENT_EXT_NO,ELEMENT_EXT_TYPE,ELEMENT_IDENTIFIER,ELEMENT_TYPE,EXTERNAL_ELEMENT_ID,NAME,PROVIDER,THIRD_PARTY_CODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          <endrec>
"Default","","1","Time","1","1001","Bundle A","201000000000064005",""<endrec>
"","","","Ashwini","1","2001","","201000000000064005",""<endrec>
"test","","","Test1234","1","3","Test123","",""<endrec>
"","","","test","1","3001","","201000000000048015",""<endrec>
"mb100","","4","mbonga voice and SMS","1","4","mbonga voice and SMS","201000000000064005","mb100"<endrec>
"","24","4","10086","1","4001","","201000000000172001",""<endrec>
"mbonga voice","","5","mbonga voice","1","5","mbonga voice","201000000000064005","mb200"<endrec>
"ddddd","","","MNO","1","5001","MNo test","201000000000029004",""<endrec>
"mb200","","2","mbonga SMS","1","6","mbonga SMS","201000000000064005","mb200"<endrec>
"","","","12345","1","6001","","201000000000064005",""<endrec>
"kopa12345","","4","Kopa mixed","1","7","Kopa mixed","201000000000029004","kopa12345"<endrec>
