ENTITY_NAME,LANGUAGE,NAME,VARIABLE_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 <endrec>
"0000000000001","en","","REASON_TYPE_NAME"<endrec>
"0000000000001","en_KE","","REASON_TYPE_NAME"<endrec>
"0000000000001","sw_KE","","REASON_TYPE_NAME"<endrec>
"01","en_KE","","KYC_ID_FORMAT_VALIDATION_DESCRIPTION"<endrec>
"03","en_KE","","KYC_ID_FORMAT_VALIDATION_DESCRIPTION"<endrec>
"0329","en","1213","CHARGE_PROFILE_NAME"<endrec>
"0329","en_KE","","CHARGE_PROFILE_NAME"<endrec>
"0329","sw_KE","","CHARGE_PROFILE_NAME"<endrec>
"04","en_KE","","KYC_ID_FORMAT_VALIDATION_DESCRIPTION"<endrec>
"05","en_KE","","KYC_ID_FORMAT_VALIDATION_DESCRIPTION"<endrec>
"1","en","","PRODUCT_DESCRIPTION"<endrec>
"1","en","","PRODUCT_NAME"<endrec>
"1","en","","RULE_PROFILE_NAME"<endrec>
"1","en_KE","1","CHARGE_DISTRIBUTION_MODEL_NAME"<endrec>
"1","en_KE","","PRODUCT_DESCRIPTION"<endrec>
"1","en_KE","","PRODUCT_NAME"<endrec>
"1","en_KE","","RULE_PROFILE_NAME"<endrec>
"1","en_KE","1","TAX_CODE_NAME"<endrec>
"1","en_KE","1","VOUCHER_TYPE_NAME"<endrec>
"1","sw_KE","","PRODUCT_DESCRIPTION"<endrec>
"1","sw_KE","","PRODUCT_NAME"<endrec>
"1","sw_KE","","RULE_PROFILE_NAME"<endrec>
"1000","en","","TAX_CODE_NAME"<endrec>
"1000","en_KE","Commission Earned Withholding Tax Charge For Organizations","TAX_CODE_NAME"<endrec>
"1000","sw_KE","","TAX_CODE_NAME"<endrec>
"11","en","","REASON_TYPE_NAME"<endrec>
"11","en","","TRANSACTION_TYPE_DESCRIPTION"<endrec>
"11","en","11","TRANSACTION_TYPE_NAME"<endrec>
"11","en_KE","","REASON_TYPE_NAME"<endrec>
"11","en_KE","","TRANSACTION_TYPE_DESCRIPTION"<endrec>
"11","en_KE","","TRANSACTION_TYPE_NAME"<endrec>
"11","sw_KE","","REASON_TYPE_NAME"<endrec>
"11","sw_KE","","TRANSACTION_TYPE_DESCRIPTION"<endrec>
"11","sw_KE","","TRANSACTION_TYPE_NAME"<endrec>
"111","en","","ACCOUNT_TYPE_NAME"<endrec>
"111","en","","VOUCHER_TYPE_NAME"<endrec>
"111","en_KE","","ACCOUNT_TYPE_NAME"<endrec>
"111","en_KE","","VOUCHER_TYPE_NAME"<endrec>
"111","sw_KE","","ACCOUNT_TYPE_NAME"<endrec>
"111","sw_KE","","VOUCHER_TYPE_NAME"<endrec>
"1122","en","","ACCOUNT_TYPE_NAME"<endrec>
"1122","en_KE","","ACCOUNT_TYPE_NAME"<endrec>
"1122","sw_KE","","ACCOUNT_TYPE_NAME"<endrec>
"123","en","123","ACCOUNT_TYPE_NAME"<endrec>
"123","en","","BUNDLE_NAME"<endrec>
"123","en","","KYC_FIELD_NAME"<endrec>
"123","en","","KYC_FIELD_VALIDATION_DESCRIPTION"<endrec>
"123","en","","RULE_PROFILE_NAME"<endrec>
"123","en_KE","","ACCOUNT_TYPE_NAME"<endrec>
"123","en_KE","","BUNDLE_NAME"<endrec>
"123","en_KE","","KYC_FIELD_NAME"<endrec>
"123","en_KE","","KYC_FIELD_VALIDATION_DESCRIPTION"<endrec>
"123","en_KE","","RULE_PROFILE_NAME"<endrec>
"123","sw_KE","","ACCOUNT_TYPE_NAME"<endrec>
"123","sw_KE","","BUNDLE_NAME"<endrec>
"123","sw_KE","","KYC_FIELD_NAME"<endrec>
"123","sw_KE","","KYC_FIELD_VALIDATION_DESCRIPTION"<endrec>
"123","sw_KE","","RULE_PROFILE_NAME"<endrec>
"222","en","","VOUCHER_TYPE_NAME"<endrec>
"222","en_KE","","VOUCHER_TYPE_NAME"<endrec>
"222","sw_KE","","VOUCHER_TYPE_NAME"<endrec>
"23082019","en","","BUNDLE_NAME"<endrec>
"23082019","en_KE","","BUNDLE_NAME"<endrec>
"23082019","sw_KE","","BUNDLE_NAME"<endrec>
"234","en","","RULE_PROFILE_NAME"<endrec>
"234","en_KE","","RULE_PROFILE_NAME"<endrec>
"234","sw_KE","","RULE_PROFILE_NAME"<endrec>
"26112019 Charge Profile","en","26112019 Charge Profile","CHARGE_PROFILE_NAME"<endrec>
"26112019 Charge Profile","en_KE","Default Customer Charge Profile","CHARGE_PROFILE_NAME"<endrec>
"26112019 Charge Profile","sw_KE","Default Customer Charge Profile","CHARGE_PROFILE_NAME"<endrec>
"6131retest","en","6131retest","ACCOUNT_TYPE_NAME"<endrec>
"6131retest","en_KE","6131retest","ACCOUNT_TYPE_NAME"<endrec>
"6131retest","sw_KE","6131retest","ACCOUNT_TYPE_NAME"<endrec>
"6666","en","","ROLE_DESCRIPTION"<endrec>
"6666","en","6666","ROLE_NAME"<endrec>
"6666","en_KE","Agent Administrator","ROLE_DESCRIPTION"<endrec>
"6666","en_KE","Agent Administrator","ROLE_NAME"<endrec>
"6666","sw_KE","","ROLE_DESCRIPTION"<endrec>
"6666","sw_KE","","ROLE_NAME"<endrec>
"80PC Tarrif","en","80PC Tarrif","CHARGE_DISTRIBUTION_MODEL_NAME"<endrec>
"80PC Tarrif","en_KE","80PC Tarrif","CHARGE_DISTRIBUTION_MODEL_NAME"<endrec>
"80PC Tarrif","sw_KE","80PC Tarrif","CHARGE_DISTRIBUTION_MODEL_NAME"<endrec>
"888888","en","","TAX_CODE_NAME"<endrec>
"888888","en_KE","","TAX_CODE_NAME"<endrec>
"888888","sw_KE","","TAX_CODE_NAME"<endrec>
"96 Minimum Agent float to MMF Transfer","en","96 Minimum Agent float to MMF Transfer","RULE_PROFILE_NAME"<endrec>
"96 Minimum Agent float to MMF Transfer","en_KE","","RULE_PROFILE_NAME"<endrec>
"96 Minimum Agent float to MMF Transfer","sw_KE","","RULE_PROFILE_NAME"<endrec>
"AG_EXT1000","en_KE","MSISDN is provided in CCH request do not match","LIMIT_ERROR_MESSAGE"<endrec>
"AG_EXT1000","sw_KE","","LIMIT_ERROR_MESSAGE"<endrec>
