ATTR_CODE,DATA_TYPE,FI_ACCOUNT_DEF_ID,NEED_ENCRYPT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"AccountCreationTimeStamp","4","10016","N"<endrec>
"AccountCreationTimeStamp","4","1220011","N"<endrec>
"AccountCreationTimeStamp","4","160011","N"<endrec>
"AccountCreationTimeStamp","4","220012","N"<endrec>
"AccountCreationTimeStamp","4","90013","N"<endrec>
"AccountNumber","1","10006","Y"<endrec>
"AccountNumber","1","10012","Y"<endrec>
"AccountNumber","1","10014","N"<endrec>
"AccountNumber","1","10016","Y"<endrec>
"AccountNumber","1","110017","Y"<endrec>
"AccountNumber","1","1220011","Y"<endrec>
"AccountNumber","1","130011","Y"<endrec>
"AccountNumber","1","150011","Y"<endrec>
"AccountNumber","1","150014","Y"<endrec>
"AccountNumber","1","160011","Y"<endrec>
"AccountNumber","1","220012","Y"<endrec>
"AccountNumber","1","80011","N"<endrec>
"AccountNumber","1","90013","N"<endrec>
"AccountOpenedDate","1","10014","N"<endrec>
"Address1","1","10014","N"<endrec>
"Address2","1","10014","N"<endrec>
"AgentName","1","10014","N"<endrec>
"AgentNumber","1","10014","N"<endrec>
"BankNShortCode","1","130011","N"<endrec>
"BankNShortCode","1","150011","N"<endrec>
"BankNShortCode","1","150014","N"<endrec>
"BankNShortCode","1","160013","N"<endrec>
"BankName","1","10006","N"<endrec>
"BankName","1","10014","N"<endrec>
"BankName","1","130011","N"<endrec>
"BankName","1","150011","N"<endrec>
"BankShortCode","1","10006","N"<endrec>
"BankShortCode","1","10014","N"<endrec>
"BankShortCode","1","10016","N"<endrec>
"BankShortCode","1","110026","N"<endrec>
"BankShortCode","1","1220011","N"<endrec>
"BankShortCode","1","160011","N"<endrec>
"BankShortCode","1","220012","N"<endrec>
"CityTown","1","10014","N"<endrec>
"DateOfBirth","1","10014","N"<endrec>
"FIAccountNumber","1","110026","N"<endrec>
"FirstName","1","10014","N"<endrec>
"LastName","1","10014","N"<endrec>
"MiddleName","1","10014","N"<endrec>
"MobilePhoneNumber","1","10014","N"<endrec>
"NationalIdReferenceNumber","1","10014","N"<endrec>
"PassportNumber","1","10014","N"<endrec>
"PoBox","1","10014","N"<endrec>
"PostalCode","1","10014","N"<endrec>
"ReferenceNumber","1","10014","N"<endrec>
"TransactionID","1","10014","N"<endrec>
