FSI_LINK_TYPE,NEED_READ_CONDITION,PRODUCT_INDEX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <endrec>
"30006","N","10000268"<endrec>
"30006","Y","10000269"<endrec>
"30007","N","10000278"<endrec>
"40006","N","10000342"<endrec>
"40006","N","10000468"<endrec>
"10002","N","10000838"<endrec>
"40006","N","10001028"<endrec>
"10002","N","10001999"<endrec>
"980006","N","10002001"<endrec>
"10002","N","41"<endrec>
"10003","N","42"<endrec>
"10004","N","43"<endrec>
