IS_DEFAULT,LOAD_DATA_TS,MAX_NUM_ALLOWED,MIN_NUM_REQUIRED,PRODUCT_UNIQUE_ID,ROLE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"1","","10","1","937192532","500000000000011802"<endrec>
"1","","10","1","937198561","500000000000011802"<endrec>
"1","","10","1","937198587","500000000000011802"<endrec>
"0","","20","0","937198587","500000000000011803"<endrec>
"0","","10","2","937198587","500000000000011902"<endrec>
"1","","10","1","937199551","500000000000011802"<endrec>
"0","","20","0","937199551","500000000000011803"<endrec>
"0","","10","2","937199551","500000000000011902"<endrec>
"1","","10","1","937201530","500000000000011802"<endrec>
"0","","20","0","937201530","500000000000011803"<endrec>
"0","","10","2","937201530","500000000000011902"<endrec>
"1","","10","1","937203546","500000000000011802"<endrec>
"0","","20","0","937203546","500000000000011803"<endrec>
"0","","10","2","937203546","500000000000011902"<endrec>
"1","","10","1","937205566","500000000000011802"<endrec>
"0","","20","0","937205566","500000000000011803"<endrec>
"0","","10","2","937205566","500000000000011902"<endrec>
"1","","10","1","937205567","500000000000011802"<endrec>
"0","","20","0","937205567","500000000000011803"<endrec>
"0","","10","2","937205567","500000000000011902"<endrec>
"1","","10","1","937205607","500000000000011802"<endrec>
"1","","20","1","937205607","500000000000011803"<endrec>
"0","","10","2","937205607","500000000000011902"<endrec>
"1","","10","1","937205608","500000000000011802"<endrec>
"0","","20","4","937205608","500000000000011803"<endrec>
"0","","10","2","937205608","500000000000011902"<endrec>
"1","","10","1","937205609","500000000000011802"<endrec>
"0","","20","4","937205609","500000000000011803"<endrec>
"0","","2","2","937205609","500000000000011902"<endrec>
"1","","10","1","937205610","500000000000011802"<endrec>
"0","","2","0","937205610","500000000000011803"<endrec>
"0","","2","2","937205610","500000000000011902"<endrec>
"1","","10","1","937205611","500000000000011802"<endrec>
"0","","1","0","937205611","500000000000011803"<endrec>
"0","","2","2","937205611","500000000000011902"<endrec>
"1","","10","1","937205612","500000000000011802"<endrec>
"0","","20","0","937205612","500000000000011803"<endrec>
"0","","20","2","937205612","500000000000011902"<endrec>
"1","","10","1","937205620","500000000000011802"<endrec>
"0","","20","0","937205620","500000000000011803"<endrec>
"0","","20","2","937205620","500000000000011902"<endrec>
"1","","10","1","937205621","500000000000011802"<endrec>
"0","","20","0","937205621","500000000000011803"<endrec>
"0","","10","2","937205621","500000000000011902"<endrec>
"1","","10","1","937205633","500000000000011802"<endrec>
"0","","20","0","937205633","500000000000011803"<endrec>
"0","","20","2","937205633","500000000000011902"<endrec>
"1","","10","1","937205635","500000000000011802"<endrec>
"0","","20","0","937205635","500000000000011803"<endrec>
"0","","10","2","937205635","500000000000011902"<endrec>
"1","","10","1","937205662","500000000000011802"<endrec>
"0","","20","0","937205662","500000000000011803"<endrec>
"0","","20","2","937205662","500000000000011902"<endrec>
"1","","10","1","937205663","500000000000011802"<endrec>
"0","","20","0","937205663","500000000000011803"<endrec>
"0","","10","2","937205663","500000000000011902"<endrec>
"1","","10","1","937205705","500000000000011802"<endrec>
"0","","20","0","937205705","500000000000011803"<endrec>
"0","","20","2","937205705","500000000000011902"<endrec>
"1","","10","1","937210650","500000000000011802"<endrec>
"0","","1","0","937210650","500000000000011803"<endrec>
"0","","20","2","937210650","500000000000011902"<endrec>
"1","","10","1","937210651","500000000000011802"<endrec>
"0","","20","0","937210651","500000000000011803"<endrec>
"0","","20","2","937210651","500000000000011902"<endrec>
"1","","10","1","937210652","500000000000011802"<endrec>
"0","","20","2","937210652","500000000000011902"<endrec>
"1","","10","1","937210653","500000000000011802"<endrec>
"0","","20","2","937210653","500000000000011902"<endrec>
"1","","10","1","937210687","500000000000011802"<endrec>
"0","","20","0","937210687","500000000000011803"<endrec>
"0","","10","2","937210687","500000000000011902"<endrec>
"1","","10","1","937210688","500000000000011802"<endrec>
"0","","20","0","937210688","500000000000011803"<endrec>
"0","","20","2","937210688","500000000000011902"<endrec>
"1","","10","1","937210705","500000000000011802"<endrec>
"0","","20","0","937210705","500000000000011803"<endrec>
"0","","20","2","937210705","500000000000011902"<endrec>
"1","","10","1","937210706","500000000000011802"<endrec>
"0","","20","0","937210706","500000000000011803"<endrec>
"0","","10","2","937210706","500000000000011902"<endrec>
"1","","10","2","937210752","500000000000011902"<endrec>
"1","","10","1","937210778","500000000000011802"<endrec>
"0","","20","0","937210778","500000000000011803"<endrec>
"0","","20","2","937210778","500000000000011902"<endrec>
"1","","10","1","937210790","500000000000011802"<endrec>
"0","","20","0","937210790","500000000000011803"<endrec>
"0","","20","2","937210790","500000000000011902"<endrec>
"1","","10","1","937213619","500000000000011802"<endrec>
"0","","20","0","937213619","500000000000011803"<endrec>
"0","","20","2","937213619","500000000000011902"<endrec>
"1","","10","1","937215543","500000000000011802"<endrec>
"0","","20","0","937215543","500000000000011803"<endrec>
"0","","20","2","937215543","500000000000011902"<endrec>
"1","","10","1","937215583","500000000000011802"<endrec>
"0","","20","0","937215583","500000000000011803"<endrec>
"0","","10","2","937215583","500000000000011902"<endrec>
"1","","10","1","937215603","500000000000011802"<endrec>
"0","","20","0","937215603","500000000000011803"<endrec>
"0","","20","2","937215603","500000000000011902"<endrec>
"1","","10","1","937215604","500000000000011802"<endrec>
"0","","20","0","937215604","500000000000011803"<endrec>
"0","","10","2","937215604","500000000000011902"<endrec>
"1","","10","1","937215663","500000000000011802"<endrec>
"0","","20","0","937215663","500000000000011803"<endrec>
"0","","10","2","937215663","500000000000011902"<endrec>
"1","","10","1","937215664","500000000000011802"<endrec>
"0","","20","0","937215664","500000000000011803"<endrec>
"0","","10","2","937215664","500000000000011902"<endrec>
"1","","10","1","937215682","500000000000011802"<endrec>
"0","","20","0","937215682","500000000000011803"<endrec>
"0","","10","2","937215682","500000000000011902"<endrec>
"1","","10","1","937215683","500000000000011802"<endrec>
"0","","20","0","937215683","500000000000011803"<endrec>
"0","","10","2","937215683","500000000000011902"<endrec>
"1","","10","1","937216655","500000000000011802"<endrec>
"0","","20","0","937216655","500000000000011803"<endrec>
"0","","20","1","937216655","500000000000011902"<endrec>
"1","","2","1","937217546","500000000000011802"<endrec>
"0","","20","0","937217546","500000000000011803"<endrec>
"0","","20","1","937217546","500000000000011902"<endrec>
"1","","2","1","937217555","500000000000011802"<endrec>
"1","","2","1","937217556","500000000000011802"<endrec>
"0","","10","0","937217556","500000000000011803"<endrec>
"0","","2","0","937217556","500000000000011902"<endrec>
"1","","10","1","937217557","500000000000011802"<endrec>
"0","","20","0","937217557","500000000000011803"<endrec>
"0","","10","0","937217557","500000000000011902"<endrec>
