ACTION_TYPE_INDEX,CHANNEL,INITIATOR_TYPE,NEED_AUTHORIZ,REASON_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"5883","1003","1000","true","-1"<endrec>
"5883","1003","3000","true","-1"<endrec>
"5883","1005","2000","false","-1"<endrec>
"5883","1005","3000","true","-1"<endrec>
"5885","1003","1000","true","-1"<endrec>
"5885","1005","2000","true","-1"<endrec>
"5885","1010","1000","true","-1"<endrec>
"5885","1010","2000","true","-1"<endrec>
"5885","1010","3000","true","-1"<endrec>
"5885","1012","1000","true","-1"<endrec>
"5885","1012","2000","true","-1"<endrec>
"5886","1003","1000","true","-1"<endrec>
"5886","1005","2000","false","-1"<endrec>
"5886","1010","1000","true","-1"<endrec>
"5886","1010","2000","true","-1"<endrec>
"5890","1003","3000","true","-1"<endrec>
"5892","1003","3000","true","-1"<endrec>
"8","1003","1000","true","10002638"<endrec>
"8","1003","1000","true","10002641"<endrec>
