IDENTITY_ORDER,IDENTITY_TYPE,TAB_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   <endrec>
"2","1000","CPS.LABEL.IDENTITY.KYCINFORMATION"<endrec>
"6","1000","CPS.LABEL.LINKED.IDENTITIES"<endrec>
"5","1000","CPS.LABEL.LOYALTY_POINTS.INFO"<endrec>
"4","1000","CPS.LABEL.PRODUCT"<endrec>
"7","1000","CPS.TITLE.ACCOUNT.CREDIT.LIMIT"<endrec>
"1","1000","CPS.TITLE.ACCOUNT.INFO"<endrec>
"3","1000","CPS.TITLE.DEVICE_SECURITY"<endrec>
"1","2000","CPS.LABEL.IDENTITY.KYCINFORMATION"<endrec>
"4","2000","CPS.LABEL.LINKED.IDENTITIES"<endrec>
"2","2000","CPS.THEAD.ROLE"<endrec>
"3","2000","CPS.TILTLE.SECURITY"<endrec>
"1","3000","CPS.LABEL.IDENTITY.KYCINFORMATION"<endrec>
"4","3000","CPS.LABEL.LINKED.IDENTITIES"<endrec>
"2","3000","CPS.THEAD.ROLE"<endrec>
"3","3000","CPS.TILTLE.SECURITY"<endrec>
"3","5000","CPS.LABEL.IDENTITY.KYCINFORMATION"<endrec>
"8","5000","CPS.LABEL.LOYALTY_POINTS.INFO"<endrec>
"5","5000","CPS.OPERATION.IDENTITY.ACCOUNTMODEL"<endrec>
"4","5000","CPS.PAGETITLE.TAX_EXEMPTION_LIST"<endrec>
"9","5000","CPS.TITLE.ACCOUNT.CREDIT.LIMIT"<endrec>
"1","5000","CPS.TITLE.ACCOUNT.INFO"<endrec>
"6","5000","CPS.TITLE.IDENTITY_DATAEXTRACTOR"<endrec>
"2","5000","CPS.TITLE.ORG.PRODUCT"<endrec>
"7","5000","CPS.TITLE.SETTLEMENT_PROFILE"<endrec>
"10","5000","CPS.TITLE.STATIC_QRCode"<endrec>
"1","6000","CPS.TITLE.DEVICE"<endrec>
"2","6000","CPS.TITLE_PRODUCT"<endrec>
"2","7000","CPS.LABEL.IDENTITY.KYCINFORMATION"<endrec>
"4","7000","CPS.LABEL.LOYALTY_POINTS.INFO"<endrec>
"3","7000","CPS.LABEL.PRODUCT"<endrec>
"5","7000","CPS.TITLE.ACCOUNT.CREDIT.LIMIT"<endrec>
"1","7000","CPS.TITLE.ACCOUNT.INFO"<endrec>
