CHANGE_BY_OWNER,DISPLAY_IN_SEARCH_RESULT,ENABLED,IDENTITY_TYPE,IS_CASE_SENSITIVE,IS_UNIQUE,KYC_FIELD_ID,KYC_GROUP_ID,LOAD_DATA_TS,MANDATORY,MAP_FIELD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   <endrec>
"0","0","1","1000","0","0","1001","1001","","1","field1"<endrec>
"0","0","1","1000","0","0","1002","1001","","0","field2"<endrec>
"0","0","1","1000","0","0","1003","1001","","1","field3"<endrec>
"0","0","1","1000","0","0","1004","1001","","0","field4"<endrec>
"0","0","1","1000","0","0","1007","1003","","0","field5"<endrec>
"0","0","1","1000","0","0","1008","1003","","0","field6"<endrec>
"0","0","1","1000","0","0","1009","1003","","0","field7"<endrec>
"0","0","1","1000","0","0","1010","1003","","0","field8"<endrec>
"0","0","1","1000","0","0","1011","1003","","0","field9"<endrec>
"0","0","1","1000","0","0","1013","1007","","0","field79"<endrec>
"0","0","1","1000","0","0","1014","1007","","0","field77"<endrec>
"0","0","1","1000","0","0","1015","1007","","0","field76"<endrec>
"0","0","1","1000","0","0","1016","1007","","0","field78"<endrec>
"0","0","1","1000","0","0","1017","1003","","0","field68"<endrec>
"0","0","1","1000","0","0","102","100","","0","IdDetail.idType"<endrec>
"","0","0","1000","0","0","1026","1014","","0","field31"<endrec>
"0","0","1","1000","0","0","1029","1017","","0","field32"<endrec>
"0","0","1","1000","0","0","103","100","","0","IdDetail.idNumber"<endrec>
"0","0","1","1000","0","0","1030","1018","","0","field33"<endrec>
"0","0","1","1000","0","0","1035","1022","","0","field34"<endrec>
"0","0","1","1000","0","0","104","100","","0","IdDetail.effectiveDate"<endrec>
"0","0","1","1000","0","0","105","100","","0","IdDetail.expiryDate"<endrec>
"0","0","1","1000","0","0","106","100","","0","IdDetail.idDocument"<endrec>
"0","0","1","1000","0","0","107","100","","0","IdDetail.status"<endrec>
"0","0","1","1000","0","0","108","100","","0","IdDetail.issuedBy"<endrec>
"","0","0","1000","0","0","110010","1001","","0","field100"<endrec>
"0","0","1","1000","0","0","110020","1001","","0","field99"<endrec>
"0","0","1","1000","0","0","110030","1001","","0","field91"<endrec>
"0","0","1","1000","0","0","110031","1001","","0","field64"<endrec>
"0","0","1","1000","0","0","110040","1003","","0","field95"<endrec>
"0","0","0","1000","0","0","110050","1003","","0","field96"<endrec>
"","0","0","1000","0","0","110090","1003","","0","field90"<endrec>
"","0","0","1000","0","0","110100","1003","","0","field89"<endrec>
"","0","0","1000","0","0","110120","1001","","0","field97"<endrec>
"0","0","1","1000","0","0","110140","1001","","0","field98"<endrec>
"","0","0","1000","0","0","110180","310010","","0","field94"<endrec>
"","0","0","1000","0","0","110250","310040","","0","field93"<endrec>
"","0","0","1000","0","0","110260","310040","","0","field92"<endrec>
"0","0","1","1000","0","0","110402","310061","","0","field65"<endrec>
"","0","0","1000","0","0","110463","310061","","0","field88"<endrec>
"","0","0","1000","0","0","110546","310083","","0","field87"<endrec>
"0","0","1","1000","0","0","110556","310083","","0","field86"<endrec>
"","0","0","1000","0","0","110566","310083","","0","field83"<endrec>
"","0","0","1000","0","0","110566","310093","","0","field85"<endrec>
"0","0","1","1000","0","0","110576","310083","","0","field82"<endrec>
"","0","0","1000","0","0","110576","310093","","0","field84"<endrec>
"0","0","1","1000","0","0","110646","310083","","0","field81"<endrec>
"0","0","1","1000","0","0","110656","310083","","0","field80"<endrec>
"0","0","1","1000","0","0","110746","310083","","0","field31"<endrec>
"0","0","1","1000","0","0","110946","1001","","0","field75"<endrec>
"0","0","1","1000","0","0","111166","1001","","0","field74"<endrec>
"0","0","1","1000","0","0","202","200","","0","CertificateDetail.certificateType"<endrec>
"0","0","1","1000","0","0","203","200","","0","CertificateDetail.certificateNumber"<endrec>
"","0","0","1000","0","0","204","200","","0","CertificateDetail.certifiedDate"<endrec>
"","0","0","1000","0","0","205","200","","0","CertificateDetail.expiryDate"<endrec>
"","0","0","1000","0","0","206","200","","0","CertificateDetail.status"<endrec>
"","0","0","1000","0","0","302","300","","0","ContactDetail.contactType"<endrec>
"","0","0","1000","0","0","303","300","","0","ContactDetail.firstName"<endrec>
"","0","0","1000","0","0","304","300","","0","ContactDetail.secondName"<endrec>
