CONFIG_ITEM,CONFIG_TYPE,CREDATE,CREOPERID,CREOPERTYPE,LASTUPDDATE,MODULE_ID,NET_ID,NET_TYPE,PARAM_NAME,PARAM_VALUE,UPDOPERID,UPDOPERTYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                <endrec>
"AMLControlFlowIDConfig","Parameters","2017-04-13 13:13:31.000000","203000000000021209","2000","","DE","-1","DIP","1111","CTRLFLOW14740803455526437","",""<endrec>
"AMLControlFlowIDConfig","Parameters","2017-04-13 13:28:00.000000","203000000000021209","2000","2017-04-13 13:28:26.000000","DE","-1","DIP","1112","CTRLFLOW14740803455526437","203000000000021209","2000"<endrec>
"AMLControlFlowIDConfig","Parameters","2017-06-05 04:03:52.000000","203000000000020211","2000","2017-06-05 04:04:43.000000","DE","-1","DIP","CTRLFLOW147445990773814857","customer_kyc","203000000000020211","2000"<endrec>
"Action_21_StatusAuthConfigItem","Parameters","2017-11-14 09:13:31.000000","203000000000028306","2000","2018-06-28 08:32:08.000000","bs_order_service","-1","BCS","Initiator_IdentityStatus","Active,Capped","203000000000032902","2000"<endrec>
"ApproveGroupTask_StatusAuthConfigItem","Parameters","2017-06-30 09:56:22.000000","203000000000013022","2000","","bs_order_service","-1","BCS","Initiator_IdentityStatus","Active,Capped","",""<endrec>
"AsyncTaskConfigItem","Parameters","2017-11-08 10:04:11.000000","203000000000027802","2000","","fdn_asynctask","-1","BCS","AsyncTaskHisTransferPolicyId","0","",""<endrec>
"BANK_STATEMENT_FILE_SUFFIX_FLAG","Parameters","2017-08-09 13:06:01.000000","203000000000024610","2000","","bp_ui_finance","-1","SWA","suffixFlag",".csv.pgp,.log.pgp,.csv.gpg,.log.gpg","",""<endrec>
"BulkFormatItem","Parameters","2017-03-22 00:00:00.000000","","2000","","cid_bts_bulk_task","-1","BTS","FilteKycBulkType","BULK_PAYMENT,KYC","",""<endrec>
"BundleConfigItem","Parameters","2016-08-23 00:00:00.000000","","2000","","bs_bundle","-1","BCS","IsSupportAwardBundle","true","",""<endrec>
"ChangeLinkStatus_StatusAuthConfigItem","Parameters","2017-01-10 08:13:52.000000","203000000000011505","2000","","bs_order_service","-1","BCS","Receiver_IdentityStatus","Pending Active,Active,Dormant,Capped","",""<endrec>
"ChargeConfig","Parameters","2018-03-19 09:23:03.000000","203000000000025034","2000","","TFSD_CHARGE","-1","BCS","SupportBundle","true","",""<endrec>
"DormantConfigItem","Parameters","2017-04-10 15:42:04.000000","","2000","","bp_ic_identity","-1","BCS","isSupportDormantSign","false","",""<endrec>
"FSITransFsiIdentityTransRoleTypeConfigItem","Parameters","2018-09-29 05:18:39.000000","203000000000036803","2000","","bp_tc_fsi","-1","BCS","FSI_Withdraw_Mshwari","3","",""<endrec>
"HiddenFlowConfigItem","Parameters","2016-10-21 06:23:32.000000","203000000000013022","2000","","bp_tc_flow","-1","BCS","Direct Debit Transfer","false","",""<endrec>
"IdentityConfigItem","Parameters","2014-06-17 00:00:00.000000","","2000","","bp_ic_identity","-1","BCS","IsSurpportTrustLevelDowngrade","true","",""<endrec>
"IdentityConfigItem","Parameters","2018-11-08 07:55:07.000000","203000000000036803","2000","","bp_ic_identity","-1","BCS","OrderCancelledNotificationChannels","STK,USSD,HANDSET,SMS,USSD_LIKE,USSD_SIGNALING,WEB,API","",""<endrec>
"IdentityConfigItem","Parameters","2014-06-17 00:00:00.000000","","2000","","bp_ic_identity","-1","IC","IsSurpportTrustLevelDowngrade","true","",""<endrec>
"Invoice_Configuration","Parameters","2018-04-27 04:52:22.000000","203000000000025034","2000","","bp_ui_commission","-1","OWA","MaxDownloadAndPrintTask","20","",""<endrec>
"Invoice_Configuration","Parameters","2017-06-16 08:33:29.000000","203000000000022402","2000","2017-06-16 08:35:19.000000","bp_ui_commission","-1","SWA","MaxDownloadAndPrintTask","200","203000000000022402","2000"<endrec>
