MAPPING_CATEGORY,MAPPING_DIRECTION,MAPPING_ID,MODIFY_FLAG,MSG_TYPE,SOURCE_TYPE,SOURCE_VALUE,TARGET_TYPE,TARGET_VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"01","02","1","0","","01","*","01","1010"<endrec>
"01","02","10","1","","01","FDN90009","01","2000"<endrec>
"04","02","10001","1","","01","*","01","E1"<endrec>
"03","02","10002","1","","01","*","01","E123"<endrec>
"01","01","1001","1","","01","J1003","01","TC30202"<endrec>
"02","02","101","0","","01","*","01","ER0008"<endrec>
"03","02","10101","1","","01","AG45000","01","E122"<endrec>
"03","02","10102","1","","01","AG45001","01","E122"<endrec>
"03","02","10103","1","","01","AG45006","01","E122"<endrec>
"03","02","10104","1","","01","AG45023","01","E122"<endrec>
"03","02","10105","1","","01","AG45024","01","E122"<endrec>
"03","02","10106","1","","01","AG45300","01","E122"<endrec>
"03","02","10107","1","","01","AG45301","01","E122"<endrec>
"03","02","10108","1","","01","AG45302","01","E122"<endrec>
"03","02","10109","1","","01","AG45303","01","E122"<endrec>
"03","02","10110","1","","01","AG45306","01","E122"<endrec>
"02","02","102","1","","01","TP39042","01","ER0002"<endrec>
"02","02","103","1","","01","AG45001","01","ER0001"<endrec>
"02","02","104","1","","01","IC13307","01","ER0010"<endrec>
"02","02","105","1","","01","TP30052","01","ER0001"<endrec>
"02","02","107","1","","01","TP39003","01","ER0033"<endrec>
"02","02","109","1","","01","IC19303","01","ER0010"<endrec>
"02","02","110","1","","01","TP30046","01","ER0010"<endrec>
"02","01","1100","0","*","01","*","01","TC30386"<endrec>
"02","01","1101","1","*","01","ER0003","01","TC30384"<endrec>
"02","01","1102","1","*","01","ER0010","01","TC30385"<endrec>
"02","01","1103","1","*","01","ER0013","01","TC30387"<endrec>
"02","01","1104","1","*","01","ER0021","01","TC30387"<endrec>
"02","01","1105","1","*","01","ER0024","01","TC30387"<endrec>
"02","01","1106","1","*","01","ER0025","01","TC30387"<endrec>
"02","02","112","1","","01","AG45903","01","ER0010"<endrec>
"02","02","113","1","","01","AG45033","01","ER0005"<endrec>
"02","02","115","1","","01","AG45022","01","ER0001"<endrec>
"02","02","116","1","","01","TP30025","01","ER0010"<endrec>
"02","02","117","1","","01","TS28009","01","ER0025"<endrec>
"02","02","119","1","","01","TP30031","01","ER0001"<endrec>
"04","02","12001","1","","01","IC19503","01","E1"<endrec>
"04","02","12002","1","","01","TP30002","01","E0"<endrec>
"04","02","12003","1","","01","TP30003","01","E0"<endrec>
"04","02","12004","1","","01","TP30004","01","E0"<endrec>
"04","02","12005","1","","01","TP30006","01","E0"<endrec>
"04","02","12006","1","","01","TP30008","01","E0"<endrec>
"04","02","12007","1","","01","TP30011","01","E0"<endrec>
"04","02","12008","1","","01","TP30012","01","E0"<endrec>
"04","02","12009","1","","01","TP30013","01","E1"<endrec>
"04","02","12010","1","","01","TP30014","01","E0"<endrec>
"04","02","12011","1","","01","TP30015","01","E1"<endrec>
"04","02","12012","1","","01","TP30016","01","E1"<endrec>
"04","02","12013","1","","01","TP30017","01","E0"<endrec>
"04","02","12014","1","","01","TP30018","01","E0"<endrec>
"04","02","12015","1","","01","TP30019","01","E1"<endrec>
"04","02","12016","1","","01","TP30020","01","E1"<endrec>
"04","02","12017","1","","01","TP30021","01","E0"<endrec>
"04","02","12018","1","","01","TP30022","01","E0"<endrec>
"04","02","12019","1","","01","TP30023","01","E0"<endrec>
"04","02","12020","1","","01","TP30024","01","E1"<endrec>
"04","02","12021","1","","01","TP30025","01","E1"<endrec>
"04","02","12022","1","","01","TP30027","01","E1"<endrec>
"04","02","12023","1","","01","TP30028","01","E0"<endrec>
"04","02","12024","1","","01","TP30029","01","E0"<endrec>
"04","02","12025","1","","01","TP30031","01","E0"<endrec>
"04","02","12026","1","","01","TP30032","01","E0"<endrec>
"04","02","12027","1","","01","TP30033","01","E1"<endrec>
"04","02","12028","1","","01","TP30034","01","E2"<endrec>
"04","02","12029","1","","01","TP30035","01","E2"<endrec>
"04","02","12030","1","","01","TP30036","01","E0"<endrec>
"04","02","12031","1","","01","TP30037","01","E2"<endrec>
"04","02","12032","1","","01","TP30044","01","E0"<endrec>
"04","02","12033","1","","01","TP30045","01","E1"<endrec>
"04","02","12034","1","","01","TP30048","01","E1"<endrec>
"04","02","12035","1","","01","TP30049","01","E1"<endrec>
"04","02","12036","1","","01","TP30051","01","E1"<endrec>
"04","02","12037","1","","01","TP30052","01","E1"<endrec>
"04","02","12038","1","","01","TP30083","01","E0"<endrec>
"04","02","12039","1","","01","TP30092","01","E1"<endrec>
"04","02","12040","1","","01","TP30093","01","E1"<endrec>
"04","02","12041","1","","01","TP30095","01","E1"<endrec>
"04","02","12042","1","","01","TP30140","01","E1"<endrec>
"04","02","12043","1","","01","TP30160","01","E4"<endrec>
"04","02","12044","1","","01","TP30230","01","E1"<endrec>
"04","02","12045","1","","01","TP30450","01","E4"<endrec>
"04","02","12046","1","","01","TP30455","01","E0"<endrec>
"04","02","12047","1","","01","TP36503","01","E1"<endrec>
"04","02","12048","1","","01","TP35010","01","E1"<endrec>
"04","02","12049","1","","01","TP35011","01","E1"<endrec>
"04","02","12050","1","","01","TP36500","01","E1"<endrec>
"04","02","12051","1","","01","TP36501","01","E0"<endrec>
"04","02","12052","1","","01","TP36503","01","E1"<endrec>
"04","02","12053","1","","01","TP36504","01","E1"<endrec>
"04","02","12054","1","","01","TP36506","01","E1"<endrec>
"04","02","12055","1","","01","TP36512","01","E1"<endrec>
"04","02","12056","1","","01","TP36513","01","E1"<endrec>
"04","02","12057","1","","01","TP36514","01","E1"<endrec>
"04","02","12058","1","","01","TP36515","01","E1"<endrec>
"04","02","12059","1","","01","TP36516","01","E1"<endrec>
"04","02","12060","1","","01","TP36521","01","E1"<endrec>
"04","02","12061","1","","01","TP36523","01","E4"<endrec>
"04","02","12062","1","","01","TP39003","01","E5"<endrec>
"04","02","12063","1","","01","TP39041","01","E1"<endrec>
"04","02","12064","1","","01","TP39042","01","E1"<endrec>
"04","02","12065","1","","01","TP39051","01","E4"<endrec>
"04","02","12066","1","","01","TP39998","01","E4"<endrec>
"04","02","12067","1","","01","TS20001","01","E1"<endrec>
"04","02","12068","1","","01","TS20002","01","E1"<endrec>
