ELEMENT_IDENTIFIER,ELEMENT_TYPE,MAX_VALUE,UNIQUE_ID,UNIT,VOLUME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <endrec>
"10000018","3","","937232566","TMS","10"<endrec>
"10000025","3","1000000","937232601","TZS","10000"<endrec>
"10000044","3","","937349922","TMS","10"<endrec>
"10000044","3","","937515861","TMS","1"<endrec>
"10000051","3","","937612841","TMS","5"<endrec>
"10000097","3","","937214596","TMS","10"<endrec>
"10000097","3","20000","937232560","TZS","500"<endrec>
"10000097","3","100000","937232574","TZS","1000"<endrec>
"10000097","3","100000","937232575","TZS","1000"<endrec>
"10000097","3","100000","937232601","TZS","1000"<endrec>
"10000097","3","","937233550","TMS","3"<endrec>
"10000097","3","","937392672","TMS","5"<endrec>
"10000097","3","","937392677","TMS","5"<endrec>
"10000097","3","","937392679","TMS","5"<endrec>
"10000097","3","","937392700","TMS","5"<endrec>
"10000097","3","","937392705","TMS","5"<endrec>
"10000097","3","","937392708","TMS","5"<endrec>
"10000097","3","","937392711","TMS","5"<endrec>
"10000097","3","","937392714","TMS","5"<endrec>
"10000097","3","","937392797","TMS","2"<endrec>
"10000097","3","","937421136","TMS","2"<endrec>
"10000097","3","","937528739","TMS","5"<endrec>
"10000097","3","1000000","937567729","TZS","5000"<endrec>
"10000097","3","20000","937569763","TZS","100"<endrec>
"10000097","3","","937574776","TMS","3"<endrec>
"10000097","3","","937574778","TMS","3"<endrec>
"10000097","3","","937574779","TMS","3"<endrec>
"10000097","3","","937574780","TMS","3"<endrec>
"10000097","3","","937574781","TMS","3"<endrec>
"10000097","3","","937575765","TMS","3"<endrec>
"10000097","3","","937575766","TMS","3"<endrec>
"10000097","3","20000","937580759","TZS","100"<endrec>
"10000097","3","","937583794","TMS","5"<endrec>
"10000097","3","","937594797","TMS","3"<endrec>
"10000097","3","","937594798","TMS","3"<endrec>
"10000097","3","20000","937594799","TZS","100000"<endrec>
"10000097","3","","937619856","TMS","2"<endrec>
"10000110","3","","937214596","TMS","10"<endrec>
"10000110","3","30000","937232560","TZS","500"<endrec>
"10000110","3","","937234541","TMS","3"<endrec>
"10000110","3","","937234542","TMS","2"<endrec>
"10000110","3","","937234544","TMS","3"<endrec>
"10000110","3","","937234547","TMS","1"<endrec>
"10000110","3","","937234548","TMS","2"<endrec>
"10000110","3","","937235540","TMS","2"<endrec>
"10000110","3","","937235575","TMS","2"<endrec>
"10000110","3","","937235576","TMS","2"<endrec>
"10000110","3","","937235592","TMS","15"<endrec>
"10000110","3","","937235600","TMS","40"<endrec>
"10000110","3","","937235604","TMS","2"<endrec>
"10000110","3","","937340876","TMS","2"<endrec>
"10000110","3","","937364027","TMS","2"<endrec>
"10000110","3","","937364031","TMS","3"<endrec>
"10000110","3","","937419078","TMS","3"<endrec>
"10000110","3","","937419084","TMS","2"<endrec>
"10000110","3","","937428163","TMS","1"<endrec>
"10000110","3","","937459319","TMS","2"<endrec>
"10000110","3","","937459320","TMS","40"<endrec>
"10000110","3","","937461431","TMS","40"<endrec>
"10000110","3","","937466604","TMS","3"<endrec>
"10000110","3","","937466605","TMS","3"<endrec>
"10000110","3","","937469629","TMS","40"<endrec>
"10000110","3","","937469652","TMS","10"<endrec>
"10000110","3","","937470669","TMS","100"<endrec>
"10000110","3","","937470671","TMS","100"<endrec>
"10000110","3","","937470672","TMS","100"<endrec>
"10000110","3","","937470673","TMS","40"<endrec>
"10000110","3","","937510305","TMS","0"<endrec>
"10000110","3","","937510361","TMS","20"<endrec>
"10000110","3","","937510369","TMS","20"<endrec>
"10000110","3","","937510371","TMS","20"<endrec>
"10000110","3","","937510372","TMS","20"<endrec>
"10000110","3","","937510373","TMS","20"<endrec>
"10000110","3","","937510374","TMS","20"<endrec>
"10000110","3","","937515909","TMS","0"<endrec>
"10000110","3","","937515910","TMS","0"<endrec>
"10000110","3","","937515918","TMS","0"<endrec>
"10000110","3","","937515931","TMS","0"<endrec>
"10000110","3","","937515933","TMS","0"<endrec>
"10000110","3","","937516725","TMS","1"<endrec>
"10000110","3","","937516727","TMS","1"<endrec>
"10000110","3","","937516760","TMS","0"<endrec>
"10000110","3","","937516762","TMS","0"<endrec>
"10000110","3","","937516763","TMS","0"<endrec>
"10000110","3","","937516764","TMS","0"<endrec>
"10000110","3","","937516767","TMS","0"<endrec>
"10000110","3","","937516768","TMS","0"<endrec>
"10000110","3","","937516770","TMS","0"<endrec>
"10000110","3","","937516771","TMS","0"<endrec>
"10000110","3","","937517729","TMS","0"<endrec>
"10000110","3","","937518725","TMS","0"<endrec>
"10000110","3","","937548756","TMS","20"<endrec>
"10000110","3","","937567731","TMS","10"<endrec>
"10000110","3","","937569754","TMS","2"<endrec>
"10000110","3","","937569755","TMS","2"<endrec>
"10000110","3","","937569756","TMS","10"<endrec>
"10000110","3","","937569759","TMS","10"<endrec>
"10000110","3","","937569760","TMS","10"<endrec>
"10000110","3","","937569765","TMS","5"<endrec>
"10000110","3","","937570731","TMS","2"<endrec>
"10000110","3","","937570732","TMS","2"<endrec>
"10000110","3","","937574775","TMS","5"<endrec>
"10000110","3","500000","937583765","TZS","0"<endrec>
"10000110","3","","937583891","TMS","20"<endrec>
"10000110","3","","937583894","TMS","0"<endrec>
"10000110","3","","937589765","TMS","5"<endrec>
"10000110","3","","937589769","TMS","5"<endrec>
"10000110","3","","937589779","TMS","5"<endrec>
"10000110","3","","937591764","TMS","5"<endrec>
"10000110","3","","937595791","TMS","0"<endrec>
"10000110","3","","937619906","TMS","1"<endrec>
"10000110","3","","937641831","TMS","5"<endrec>
"10000110","3","","937646778","TMS","5"<endrec>
"10000119","3","300","937276829","TZS","0"<endrec>
"10000119","3","","937421138","TMS","3"<endrec>
"10000119","3","","937470715","TMS","0"<endrec>
"10000119","3","","937470716","TMS","10"<endrec>
"10000119","3","","937510291","TMS","0"<endrec>
"10000119","3","","937510292","TMS","0"<endrec>
"10000119","3","","937510332","TMS","3"<endrec>
"10000119","3","","937515870","TMS","1"<endrec>
"10000119","3","","937517730","TMS","1"<endrec>
"10000119","3","","937523725","TMS","3"<endrec>
"10000119","3","","937526746","TMS","10"<endrec>
"10000119","3","","937527753","TMS","1"<endrec>
"10000119","3","","937528730","TMS","10"<endrec>
"10000119","3","","937528732","TMS","10"<endrec>
"10000119","3","","937528733","TMS","10"<endrec>
"10000119","3","20000","937529735","TZS","300"<endrec>
"10000119","3","2000","937529736","TZS","300"<endrec>
"10000119","3","","937529737","TMS","10"<endrec>
"10000119","3","20000","937530725","TZS","300"<endrec>
"10000119","3","","937532739","TMS","1"<endrec>
"10000119","3","20000","937533769","TZS","300"<endrec>
"10000119","3","20000","937533821","TZS","300"<endrec>
"10000119","3","20000","937535730","TZS","300"<endrec>
"10000119","3","20000","937535731","TZS","300"<endrec>
"10000119","3","","937535733","TMS","4"<endrec>
"10000119","3","","937539838","TMS","10"<endrec>
"10000119","3","","937567730","TMS","10"<endrec>
"10000119","3","","937567731","TMS","10"<endrec>
"10000119","3","","937569759","TMS","10"<endrec>
"10000119","3","","937569760","TMS","10"<endrec>
"10000119","3","20000","937569762","TZS","300"<endrec>
"10000119","3","","937569764","TMS","1"<endrec>
"10000119","3","","937569765","TMS","5"<endrec>
"10000119","3","","937571725","TMS","2"<endrec>
"10000119","3","","937574775","TMS","5"<endrec>
"10000119","3","","937589765","TMS","5"<endrec>
"10000119","3","","937589769","TMS","5"<endrec>
"10000119","3","","937589779","TMS","5"<endrec>
"10000119","3","","937591764","TMS","5"<endrec>
"10000119","3","20000","937594800","TZS","40000"<endrec>
"10000119","3","20000","937594836","TZS","40000"<endrec>
