CATEGORY_KEY,DATA_TYPE,DEFAULT_VALUE,DISPLAY_TYPE,FIELD_DESCRIPTION,FIELD_NAME,FILE_SUFFIX,INPUT4REGISTRATION,KYC_FIELD_ID,LOAD_DATA_TS,LOCALIZATION_FLAG,MAX_FILE_SIZE,MIN_FILE_SIZE,MODIFY_FLAG,READ_ONLY,STATUS,VALIDATION_EXPRESSION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                <endrec>
"","01","","00","","First Name","","","1001","2017-10-18 17:57:26.000000","0","","","0","0","02","^[\d\w\-\s\.\x27]{0,128}$"<endrec>
"","01","","00","","Middle Name","","","1002","2018-10-30 22:40:08.000000","0","","","0","0","02","^[\d\w\-\s\.\x27]{0,128}$"<endrec>
"","01","","00","","Last Name","","","1003","2018-10-30 22:40:22.000000","0","","","0","0","02","^[\d\w\-\s\.\x27]{0,128}$"<endrec>
"","04","","02","dd","Date of Birth","","","1004","2019-10-07 11:25:20.000000","1","","","0","0","02",""<endrec>
"","02","","00","","Risk Rating","","","1005","2015-09-17 05:41:39.000000","0","","","0","0","02",""<endrec>
"","05","","03","","Modification Time of Risk Rating","","","1006","2015-09-17 05:41:39.000000","0","","","0","1","02",""<endrec>
"","01","","00","","Address Line 1","","","1007","2015-09-17 05:41:39.000000","0","","","0","0","02","^[\d\w\-\s\.]{0,255}$"<endrec>
"","01","","00","","Address Line 2","","","1008","2015-09-17 05:41:39.000000","0","","","0","0","02","^[\d\w\-\s\.]{0,255}$"<endrec>
"","01","","00","","Address Line 3","","","1009","2015-09-17 05:41:39.000000","0","","","0","0","02","^[\d\w\-\s\.]{0,255}$"<endrec>
"","01","","00","","City/Town","","","1010","2015-09-17 05:41:39.000000","0","","","0","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","Post Code","","","1011","2015-09-17 05:41:39.000000","0","","","0","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","Company Unique Identifier","","","1012","2015-09-17 05:41:39.000000","0","","","0","0","02","^[^\|]*$"<endrec>
"CPS.ORGOPERATOR.NOTY","06","","01","","Preferred Notification Channel","","","1013","2015-09-17 05:41:39.000000","0","","","0","0","02",""<endrec>
"","01","","00","","Notification Receiving MSISDN","","","1014","2015-09-17 05:41:39.000000","0","","","0","0","02","^([0-9]{1,15})$"<endrec>
"","01","","00","","Notification Receiving E-mail","","","1015","2015-09-17 05:41:39.000000","0","","","0","0","02","^([\.a-zA-Z0-9_-])+@([a-zA-Z0-9_-])+((\.[a-zA-Z0-9_-]{2,3}){1,2})$"<endrec>
"","01","","00","","Preferred Notification Language","","","1016","2015-09-17 05:41:39.000000","0","","","0","0","02","^([A-Za-z_]{1,32})$"<endrec>
"","01","","00","","Region","","","1017","","0","","","1","0","02",""<endrec>
"YES_OR_NO","06","0","01","","Partner SP","","","1018","","0","","","1","0","02",""<endrec>
"CPS.PGW.BILLING.MODE","06","","01","","Accounting Mode","","","1019","","0","","","1","0","02",""<endrec>
"CPS_SYS_ID_TYPE","06","","01","","ID Type","","","102","2015-09-17 05:41:39.000000","0","","","0","0","02",""<endrec>
"CPS.PGW.BUSSNESS.MODE","06","","01","","Business Mode","","","1020","","0","","","1","0","02",""<endrec>
"CPS_USR_1001","06","01","01","","CNS Initiator Flag old","","","1021","2017-03-09 19:07:22.000000","0","","","1","0","02",""<endrec>
"CPS_USR_1001","06","01","01","","CNS Receiver Flag old","","","1022","2017-03-09 19:08:14.000000","0","","","1","0","02",""<endrec>
"","01","","00","","Group Sponsor","","","1023","","0","","","0","0","02",""<endrec>
"CPS.AutoSweepMode","06","","01","","Auto Sweep Mode","","","1024","","0","","","0","0","02",""<endrec>
"","01","","00","","Contact MSISDN","","","1025","","0","","","0","0","02","^((\+{0,1}([\d]{10,20}))|(x{1}([\d]{0,20})))$"<endrec>
"CPS.PARTNER_BANK.MODE","06","","01","","Partner Bank","","","1027","","0","","","0","0","02",""<endrec>
"YES_OR_NO","06","0","01","","Has Bank Account","","","1029","","0","","","1","0","02",""<endrec>
"","01","","00","","ID Number","","","103","2017-02-03 15:59:19.000000","0","","","0","0","02","^([0-9A-Za-z]{4,20})$"<endrec>
"","01","","00","","Unique Linking ID","","","1030","","0","","","0","1","02",""<endrec>
"IDENTITY_CLASSIFICATION","06","NA","01","","Classification","","","1031","","0","","","1","0","02",""<endrec>
"","01","0","00","","Function","","","1032","","0","","","1","0","02",""<endrec>
"","01","0","00","","Reference","","","1033","","0","","","1","0","02",""<endrec>
"","01","0","00","","Dompetku Msisdn","","","1034","","0","","","1","0","02",""<endrec>
"","07","0","06","Picture Kyc","Picture Kyc","JPEG","","1035","2017-07-20 10:05:46.000000","0","1000000","1000","1","0","02",""<endrec>
"","04","","02","test","ID Effective Date","","","104","2019-08-21 18:16:31.000000","1","","","0","0","02",""<endrec>
"","04","","02","101","ID Expiry Date","","","105","2018-10-30 22:37:35.000000","1","","","0","0","02",""<endrec>
"CPS_SYS_ID_DOCUMENT","06","","01","","Document Received","","","106","2015-09-17 05:41:39.000000","0","","","0","0","02",""<endrec>
"YES_OR_NO","06","0","01","","FI Organisation API","","","1060","","0","","","1","0","02",""<endrec>
"KYC_VALUE_STATUS","06","","01","","ID Status","","","107","2016-04-15 18:23:12.934000","0","","","0","0","02",""<endrec>
"","01","Bank Branch","00","","Offline Bank Branch","","","1070","","0","","","1","0","02",""<endrec>
"","01","","00","","Issued By","","","108","2016-04-15 18:23:12.934000","0","","","0","0","02",""<endrec>
"CPS_USR_1000","06","","04","","Gender2","","","110010","2016-07-13 03:02:59.000000","0","","","1","0","02",""<endrec>
"","01","","00","","Email","","","110020","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\.a-zA-Z0-9_-])+@([a-zA-Z0-9_-])+((\.[a-zA-Z0-9_-]{2,3}){1,2})$"<endrec>
"","01","","00","Physical Address","Physical Address","","","110021","2017-10-31 14:42:56.000000","0","","","1","0","02",""<endrec>
"","01","","00","","Preferred Contact Phone Number","","","110030","2015-09-17 05:41:39.000000","0","","","1","0","02",""<endrec>
"","01","","00","Place of Birth","Place of Birth","","","110031","2017-10-31 14:42:42.000000","0","","","1","0","02",""<endrec>
"","01","","00","","Postal Address","","","110040","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","Office Phone Number","","","110090","2015-09-17 05:41:39.000000","0","","","1","0","02","^([0-9]{9,15})$"<endrec>
"","01","","00","","Organization Email","","","110100","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\.a-zA-Z0-9_-])+@([a-zA-Z0-9_-])+((\.[a-zA-Z0-9_-]{2,3}){1,2})$"<endrec>
"","01","","00","","Company Registration Certificate Number","","","110110","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","KRA PIN Certificate Number","","","110120","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","VAT Number","","","110130","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,255}$"<endrec>
"CPS_USR_1001","06","111","01","","Nationality","","","110140","2015-09-17 05:41:39.000000","0","","","1","0","02",""<endrec>
"","01","","00","","Preferred Notification Email","","","110150","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\.a-zA-Z0-9_-])+@([a-zA-Z0-9_-])+((\.[a-zA-Z0-9_-]{2,3}){1,2})$"<endrec>
"","01","","00","","Preferred Notification Mobile Phone Number","","","110160","2017-03-08 09:02:33.000000","0","","","1","0","02","^([0-9]{1,15})$"<endrec>
"CPS_USR_1002","06","","01","","Type of Business","","","110170","2015-09-17 05:41:39.000000","0","","","1","0","02",""<endrec>
"CPS_USR_1003","06","","01","","SIM owner confirmed","","","110180","2015-09-17 05:41:39.000000","0","","","1","1","02",""<endrec>
"","01","","00","","Contact Last Name","","","110190","2015-09-17 05:41:39.000000","0","","","1","0","02","^[\d\w\-\s\.]{0,32}$"<endrec>
"CPS_USR_1006","06","","01","","ID Document","","","110200","2015-09-17 05:41:39.000000","0","","","1","1","02",""<endrec>
"","01","","00","","Contact Email Address","","","110210","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\.a-zA-Z0-9_-])+@([a-zA-Z0-9_-])+((\.[a-zA-Z0-9_-]{2,3}){1,2})$"<endrec>
"","04","","02","","Contact ID Expiry Date","","","110220","2015-09-17 05:41:39.000000","0","","","1","0","02",""<endrec>
"CPS_USR_1006","06","","01","","Organization trust level","","","110230","2015-09-17 05:41:39.000000","0","","","1","0","02",""<endrec>
"CPS_USR_1006","06","","01","","MNO","","","110240","2015-09-17 05:41:39.000000","0","","","1","0","02",""<endrec>
"CPS_USR_1006","06","","04","","HVC","","","110250","2015-09-17 05:41:39.000000","0","","","1","0","02",""<endrec>
"CPS_USR_1006","06","","04","","PEP","","","110260","2015-09-17 05:41:39.000000","0","","","1","0","02",""<endrec>
"CPS_USR_1007","06","","01","","Organization Type for Segment","","","110270","2015-09-17 05:41:39.000000","0","","","1","0","02",""<endrec>
"","01","","00","","Bank Sort Code","","","110281","2015-09-17 05:41:39.000000","0","","","1","0","02","^[A-Za-z0-9]{0,255}$"<endrec>
"","01","","00","","Acquirer Name","","","110362","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,32}$"<endrec>
"","01","","00","","Acquirer Dealer Code","","","110372","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,32}$"<endrec>
"","01","","00","","Business Sector","","","110382","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,32}$"<endrec>
"","01","","00","","Sales Area Name","","","110392","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,32}$"<endrec>
"","01","","00","","Country","","","110402","2015-09-17 05:41:39.000000","0","","","1","0","02",""<endrec>
"","01","","00","","ERP Dealer Code","","","110412","2015-09-17 05:41:39.000000","0","","","1","0","02","^[A-Za-z0-9]{0,32}$"<endrec>
"","01","","00","","County","","","110422","2015-09-17 05:41:39.000000","0","","","1","0","02",""<endrec>
"","01","","00","","Sales Area Code","","","110432","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,32}$"<endrec>
"","01","","00","","Sales Region Name","","","110442","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,32}$"<endrec>
"","01","","00","","Sales Region Code","","","110452","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,32}$"<endrec>
"CPS_USR_10001","06","","04","","Allow CNS","","","110463","2015-09-17 05:41:39.000000","0","","","1","0","02",""<endrec>
"","01","","00","","Address 2","","","110474","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","Office Fax Number","","","110484","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","Contact Physical Address","","","110495","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","Contact Address 2","","","110505","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","Contact City/Town","","","110515","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","Contact Post Code","","","110525","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,255}$"<endrec>
"","01","","00","","Contact Postal Address","","","110535","2015-09-17 05:41:39.000000","0","","","1","0","02","^([\s\S]){0,255}$"<endrec>
"CPS_USR_1006","06","No","05","","TIN Document Received_delete","","","110546","2015-10-26 08:01:15.000000","0","","","1","0","03",""<endrec>
"","02","","00","","TIN Number","","","110556","2015-09-22 19:56:00.000000","0","","","1","0","02",""<endrec>
"CPS_USR_1006","06","No","05","","Business  License Received","","","110566","2015-09-22 19:23:15.000000","0","","","1","0","03",""<endrec>
"","02","","00","","Business License Number","","","110576","2015-09-22 19:56:28.000000","0","","","1","0","02",""<endrec>
"CPS_SYS_ID_DOCUMENT","06","N","01","","TIN Document Received","","","110646","2015-09-22 19:24:39.000000","0","","","1","0","02",""<endrec>
"CPS_SYS_ID_DOCUMENT","06","N","01","","Business License Received","","","110656","2015-09-22 19:24:32.000000","0","","","1","0","02",""<endrec>
"CPS_USR_10012","06","No","01","OPT IN","OPT IN","","","110746","2016-05-16 09:25:23.000000","0","","","1","0","02",""<endrec>
"CPS_USR_10022","06","","01","","Bundle Provider","","","110846","2016-05-17 05:38:21.000000","0","","","1","0","02",""<endrec>
