DISPLAY_ORDER,KYC_FIELD_ID,KYC_GROUP_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 <endrec>
"1","1001","1001"<endrec>
"1","1001","1013"<endrec>
"1","1001","310383"<endrec>
"2","1002","1001"<endrec>
"2","1002","1013"<endrec>
"3","1003","1001"<endrec>
"3","1003","1013"<endrec>
"4","1004","1001"<endrec>
"4","1004","1013"<endrec>
"1","1005","1002"<endrec>
"2","1006","1002"<endrec>
"10","1007","1003"<endrec>
"11","1008","1003"<endrec>
"12","1009","1003"<endrec>
"1","1009","310483"<endrec>
"2","1010","1003"<endrec>
"4","1011","1003"<endrec>
"1","1012","1004"<endrec>
"1","1013","1007"<endrec>
"2","1014","1007"<endrec>
"3","1015","1007"<endrec>
"4","1016","1007"<endrec>
"7","1017","1003"<endrec>
"1","1018","1008"<endrec>
"2","1019","1009"<endrec>
"1","102","100"<endrec>
"1","1020","1009"<endrec>
"1","1023","1011"<endrec>
"1","1024","1012"<endrec>
"5","1025","1013"<endrec>
"1","1026","1014"<endrec>
"1","1027","1015"<endrec>
"1","1028","1016"<endrec>
"1","1029","1017"<endrec>
"1","1029","400"<endrec>
"2","103","100"<endrec>
"1","1030","1018"<endrec>
"1","1031","1019"<endrec>
"1","1032","1020"<endrec>
"1","1033","1020"<endrec>
"1","1034","1021"<endrec>
"1","1035","1022"<endrec>
"3","104","100"<endrec>
"4","105","100"<endrec>
"5","106","100"<endrec>
"1","1060","2010"<endrec>
"7","107","100"<endrec>
"1","1070","2010"<endrec>
"8","108","100"<endrec>
"5","110020","1001"<endrec>
"7","110021","1003"<endrec>
"7","110030","1001"<endrec>
"5","110031","1001"<endrec>
"1","110040","1003"<endrec>
"3","110050","1003"<endrec>
"5","110090","1003"<endrec>
"6","110100","1003"<endrec>
"2","110110","1004"<endrec>
"8","110120","1001"<endrec>
"3","110120","1004"<endrec>
"4","110130","1004"<endrec>
"6","110140","1001"<endrec>
"5","110170","1004"<endrec>
"1","110180","310010"<endrec>
"1","110230","310020"<endrec>
"1","110240","310030"<endrec>
"1","110250","310040"<endrec>
"2","110260","310040"<endrec>
"6","110270","1004"<endrec>
"7","110281","1004"<endrec>
"2","110362","310061"<endrec>
"1","110372","310061"<endrec>
"3","110382","310061"<endrec>
"5","110392","310061"<endrec>
"4","110402","310061"<endrec>
"8","110412","1004"<endrec>
"6","110432","310061"<endrec>
"7","110442","310061"<endrec>
"8","110452","310061"<endrec>
"9","110463","310061"<endrec>
"8","110474","1003"<endrec>
"1","110474","310283"<endrec>
"9","110484","1003"<endrec>
"1","110495","310072"<endrec>
"2","110505","310072"<endrec>
"3","110515","310072"<endrec>
"4","110525","310072"<endrec>
"5","110535","310072"<endrec>
"2","110556","310083"<endrec>
"4","110576","310083"<endrec>
"1","110576","310093"<endrec>
"1","110646","310083"<endrec>
"3","110656","310083"<endrec>
"5","110746","310083"<endrec>
"1","110846","310183"<endrec>
"9","110946","1001"<endrec>
"10","111146","1001"<endrec>
"11","111156","1001"<endrec>
"12","111166","1001"<endrec>
"3","111246","1010"<endrec>
"4","111256","1010"<endrec>
"5","111266","1010"<endrec>
"2","111276","1010"<endrec>
"1","111286","1010"<endrec>
"1","113046","310583"<endrec>
"6","113276","1010"<endrec>
"1","202","200"<endrec>
"2","203","200"<endrec>
"3","204","200"<endrec>
"4","205","200"<endrec>
"6","206","200"<endrec>
"1","302","300"<endrec>
"2","303","300"<endrec>
"3","304","300"<endrec>
"4","305","300"<endrec>
"5","306","300"<endrec>
"6","307","300"<endrec>
"7","308","300"<endrec>
"8","309","300"<endrec>
"10","310","300"<endrec>
