CHG_LEVEL,DISTRIBUTION_DETAIL_ID,LEVEL_DETAIL,LEVEL_ID,LEVEL_UNIT,LOAD_DATA_TS,VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"2","20001","0","10003","","","20"<endrec>
"2","20001","1","10004","","","80"<endrec>
"2","20002","0","10005","","","30"<endrec>
"2","20002","1","10006","","","70"<endrec>
"2","20003","0","10001","","","10"<endrec>
"2","20003","1","10002","","","90"<endrec>
"2","20005","0","10008","","","20"<endrec>
"2","20005","1","10009","","","80"<endrec>
"2","20006","0","10010","","","20"<endrec>
"2","20006","1","10011","","","80"<endrec>
"2","20007","0","10012","","","10"<endrec>
"2","20007","1","10013","","","90"<endrec>
"2","20008","0","10014","","","10"<endrec>
"2","20008","1","10015","","","90"<endrec>
"2","20009","0","10016","","","30"<endrec>
"2","20009","1","10017","","","70"<endrec>
"2","20010","0","10018","","","30"<endrec>
"2","20010","1","10019","","","70"<endrec>
"2","20012","0","10021","","","10"<endrec>
"2","20012","1","10022","","","90"<endrec>
"2","20013","0","10023","","","10"<endrec>
"2","20013","1","10024","","","90"<endrec>
"2","20014","0","10025","","","20"<endrec>
"2","20014","1","10026","","","80"<endrec>
"2","20015","0","10027","","","20"<endrec>
"2","20015","1","10028","","","80"<endrec>
"2","20016","0","10029","","","30"<endrec>
"2","20016","1","10030","","","70"<endrec>
"2","20017","0","10031","","","30"<endrec>
"2","20017","1","10032","","","70"<endrec>
"2","20025","0","10034","","","10"<endrec>
"2","20025","1","10035","","","90"<endrec>
"2","20026","0","10036","","","10"<endrec>
"2","20026","1","10037","","","90"<endrec>
"2","20027","0","10038","","","90"<endrec>
"2","20027","1","10039","","","10"<endrec>
"2","20035","0","10044","","","10"<endrec>
"2","20035","1","10045","","","90"<endrec>
"2","20036","0","10046","","","20"<endrec>
"2","20036","1","10047","","","80"<endrec>
"2","20045","0","10054","","","30"<endrec>
"2","20045","1","10055","","","70"<endrec>
"3","20055","0","10064","","","10"<endrec>
"3","20055","1","10065","","","10"<endrec>
"3","20055","2","10066","","","80"<endrec>
"3","20065","0","10074","","","10"<endrec>
"3","20065","1","10075","","","10"<endrec>
"3","20065","2","10076","","","80"<endrec>
"3","20066","0","10077","","","10"<endrec>
"3","20066","1","10078","","","10"<endrec>
"3","20066","2","10079","","","80"<endrec>
