LIMIT_OBJECT_ID,LIMIT_RULE_UNIQUE_ID,OBJECT_ID,OBJECT_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"100187000","937268816","20020","2"<endrec>
"100190000","937268817","20020","2"<endrec>
"1011000","30003244","20003","2"<endrec>
"101187000","937269818","20020","2"<endrec>
"101190000","937269821","20020","2"<endrec>
"101193000","937269822","20020","2"<endrec>
"101196000","937269823","20020","2"<endrec>
"101199000","937269825","20020","2"<endrec>
"1012000","30003244","20001","2"<endrec>
"102187000","937277825","20001","2"<endrec>
"102188000","937277825","20003","2"<endrec>
"1027000","30003246","20001","2"<endrec>
"1028000","30003246","20003","2"<endrec>
"103187000","937279820","20006","2"<endrec>
"103188000","937279820","20001","2"<endrec>
"103189000","937279820","20003","2"<endrec>
"104187000","937281908","20006","2"<endrec>
"104188000","937281908","20008","2"<endrec>
"104189000","937281908","20001","2"<endrec>
"104190000","937281908","20020","2"<endrec>
"104212000","937281942","20018","2"<endrec>
"1043000","30003248","20001","2"<endrec>
"1044000","30003248","20003","2"<endrec>
"105187000","937291818","20006","2"<endrec>
"105188000","937291818","20008","2"<endrec>
"105189000","937291818","20001","2"<endrec>
"105190000","937291818","20020","2"<endrec>
"106187000","937293827","20006","2"<endrec>
"106188000","937293827","20008","2"<endrec>
"106189000","937293827","20001","2"<endrec>
"106190000","937293827","20020","2"<endrec>
"107187000","937304848","20003","2"<endrec>
"108187000","937311865","20008","2"<endrec>
"1088000","30003261","20001","2"<endrec>
"1089000","30003261","20003","2"<endrec>
"1090000","30003261","20006","2"<endrec>
"1091000","30003261","20027","2"<endrec>
"109187000","937327911","20020","2"<endrec>
"109190000","937327954","20020","2"<endrec>
"109193000","937327957","20020","2"<endrec>
"109196000","937327962","20020","2"<endrec>
"109198000","937327969","20020","2"<endrec>
"11000","30003198","20020","2"<endrec>
"110187000","937334883","20048","2"<endrec>
"110188000","937334883","21799","2"<endrec>
"110190000","937334884","20048","2"<endrec>
"110191000","937334884","21799","2"<endrec>
"110193000","937334885","21799","2"<endrec>
"1108000","30003263","20006","2"<endrec>
"1109000","30003263","20027","2"<endrec>
"1110000","30003263","20001","2"<endrec>
"1111000","30003263","20003","2"<endrec>
"111187000","937341879","20006","2"<endrec>
"111188000","937341879","21598","2"<endrec>
"111189000","937341879","21698","2"<endrec>
"111190000","937341879","20001","2"<endrec>
"111191000","937341879","20003","2"<endrec>
"111198000","937341886","20006","2"<endrec>
"111199000","937341886","21598","2"<endrec>
"111200000","937341886","21698","2"<endrec>
"111201000","937341886","20001","2"<endrec>
"111202000","937341886","20003","2"<endrec>
"11162000","30003200","20020","2"<endrec>
"112187000","937343908","20006","2"<endrec>
"112188000","937343908","21502","2"<endrec>
"1128000","30003265","20001","2"<endrec>
"1129000","30003265","20003","2"<endrec>
"1130000","30003265","20006","2"<endrec>
"1131000","30003265","20027","2"<endrec>
"113187000","937345892","20048","2"<endrec>
"113188000","937345892","23001","2"<endrec>
"113189000","937345892","21799","2"<endrec>
"114187000","937348919","5760","3"<endrec>
"114189000","937348940","20006","2"<endrec>
"114190000","937348940","21598","2"<endrec>
"114191000","937348940","21698","2"<endrec>
"114192000","937348940","20001","2"<endrec>
"114193000","937348940","20003","2"<endrec>
"1148000","30003267","20006","2"<endrec>
"1149000","30003267","20027","2"<endrec>
