CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,LAST_OPER_ID,LAST_OPER_TIME,LIMIT_ACCU_CONDITION_FLAG,LIMIT_EXPRESSION_ID,LIMIT_PATTERN,LIMIT_TYPE_ID,LIMIT_TYPE_NAME,STATUS,THRESHOLD_TYPE,TRANSACTION_ROLE_TYPE,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 <endrec>
"203000000000010005","2014-03-25 05:30:30.150000","Maximum Customer Transfer","203000000000010005","2014-03-25 05:32:14.319000","","","0","2000","Maximum Customer Transfer","30","0","D","30003195"<endrec>
"203000000000010005","2014-03-25 05:36:43.317000","Minimum Customer Transfer","203000000000010005","2014-03-25 05:36:48.422000","","","1","3000","Minimum Customer Transfer","30","0","D","30003197"<endrec>
"203000000000010005","2014-03-25 05:40:14.639000","Maximum Customer Send Money","203000000000010005","2014-03-25 05:40:18.657000","","","0","4000","Maximum Customer Send Money","30","0","D","30003199"<endrec>
"203000000000010005","2014-03-25 05:42:48.016000","Minimum Customer Send Money","203000000000010005","2014-03-25 05:42:53.210000","","","1","5000","Minimum Customer Send Money","30","0","D","30003201"<endrec>
"203000000000010005","2014-03-25 05:47:32.104000","Maximum Value Customer Withdrawal At Agent","203000000000010811","2016-12-07 08:36:57.605000","","","0","6000","Maximum Value Customer Withdrawal At Agent","50","0","D","30003203"<endrec>
"203000000000010005","2014-03-25 05:49:27.060000","Minimum Value Customer Withdrawal At Agent","203000000000010005","2014-03-25 05:49:30.491000","","","1","7000","Minimum Value Customer Withdrawal At Agent","30","0","D","30003205"<endrec>
"203000000000010005","2014-03-25 05:50:51.963000","Maximum Value Customer Withdrawal At ATM","203000000000010005","2014-03-25 05:50:54.719000","","","0","8000","Maximum Value Customer Withdrawal At ATM","30","0","D","30003207"<endrec>
"203000000000010005","2014-03-25 05:52:09.891000","Minimum Value Customer Withdrawal At ATM","203000000000010005","2014-03-25 05:52:20.081000","","","1","9000","Minimum Value Customer Withdrawal At ATM","30","0","D","30003209"<endrec>
"203000000000010005","2014-03-25 05:59:58.382000","Maximum Value Customer Buy Airtime","203000000000010005","2014-03-25 06:00:01.131000","","","0","10000","Maximum Value Customer Buy Airtime","30","0","D","30003211"<endrec>
"203000000000010005","2014-03-25 06:01:57.959000","Minimum Value Customer Buy Airtime","203000000000010005","2014-03-25 06:02:02.449000","","","1","11000","Minimum Value Customer Buy Airtime","30","0","D","30003213"<endrec>
"203000000000010005","2014-03-25 07:50:40.313000","Minimum Account Balance For ATM Withdrawal","203000000000010005","2014-03-25 07:50:44.559000","","","1","12000","Minimum Account Balance For ATM Withdrawal","30","1","D","30003216"<endrec>
"203000000000010005","2014-03-25 08:01:19.906000","Maximum MMF Account For Customer Balance Check","203000000000010005","2014-03-25 08:17:42.819000","","","0","13000","Maximum MMF Account For Customer Balance Check","50","1","C","30003217"<endrec>
"203000000000010005","2014-03-25 08:17:36.596000","Maximum MMF Account For Customer Balance Check","203000000000010005","2014-03-25 08:17:42.830000","","","0","13000","Maximum MMF Account For Customer Balance Check","30","1","C","30003220"<endrec>
"203000000000010005","2014-03-25 08:30:22.364000","Maximum Daily Customer Debit Value","203000000000010005","2014-03-25 08:42:00.060000","","","0","14000","Maximum Daily Customer Debit Value","30","2","D","30003224"<endrec>
"203000000000010005","2014-03-25 08:58:27.361000","Maximum Daily Customer Buy Airtime Value","203000000000010005","2014-03-25 08:58:30.070000","","","0","16000","Maximum Daily Customer Buy Airtime Value","30","2","D","30003232"<endrec>
"203000000000010005","2014-03-25 09:05:48.109000","Maximum Yearly Money In","203000000000011204","2015-09-22 10:57:05.567000","","","0","17000","Maximum Yearly Money In","50","2","C","30003235"<endrec>
"203000000000010005","2014-03-25 10:02:15.287000","Maximum Daily H/O Float Account Debit Value","203000000000010005","2014-03-25 10:02:36.538000","","","0","18000","Maximum Daily H/O Float Account Debit Value","30","2","D","30003242"<endrec>
"203000000000010005","2014-03-25 10:17:20.789000","Minimum H/O Float Account Transfer Value","203000000000010005","2014-03-25 10:17:27.211000","","","1","19000","Minimum H/O Float Account Transfer Value","30","0","D","30003243"<endrec>
