DISPLAY_AS_NOTES,MANIPULATE_RULE,MSG_PARA_SET_ID,PARA_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                <endrec>
"N","ruleDENG_HAO_FEN_GE_FUMapping depend on another fieldFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUADDIDOT_FEN_GE_FUConnector_IDFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FU'VODAC01A'LINE_FEN_GE_FUExistLINE_FEN_GE_FU","1","261659"<endrec>
"N","ruleDENG_HAO_FEN_GE_FUMapping depend on another fieldFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUADDIDOT_FEN_GE_FUPartner_IDFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FU'VODACTZT'LINE_FEN_GE_FUExistLINE_FEN_GE_FU","1","261660"<endrec>
"N","ruleDENG_HAO_FEN_GE_FUMapping depend on another fieldFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUADDIDOT_FEN_GE_FUSystem_IP_AddressFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FU'196.201.214.214'LINE_FEN_GE_FUExistLINE_FEN_GE_FU","1","261661"<endrec>
"N","ruleDENG_HAO_FEN_GE_FUMapping depend on another fieldFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUADDIDOT_FEN_GE_FUSystem_IDFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FU'VODACOM'LINE_FEN_GE_FUExistLINE_FEN_GE_FU","1","261662"<endrec>
"N","ruleDENG_HAO_FEN_GE_FUMapping depend on another fieldFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUADDIDOT_FEN_GE_FUSystem_NameFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FU'M-PESA-G2'LINE_FEN_GE_FUExistLINE_FEN_GE_FU","1","261663"<endrec>
"N","ruleDENG_HAO_FEN_GE_FUMapping depend on another fieldFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUADDIDOT_FEN_GE_FUSystem_VersionFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FU'9101'LINE_FEN_GE_FUExistLINE_FEN_GE_FU","1","261664"<endrec>
"N","ruleDENG_HAO_FEN_GE_FUMany to One MappingFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUTXNDOT_FEN_GE_FUTransactionCurrencyFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FU","10","261674"<endrec>
"N","ruleDENG_HAO_FEN_GE_FURemove CharactersFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUADDIDOT_FEN_GE_FUDestinationURIFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FUtel:+","10","261675"<endrec>
"N","ruleDENG_HAO_FEN_GE_FUMany to One MappingFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUTXNDOT_FEN_GE_FUTransactionReceiptNumberFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FU","10","261676"<endrec>
"N","ruleDENG_HAO_FEN_GE_FUMany to One MappingFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUADDIDOT_FEN_GE_FURecipient First NameDOU_HAO_FEN_GE_FUADDIDOT_FEN_GE_FURecipient Last NameFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FUspace","1001","11001"<endrec>
"N","ruleDENG_HAO_FEN_GE_FUMany to One MappingFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUADDIDOT_FEN_GE_FURecipient First NameDOU_HAO_FEN_GE_FUADDIDOT_FEN_GE_FURecipient Last NameFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FUspace","1003","11002"<endrec>
"N","ruleDENG_HAO_FEN_GE_FUMany to One MappingFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUKYCDOT_FEN_GE_FU1001LINE_FEN_GE_FU1001DOU_HAO_FEN_GE_FUKYCDOT_FEN_GE_FU1001LINE_FEN_GE_FU1002DOU_HAO_FEN_GE_FUKYCDOT_FEN_GE_FU1001LINE_FEN_GE_FU1003FEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FUspace","1003","11003"<endrec>
"N","ruleDENG_HAO_FEN_GE_FUMapping depend on another fieldFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUADDIDOT_FEN_GE_FUSender_Country_ISO_CodeFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FUSender_Country_ISO_CodeLINE_FEN_GE_FUExistLINE_FEN_GE_FU","11","261681"<endrec>
"N","ruleDENG_HAO_FEN_GE_FUMany to One MappingFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUTXNDOT_FEN_GE_FUTransactionExpiryTimeFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FU","14","261677"<endrec>
"N","ruleDENG_HAO_FEN_GE_FUMany to One MappingFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUTXNDOT_FEN_GE_FUTransactionReceiptNumberFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FU","14","261678"<endrec>
"Y","ruleDENG_HAO_FEN_GE_FURemove CharactersFEN_HAO_FEN_GE_FUsrcFieldsDENG_HAO_FEN_GE_FUADDIDOT_FEN_GE_FUDestinationURIFEN_HAO_FEN_GE_FUparametersDENG_HAO_FEN_GE_FUtel:+","14","261679"<endrec>
