COUNTRYCODE,IDENTITYTYPE,NUMBERBEGIN,NUMBEREND,NUMBERLENGTH,SUBTYPEID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   <endrec>
"","1000","2540720936384","2540720936384","13","1002"<endrec>
"","1000","25469962158","25469962158","11","1002"<endrec>
"","1000","254699622584","254699622584","12","1002"<endrec>
"","1000","254699622588","254699622588","12","1000"<endrec>
"","1000","254699622589","254699622589","12","1000"<endrec>
"","1000","254700000000","254707162690","12","1002"<endrec>
"","1000","254700000000","254709999999","12","1000"<endrec>
"","1000","25470000100","25470000100","11","1000"<endrec>
"","1000","25470000889","25470000889","11","1000"<endrec>
"","1000","25470000889","25470000889","11","1002"<endrec>
"","1000","25470222000","25470222000","11","1002"<endrec>
"","1000","25470222022","25470222022","11","1002"<endrec>
"","1000","25470716268","25470716268","11","1002"<endrec>
"","1000","25470716269","25470716269","11","1002"<endrec>
"","1000","254707162692","254709999999","12","1002"<endrec>
"","1000","254710000000","254719999999","12","1000"<endrec>
"","1000","254710000000","254719999999","12","1002"<endrec>
"","1000","254720000000","254729999999","12","1000"<endrec>
"","1000","254720000000","254729999999","12","1002"<endrec>
"","1000","254730000000","254730000012","12","1002"<endrec>
"","1000","254730000000","254739999999","12","1000"<endrec>
"","1000","254740000000","254749999999","12","1000"<endrec>
"","1000","254750000000","254759999999","12","1000"<endrec>
"","1000","254760000000","254769999999","12","1000"<endrec>
"","1000","254770000000","254779999999","12","1000"<endrec>
"","1000","254780000000","254789999999","12","1000"<endrec>
"","1000","254790000000","254792999999","12","1000"<endrec>
"","1000","254790000000","254792999999","12","1002"<endrec>
"","1000","254896587789","254896587789","12","1002"<endrec>
"","1000","254896587790","254896587790","12","1002"<endrec>
"","1000","254896587791","254896587791","12","1002"<endrec>
"","1000","25500000000","25599999999","11","1000"<endrec>
"","1000","25500000000","25599999999","11","1002"<endrec>
"","1000","2551211231","2551211231","10","1002"<endrec>
"","1000","255123456789","255123456789","12","1000"<endrec>
"","1000","255123456789","255123456789","12","1002"<endrec>
"","1000","255202011240","255202011250","12","1002"<endrec>
"","1000","255202011248","255202011248","12","1000"<endrec>
"","1000","2552345678","2552345678","10","1000"<endrec>
"","1000","2552345678","2552345678","10","1002"<endrec>
"","1000","255444000000","255445000000","12","1002"<endrec>
"","1000","255742719960","255742719960","12","1002"<endrec>
"","1000","255745344981","255745344982","12","1002"<endrec>
"","1000","255745344983","255745344983","12","1002"<endrec>
"","1000","255745346741","255745346742","12","1002"<endrec>
"","1000","255745346743","255745346743","12","1002"<endrec>
"","1000","255754453247","255754453247","12","1000"<endrec>
"","1000","255755192090","255755192090","12","1002"<endrec>
"","1000","255757633700","255757633700","12","1002"<endrec>
"","1000","255768586986","255768586986","12","1002"<endrec>
"","1000","255900000000","255900000000","12","1000"<endrec>
"","1000","355699622584","355699622584","12","1002"<endrec>
"","1000","400000000100","400000000900","12","1000"<endrec>
"","1000","400000001000","400000002000","12","1000"<endrec>
"","1000","400000003000","400000004000","12","1000"<endrec>
"","1000","400714000000","400714000000","12","1000"<endrec>
"","1000","40071442128","40071442128","11","1002"<endrec>
"","1000","40430221387","40430221387","11","1000"<endrec>
"","1000","4070011938","4070011938","10","1002"<endrec>
"","1000","4070111938","4070111938","10","1002"<endrec>
"","1000","4071111938","4071111938","10","1002"<endrec>
"","1000","40712122222","40712122222","11","1000"<endrec>
"","1000","40712122222","40712122222","11","1002"<endrec>
"","1000","40714421288","40714421288","11","1000"<endrec>
"","1000","40714421289","40714421289","11","1000"<endrec>
"","1000","40720000008","40720000009","11","1002"<endrec>
"","1000","40720000029","40720000029","11","1000"<endrec>
"","1000","40720000029","40720000029","11","1002"<endrec>
"","1000","40720000800","40720000900","11","1002"<endrec>
"","1000","407200009002","407200009009","12","1002"<endrec>
"","1000","40720001121","40720001121","11","1002"<endrec>
"","1000","40720001122","40720001122","11","1000"<endrec>
"","1000","40720001122","40720001122","11","1002"<endrec>
"","1000","40720001123","40720001123","11","1000"<endrec>
"","1000","40720001123","40720001123","11","1002"<endrec>
"","1000","40720001124","40720001124","11","1000"<endrec>
"","1000","40720001124","40720001124","11","1002"<endrec>
"","1000","40720001125","40720001125","11","1000"<endrec>
"","1000","40720001125","40720001125","11","1002"<endrec>
"","1000","40720001126","40720001126","11","1000"<endrec>
"","1000","40720001126","40720001126","11","1002"<endrec>
"","1000","40720001127","40720001127","11","1000"<endrec>
"","1000","40720001127","40720001127","11","1002"<endrec>
"","1000","40720001128","40720001128","11","1000"<endrec>
"","1000","40720001128","40720001128","11","1002"<endrec>
"","1000","40720001228","40720001228","11","1000"<endrec>
"","1000","40720010759","40720010759","11","1002"<endrec>
"","1000","40720011008","40720011008","11","1000"<endrec>
"","1000","40720011038","40720011038","11","1002"<endrec>
"","1000","40720011047","40720011047","11","1002"<endrec>
"","1000","40720011090","40720011090","11","1000"<endrec>
"","1000","40720011093","40720011093","11","1002"<endrec>
"","1000","40720011094","40720011094","11","1000"<endrec>
"","1000","40720011094","40720011094","11","1002"<endrec>
"","1000","40720011095","40720011095","11","1000"<endrec>
"","1000","40720011095","40720011096","11","1002"<endrec>
"","1000","40720011097","40720011100","11","1002"<endrec>
"","1000","40720011109","40720011109","11","1000"<endrec>
"","1000","40720011109","40720011109","11","1002"<endrec>
"","1000","40720011110","40720011110","11","1002"<endrec>
"","1000","40720011111","40720011111","11","1000"<endrec>
"","1000","40720011111","40720011111","11","1002"<endrec>
"","1000","40720011120","40720011120","11","1002"<endrec>
"","1000","40720011121","40720011121","11","1002"<endrec>
"","1000","40720011144","40720011144","11","1000"<endrec>
"","1000","40720011144","40720011144","11","1002"<endrec>
"","1000","40720011145","40720011145","11","1002"<endrec>
"","1000","40720011146","40720011146","11","1002"<endrec>
"","1000","407200111461","407200111461","12","1002"<endrec>
"","1000","40720011148","40720011148","11","1002"<endrec>
"","1000","40720011149","40720011149","11","1002"<endrec>
"","1000","40720011156","40720011156","11","1002"<endrec>
"","1000","40720011167","40720011167","11","1000"<endrec>
"","1000","40720011167","40720011167","11","1002"<endrec>
"","1000","40720011168","40720011170","11","1000"<endrec>
"","1000","40720011168","40720011170","11","1002"<endrec>
"","1000","40720011171","40720011171","11","1002"<endrec>
"","1000","40720011188","40720011188","11","1002"<endrec>
"","1000","40720011301","40720011301","11","1000"<endrec>
"","1000","40720011301","40720011301","11","1002"<endrec>
"","1000","40720011338","40720011338","11","1002"<endrec>
"","1000","40720011349","40720011349","11","1000"<endrec>
"","1000","40720011349","40720011349","11","1002"<endrec>
"","1000","40720011389","40720011389","11","1000"<endrec>
"","1000","40720011389","40720011389","11","1002"<endrec>
"","1000","40720011391","40720011391","11","1000"<endrec>
"","1000","40720011391","40720011391","11","1002"<endrec>
