ACCESS_CHANNEL,CATEGORY,ERROR_CODE,FUNCTION_ID,IS_INSTANTLY,NOTIFICATION_RULE_ID,NOTIFICATION_TYPE,RECEIVING_CHANNEL,RECIPIENT_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     <endrec>
"1002","0","IC40124","-1","1","1","103000000000000046","9999","02"<endrec>
"1002","0","GV50023","-1","1","100014","107000000000002061","1001","01"<endrec>
"1002","0","TP30018","-1","1","100017","107000000000002097","1001","01"<endrec>
"1002","0","TP30455","-1","1","100018","107000000000002097","1001","01"<endrec>
"1002","0","TP30094","-1","1","100021","107000000000002052","1001","01"<endrec>
"1002","0","TP36503","-1","1","100022","107000000000002052","1001","01"<endrec>
"1002","0","TP40115","-1","1","100023","107000000000002057","1001","01"<endrec>
"1002","0","TP30210","-1","1","100024","107000000000002183","1001","01"<endrec>
"1002","0","IC40140","-1","1","100025","107000000000002153","1001","01"<endrec>
"1002","0","IC40137","-1","1","100026","107000000000002154","1001","01"<endrec>
"1002","0","IC40136","-1","1","100027","107000000000002154","1001","01"<endrec>
"1002","0","IC40139","-1","1","100028","107000000000002154","1001","01"<endrec>
"1002","0","IC40142","-1","1","100030","107000000000002159","1001","01"<endrec>
"1002","0","IC40138","-1","1","100031","107000000000002150","1001","01"<endrec>
"1002","0","TP30038","-1","1","100032","107000000000002075","1001","01"<endrec>
"1002","0","TP30020","-1","1","100033","107000000000002075","1001","01"<endrec>
"1002","0","TP30005","-1","1","100034","107000000000002222","1001","01"<endrec>
"1002","0","TP30013","-1","1","100035","107000000000002216","1001","01"<endrec>
"1002","0","TP30048","-1","1","100036","107000000000002192","1001","01"<endrec>
"1002","0","TP40052","-1","1","100037","107000000000002192","1001","01"<endrec>
"1002","0","TP30049","-1","1","100038","107000000000002220","1001","01"<endrec>
"1002","0","TP40050","-1","1","100039","107000000000002220","1001","01"<endrec>
"1002","0","TP30051","-1","1","100040","107000000000002181","1001","01"<endrec>
"1002","0","TP30207","-1","1","100041","107000000000002181","1001","01"<endrec>
"1002","0","TP30209","-1","1","100043","107000000000002181","1001","01"<endrec>
"1002","0","TP30046","-1","1","100044","107000000000002181","1001","01"<endrec>
"1002","0","TP40053","-1","1","100045","107000000000002181","1001","01"<endrec>
"1002","0","TP40055","-1","1","100046","107000000000002181","1001","01"<endrec>
"1002","0","TP40057","-1","1","100047","107000000000002181","1001","01"<endrec>
"1002","0","TP30052","-1","1","100048","107000000000002183","1001","01"<endrec>
"1002","0","TP30208","-1","1","100049","107000000000002183","1001","01"<endrec>
"1002","0","TP40054","-1","1","100051","107000000000002183","1001","01"<endrec>
"1002","0","TP40058","-1","1","100053","107000000000002183","1001","01"<endrec>
"1002","0","TP30092","-1","1","100054","107000000000002221","1001","01"<endrec>
"1002","0","TP30093","-1","1","100055","107000000000002201","1001","01"<endrec>
"1002","0","TP30204","-1","1","100056","107000000000002214","1001","01"<endrec>
"1002","0","TP40307","-1","1","100057","107000000000002214","1001","01"<endrec>
"9999","0","TP40046","-1","1","100058","107000000000002214","0000","01"<endrec>
"1002","0","TP40047","-1","1","100059","107000000000002201","1001","01"<endrec>
"1002","0","TP40153","-1","1","100060","107000000000002214","1001","01"<endrec>
"1002","0","TP40048","-1","1","100061","107000000000002213","1001","01"<endrec>
"1002","0","TP40108","-1","1","100062","107000000000002213","1001","01"<endrec>
"1002","0","GV50005","-1","1","100063","107000000000002213","1001","01"<endrec>
"1002","0","IC40060","-1","1","100064","107000000000002213","1001","01"<endrec>
"1002","0","TP40113","-1","1","100065","107000000000008038","1001","01"<endrec>
"1002","0","IC19303","-1","1","100066","107000000000002238","1001","01"<endrec>
"1002","0","GV50006","-1","1","100067","107000000000002238","1001","01"<endrec>
"1002","0","TP40303","-1","1","101000","101000000000000051","1001","01"<endrec>
"1002","0","TP40298","-1","1","101001","101000000000000051","1001","01"<endrec>
"1002","0","TP40304","-1","1","101002","101000000000000051","1001","01"<endrec>
"1002","0","TC30133","-1","1","101003","101000000000000050","1001","01"<endrec>
"1002","0","GV50040","-1","1","101005","101000000000000047","1001","01"<endrec>
