EVENT_TYPE,IS_INSTANTLY,NOTIFICATION_RULE_ID,NOTIFICATION_TYPE,RECEIVING_CHANNEL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        <endrec>
"VoucherExpireNotification","1","101000000000000014","101000000000000014","1001"<endrec>
"AutoSetUpCustomerDormantStatus","1","101001","102000000000000019","1001"<endrec>
"AutoSetUpOperatorDormantStatus","1","101002","102000000000000057","1001"<endrec>
"OperatorDormantAlarm","1","101003","102000000000000056","1001"<endrec>
"CustomerDormantAlarm","1","101004","102000000000000018","1001"<endrec>
"CloseExpiredProduct","1","101005","102000000000000044","1001"<endrec>
"ProductExpiredAlarm","1","101006","102000000000000043","1001"<endrec>
"CredentialExpiredAlarm","1","101007","102000000000000086","1001"<endrec>
"AutoCloseDormantCustomer","1","101008","102000000000000020","1001"<endrec>
"CreateIndividualReminderTask","1","101009","208000000000048240","9999"<endrec>
"ReminderResendingClearingTask","1","105000000000001168","105010700000001375","9999"<endrec>
"RevokeCertification","1","105010700000001376","105010700000001376","9999"<endrec>
"RemindTheCustomerActivated","0","121","103000000000000239","1001"<endrec>
"RevenueSettlementError","1","135","104000000000000002","1001"<endrec>
"AutoSetIdentityProductClosed","1","136","102000000000000044","1001"<endrec>
"BundleRenew","1","169","208000000000102240","1001"<endrec>
"StandingOraderInitiateTransaction","1","208000000000066238","208000000000066238","9999"<endrec>
"CreateBulkReminderTask","1","208000000000074238","208000000000074238","9999"<endrec>
"AutoSetUpGroupDormantStatus","1","208000000000077239","208000000000077239","1001"<endrec>
"GroupDormantAlarm","1","208000000000078238","208000000000103238","9999"<endrec>
"BalanceRemind","1","258","208000000000097239","1011"<endrec>
