DESCRIPTION,DISPATCHER,NAME,SEGMENTS,TEMPLATE_ID,TEMPLATE_TYPE,TYPE_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"","1","Standard","","100","1","40711"<endrec>
"this is a Standard","1","Standard","","101000000000000027","1","10100027"<endrec>
"this is a Standard","1","Standard","","101000000000000029","1","10100029"<endrec>
"this is a Standard","1","Standard","","102000000000000035","1","10200035"<endrec>
"this is a Standard","1","Standard","","102000000000000100","1","10200100"<endrec>
"this is a Standard","1","Standard","","102000000000000106","1","10200106"<endrec>
"","1","Standard","","110000000000005023","1","30000012"<endrec>
"WithdrawRecipientNotify","1","Standard","","110000000000010010","1","30009047"<endrec>
"WithdrawReplyOk","1","Standard","","110000000000010011","1","30009048"<endrec>
"","1","Standard","","110000000000011051","1","31019502"<endrec>
"","1","Standard","","110000000000011052","1","31019503"<endrec>
"","1","Standard","","110000000000011053","1","31019504"<endrec>
"System is Ready to Upgrade","1","Standard","","110000000000011054","1","31019507"<endrec>
"this is Standard","1","Standard","","110000000000011055","1","31019506"<endrec>
"Standard","1","Standard","","110000000000011059","1","31019520"<endrec>
"this is a Update SP Operator Rule Profile","1","Standard","","110000000000011062","1","31019522"<endrec>
"","1","Standard","","110000000000011064","1","31019527"<endrec>
"","1","Standard","","110000000000011065","1","31019530"<endrec>
"Generate static QR-Code successfully.","1","Standard","","110000000000011070","1","31019535"<endrec>
"Generate static QR-Code failed.","1","Standard","","110000000000011071","1","31019536"<endrec>
"link success","1","Standard","","110000000000011074","1","31019538"<endrec>
"link failed","1","Standard","","110000000000011075","1","31019539"<endrec>
"query success","1","Standard","","110000000000011076","1","31019540"<endrec>
"query failed","1","Standard","","110000000000011077","1","31019541"<endrec>
"this is update static qrCode status","1","Standard","","110000000000011079","1","31019544"<endrec>
"","1","Standard","","110000000000011082","1","31019552"<endrec>
"","1","Standard","","110000000000011083","1","31019553"<endrec>
"","1","Standard","","110000000000011084","1","31019554"<endrec>
"","1","Standard","","110000000000011085","1","31019555"<endrec>
"","1","Standard","","110000000000011086","1","31019556"<endrec>
"mgt success","1","Standard","","110000000000011087","1","31019557"<endrec>
"","1","Standard","","110000000000011088","1","31019558"<endrec>
"","1","Standard","","110000000000011089","1","31019559"<endrec>
"","1","Standard","","110000000000011090","1","31019560"<endrec>
"","1","Standard","","110000000000011091","1","31019561"<endrec>
"","1","Standard","","110000000000011092","1","31019562"<endrec>
"","1","Standard","","110000000000011093","1","31019563"<endrec>
"Success To Cancel Request.","1","Standard","","110000000000011095","1","31019565"<endrec>
"PIN Status Error","1","Standard","","110000000000011096","1","31019568"<endrec>
"Response Timeout","1","Standard","","110000000000011097","1","31019569"<endrec>
"","1","Standard","","110000000000011098","1","31019570"<endrec>
"","1","Standard","","110000000000011099","1","31019571"<endrec>
"","1","Standard","","110000000000011100","1","31019572"<endrec>
"","1","Standard","","110000000000011101","1","31019573"<endrec>
"","1","Standard","","110000000000011102","1","31019579"<endrec>
"","1","Standard","","110000000000011103","1","31019578"<endrec>
"","1","Standard","","110000000000011104","1","31019577"<endrec>
"","1","Standard","","110000000000011105","1","31019576"<endrec>
"","1","Standard","","110000000000011106","1","31019575"<endrec>
"","1","Standard","","110000000000011107","1","31019574"<endrec>
"","1","Standard","","110000000000011108","1","31019580"<endrec>
"","1","Standard","","110000000000011109","1","31019581"<endrec>
"","1","Standard","","110000000000011110","1","31019582"<endrec>
"","1","Standard","","110000000000011111","1","31019583"<endrec>
"","1","Standard","","110000000000011113","1","31019584"<endrec>
"","1","Standard","","110000000000011114","1","31019585"<endrec>
"","1","Standard","","110000000000011116","1","31019586"<endrec>
"","1","Standard","","110000000000011117","1","31019587"<endrec>
"","1","Standard","","110000000000011118","1","31019589"<endrec>
"","1","Standard","","110000000000011119","1","31019590"<endrec>
"","1","Standard","","110000000000011120","1","31019591"<endrec>
"","1","Standard","","110000000000011121","1","31019592"<endrec>
"","1","Standard","","110000000000011122","1","31019594"<endrec>
"","1","Standard","","110000000000011123","1","31019595"<endrec>
"","1","Standard","","110000000000011124","1","31019596"<endrec>
"","1","Standard","","110000000000011125","1","31019597"<endrec>
"","1","Standard","","110000000000011126","1","31019598"<endrec>
"","1","Standard","","110000000000011127","1","31019601"<endrec>
"","1","Standard","","110000000000011128","1","31019602"<endrec>
"","1","Standard","","110000000000011130","1","31019607"<endrec>
"","1","Standard","","110000000000011131","1","31019608"<endrec>
"","1","Standard","","110000000000011132","1","31019609"<endrec>
"","1","Standard","","110000000000011133","1","31019610"<endrec>
"","1","Standard","","110000000000011134","1","31019611"<endrec>
"","1","Standard","","110000000000011135","1","31019612"<endrec>
"","1","Standard","","110000000000011136","1","31019613"<endrec>
"","1","Standard","","110000000000011137","1","31019614"<endrec>
"","1","Standard","","110000000000011138","1","31019615"<endrec>
"","1","Standard","","110000000000011139","1","31019616"<endrec>
"","1","Standard","","110000000000011140","1","31019617"<endrec>
"","1","Standard","","110000000000011142","1","31019620"<endrec>
"","1","Standard","","110000000000011143","1","31019621"<endrec>
"your PIN is locked. Please contact Customer Care to unlock it.","1","Standard","","110000000000011150","1","31019629"<endrec>
"","1","Standard","","110000000000011151","1","31019630"<endrec>
"","1","Standard","","110000000000011152","1","31019631"<endrec>
"","1","Standard","","110000000000011153","1","31019632"<endrec>
"","1","Standard","","110000000000011154","1","31019633"<endrec>
"","1","Standard","","110000000000011155","1","31019634"<endrec>
