APPLY_SCENARIOS,CONFIDENTIAL_FLAG,DATA_TYPE,DESCRIPTION,FEATURE_CODE,IGNORE,MAX_LENGTH,MULTI_LANGUAGE_FLAG,VARIABLE_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                <endrec>
"01010101000000011100011100000000","0","1","Field name that fails to be verified in the message accessed through the STK, which is used in the notification sent after verification failure.","0","0","100","0","AGContext.Response.ErrorParameterKey"<endrec>
"01010101000000011100011100000000","0","1","Content that fails to be verified in the message accessed through the STK, which is used in the notification sent after verification failure.","0","0","100","0","AGContext.Response.ErrorParameterValue"<endrec>
"01010101000010011110011100000000","0","1","Reserved.","","1","8","0","AGContext.Response.ResultCode"<endrec>
"01010101000010011110011100000000","0","1","Reserved.","","1","256","0","AGContext.Response.ResultMessage"<endrec>
"01010000000000000000000000000000","0","1","Message source queue alias.","","1","64","0","AGContext.ServiceQueueAlias"<endrec>
"00000000000010000000000000000000","1","1","Actual anonymous available  quota of the bundle element after the transaction is completed in the transaction process.","","1","18","0","AvailableValue"<endrec>
"00000010000000000000000000000000","0","1","Reserved.","","1","256","0","BOAction.AML.AMLTaskName"<endrec>
"00000010000000000000000000000000","0","1","Reserved.","","1","20","0","BOAction.AML.AMLTaskSoftAbortTimes"<endrec>
"00000010000000000000000000000000","0","1","Reserved.","","1","20","0","BOAction.AML.AMLTaskTimeOutTimes"<endrec>
"00100000000000000000000000000000","0","1","Access channel. The notification is sent when changing the access channel.","","1","16","0","BOAction.AccessChannelAdd"<endrec>
"00100000000000000000000000000000","0","1","Access channel name, which is used in the notification sent when the BO service operation is successful.","","1","16","0","BOAction.AccessChannelName"<endrec>
"00110000000000000000000000000000","0","6","Account list. This parameter is used when the account status of an identity is changed.","","0","","0","BOAction.AccountList"<endrec>
"00100000000000000000000000000000","0","1","Modified account rule profile name, which is used in the notification sent after the rule profile of the account level is modified.","","1","32","0","BOAction.AccountRuleProfile"<endrec>
"00100000000010011100000000000000","0","1","Account status, which is used in the notification sent after the status of the account is modified.","","1","16","0","BOAction.AccountStatus"<endrec>
"00110000000000000000000000000000","0","1","Action request initiation dat in BO action.","","1","10","0","BOAction.ActionDate"<endrec>
"00110000000000000000000000000000","0","5","Action request initiation time in BO action.","","1","8","0","BOAction.ActionTime"<endrec>
"00100000000000000000000000000000","0","1","Name of the BO or action that generates the loyalty point issuing.","","0","32","0","BOAction.ActionTypeName"<endrec>
"00110010000000000000000000000000","0","1","Name of the identity participating in the BO service. The receiver name is used in priority. If the receiver name is empty, the initiator name is used.","","1","64","0","BOAction.AffectedIdentityName"<endrec>
"00110000000000000000000000000000","0","1","OD opt in date can not less this date","","1","10","0","BOAction.AllowDate"<endrec>
"00110000000000000000000000000000","0","1","If the number of months the user activates MM is greater than the value of this parameter, then the customer can open OD","","1","10","0","BOAction.AllowMonth"<endrec>
"00110000000000000000000000000000","0","2","disable or enable offline wallet auto recharge value","","0","3","0","BOAction.AutoTopup"<endrec>
"00110000000000000000000000000000","0","1","","","1","32","0","BOAction.Bank.BranchName"<endrec>
"00110000000000000000000000000000","0","1","","","1","32","0","BOAction.Bank.BranchShortCode"<endrec>
"00110000000000000000000000000000","0","1","","","1","32","0","BOAction.Bank.ReceivingAccount"<endrec>
"00100000000000000000000000000000","0","1","Bound bank number of an identity in BO action.","","1","16","0","BOAction.BankAccount"<endrec>
"00100000000000000000000000000000","0","6","List of bound bank cards, which is in the notification sent when a customer queries the bound bank cards.","","1","16","0","BOAction.BankAccountList"<endrec>
"00100000000000000000000000000000","0","6","List of bank card contacts, which is in the notification sent when a customer queries the added bank card contacts.","","1","16","0","BOAction.BankAccountLookupList"<endrec>
"00110000000000000000000000000000","0","1","Link or unlink account type.","","0","1","0","BOAction.BankAccountType"<endrec>
"00100000000000000000000000000000","0","1","Bound bank branch of an identity in BO action.","","1","32","0","BOAction.BankBranch"<endrec>
"01000000000000000000000000000000","0","1","Reserved.","","1","32","0","BOAction.BankName"<endrec>
"00100000000000000000000000000000","0","1","Bank switch information, including the bank name and bank code.","","1","128","0","BOAction.BankSwitchInfo.Element"<endrec>
"00110000000000000000000000000000","0","1","Beneficiary ID, which is used in the notification sent when a beneficiary is added or deleted. If the beneficiary is a customer, the ID is the MSISDN. If the beneficiary is an organization, the ID is the short code of the organization.","","0","32","0","BOAction.BeneficiaryIdentifier"<endrec>
"00110000000000000000000000000000","0","1","Beneficiary name, which is used in the notification sent after a beneficiary is added or deleted.","","1","1024","0","BOAction.BeneficiaryName"<endrec>
"00110000000000000000000000000000","0","1","Beneficiary remarks, which is used in the notification sent after a beneficiary is added or deleted.","","1","128","0","BOAction.BeneficiaryReference"<endrec>
"00110000000000000000000000000000","0","1","Bill remarks, which is used in the notification sent after a beneficiary is added or deleted. The beneficiary must be an organization.","","0","128","0","BOAction.BillReference"<endrec>
"00110000000010011100000000000000","0","1","Bundle assigning mode, which is used in the notification sent after the identity used for bundle service.","","0","20","0","BOAction.Bundle.AssigningMode"<endrec>
"00110000000010011100000000000000","0","1","","","0","256","0","BOAction.Bundle.Description"<endrec>
"00110000000000000000000000000000","0","1","Bundle configuration table. Used to record bundle details for notification display. It is used in the notification sent after the identity used for bundle service.","","0","18","0","BOAction.Bundle.Element"<endrec>
"00110000000010011100000000000000","0","1","","","0","18","0","BOAction.Bundle.Element.AvailableValue"<endrec>
"00110000000010011100000000000000","0","1","Unique identifier of a bundle element. (Currently supports Service and Reason Type. Allowed to use aliases.). It is used in the notification sent after the identity used for bundle service.","","0","128","0","BOAction.Bundle.Element.Identifier"<endrec>
"00110000000010011100000000000000","0","1","The maximum value of a bundle element, which is used in the notification sent after the identity used for bundle service.","","0","18","0","BOAction.Bundle.Element.MaxValue"<endrec>
"00100000000000000000000000000000","0","1","Indicates whether the notification sending success notification is in Splitting On mode in the bundle service in BO action.","","1","1","0","BOAction.Bundle.Element.SendOkInSplittingOn"<endrec>
"00110000000010011100000000000000","0","1","Bundle element type. For example, External BundelElement, Service and Reason Type. It is used in the notification sent after the identity used for bundle service.","","1","20","0","BOAction.Bundle.Element.Type"<endrec>
"00110000000010011100000000000000","0","1","Bundle element unit. Used for bundle services, which is used in the notification sent after the identity used for bundle service.","","0","2","0","BOAction.Bundle.Element.Unit"<endrec>
"00110000000010011100000000000000","0","1","The value that can be consumed in a bundle service, which is used in the notification sent after the identity used for bundle service.","","1","18","0","BOAction.Bundle.Element.Value"<endrec>
"00110000000010011100000000000000","0","1","Bundle element type. For example, External BundelElement, Service and Reason Type. It is used in the notification sent after the identity used for bundle service.","","0","20","0","BOAction.Bundle.ElementType"<endrec>
"00110000000010011100000000000000","0","1","The value that can be consumed in a bundle service, which is used in the notification sent after the identity used for bundle service.","","0","18","0","BOAction.Bundle.ElementValue"<endrec>
"00110000000010011100000000000000","0","1","","","0","3","0","BOAction.Bundle.Expiration.Days"<endrec>
"00110000000010011100000000000000","0","1","Indicates the expiration date of the configured bundle, which is used in the notification sent after the identity used for bundle service.","","0","14","0","BOAction.Bundle.ExpirationDate"<endrec>
"00111100000010011100000000000000","0","1","Bundle subscription information table for notification display, which is used in the notification sent after the identity used for bundle service.","","0","","0","BOAction.Bundle.IdentityBundleInfoList"<endrec>
"00110000000010011100000000000000","0","1","Unique identifier of a subscribed bundle in the subscription information table, which is used in the notification sent after the identity used for bundle service.","","1","22","0","BOAction.Bundle.IdentityBundleInfoList.BundleId"<endrec>
"00110000000010011100000000000000","0","1","Notification mode for bundle renewal, which is used in the notification sent after the identity used for bundle service.","","1","20","0","BOAction.Bundle.IdentityBundleInfoList.RenewalMode"<endrec>
"00110000000010011100000000000000","0","1","Indicates the bundle name, which is used in the notification sent after the identity used for bundle service.","","0","128","0","BOAction.Bundle.Name"<endrec>
"00110000000010011100000000000000","0","1","Indicates the fee of a bundle, which is used in the notification sent after the identity used for bundle service.","","0","18","0","BOAction.Bundle.Price"<endrec>
"00110000000010011100000000000000","0","1","Indicates the provider providing the bundle subscription services or products, which is used in the notification sent after the identity used for bundle service.","","0","128","0","BOAction.Bundle.Provider"<endrec>
"00110000000010011100000000000000","0","1","","","0","20","0","BOAction.Bundle.RenewalMode"<endrec>
"00110000000010011100000000000000","0","1","Indicates the effective date of the configured bundle, which is used in the notification sent after the identity used for bundle service.","","0","14","0","BOAction.Bundle.StartDate"<endrec>
"00100000000000000000000000000000","0","1","Bundle status in BO action.","","1","16","0","BOAction.Bundle.Status"<endrec>
"00110000000010011100000000000000","0","1","Indicates the bundle type, which is used in the notification sent after the identity used for bundle service.","","0","20","0","BOAction.Bundle.Type"<endrec>
"00110000000000000000000000000000","0","1","Indicates the card number in the Linked Financial Cards service in BO action.","","1","32","0","BOAction.Card.CardNumber"<endrec>
"00100000000000000000000000000000","0","1","Changed account status list in BO action.","","1","12","0","BOAction.ChangeAcctStatusList"<endrec>
"00111111000000000000000000000000","0","1","Account name, which is used in the notification sent after the account status list of an identity is modified.","","1","32","0","BOAction.ChangeAcctStatusList.Account.AccountName"<endrec>
"00111111000000000000000000000000","0","1","Account status, which is used in the notification sent after the account status list of an identity is modified.","","1","16","0","BOAction.ChangeAcctStatusList.Account.AccountStatus"<endrec>
