DEFAULT_VALUE,LANGUAGE,VARIABLE_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"5.00","en","AGContext.Response.ErrorParameterKey"<endrec>
"5.00","en","AGContext.Response.ErrorParameterValue"<endrec>
"60000122","en","AGContext.Response.ResultCode"<endrec>
"PIN error","en","AGContext.Response.ResultMessage"<endrec>
"Extract Transaction","en","BOAction.AML.AMLTaskName"<endrec>
"40 hours 30 minutes","en","BOAction.AML.AMLTaskSoftAbortTimes"<endrec>
"12 hours 20 minutes","en","BOAction.AML.AMLTaskTimeOutTimes"<endrec>
"Handset","en","BOAction.AccessChannelName"<endrec>
"Floating account rule profile","en","BOAction.AccountRuleProfile"<endrec>
"Active","en","BOAction.AccountStatus"<endrec>
"13-06-11","en","BOAction.ActionDate"<endrec>
"14","en","BOAction.ActionTime"<endrec>
"David Johnson","en","BOAction.AffectedIdentityName"<endrec>
"","en","BOAction.AllowDate"<endrec>
"6","en","BOAction.AllowMonth"<endrec>
"0","en","BOAction.AutoTopup"<endrec>
"HSBC","en","BOAction.BankName"<endrec>
"","en","BOAction.Bundle.Element.Unit"<endrec>
"9/8/2014","en","BOAction.ChangeProducts.ChangedOrAddedProductAssignmentEffectDate"<endrec>
"9/8/2014","en","BOAction.ChangeProducts.ChangedOrAddedProductAssignmentExpiryDate"<endrec>
"Changed Or Added Product Assignment List","en","BOAction.ChangeProducts.ChangedOrAddedProductAssignmentList"<endrec>
"Air time selling","en","BOAction.ChangeProducts.ChangedOrAddedProductAssignmentName"<endrec>
"Airtime seller product-period from 01/01/13-31/12/14.","en","BOAction.ChangeProducts.ChangedOrAppendProducts"<endrec>
"Removed Product Assignment List","en","BOAction.ChangeProducts.RemovedProductAssignmentList"<endrec>
"Agent store","en","BOAction.ChangeProducts.RemovedProductAssignmentName"<endrec>
"Airtime seller product-period from 01/01/13-31/12/14.","en","BOAction.ChangeProducts.RemovedProducts"<endrec>
"9/8/2014","en","BOAction.ChangeRole.ChangedOrAddedRoleAssignmentEffectDate"<endrec>
"9/8/2014","en","BOAction.ChangeRole.ChangedOrAddedRoleAssignmentExpiryDate"<endrec>
"Changed Or Added Role Assignment List","en","BOAction.ChangeRole.ChangedOrAddedRoleAssignmentList"<endrec>
"Agent manager","en","BOAction.ChangeRole.ChangedOrAddedRoleAssignmentName"<endrec>
"Removed Role Assignment List","en","BOAction.ChangeRole.RemovedRoleAssignmentList"<endrec>
"Agent financial manager","en","BOAction.ChangeRole.RemovedRoleAssignmentName"<endrec>
"Floating account","en","BOAction.ChangedAccount"<endrec>
"andy","en","BOAction.ChargeProfileName"<endrec>
"123456","en","BOAction.ChildOrgShortCode"<endrec>
"13522269874","en","BOAction.ClosedDeviceMsisdn"<endrec>
"Customer_msisdn","en","BOAction.CustomerMsisdn"<endrec>
"David Johnson","en","BOAction.CustomerName"<endrec>
"Dromant","en","BOAction.CustomerStatus"<endrec>
"Registered customer","en","BOAction.CustomerTypeName"<endrec>
"Active","en","BOAction.DeviceStatus"<endrec>
"","en","BOAction.DirectDebit.TransationDate"<endrec>
"Failed to create the operator because the operator ID already exists.","en","BOAction.ErrorMessage"<endrec>
"16/06/2013","en","BOAction.ExcuteDate"<endrec>
"2013-06-05 12","en","BOAction.ExecuteTime"<endrec>
"{{BOAction.ExternalErrorCode}}","en","BOAction.ExternalErrorCode"<endrec>
"5.00","en","BOAction.FSIInfo"<endrec>
"200","en","BOAction.FeeInfo.Initiator.Commission"<endrec>
"200","en","BOAction.FeeInfo.Initiator.Fee"<endrec>
