ASYNC_CALLBACK_TIMEOUT,CALLBACK_TIMEOUT_OUTBOUNDCMD,DO_RESPONSE_SUCC,DO_RESPONSE_TIMEOUT,DO_SEND_FAILED,DO_SOAP_FAULT,DUPLICATE_CHECK,EXTEND_MAX_RESEND_DURATION,EXTEND_MAX_RESEND_TIMES,EXTEND_RESEND_INTERVAL,EXTEND_RESEND_INTERVAL_INC,EXTEND_RESEND_INTERVAL_TYPE,MAX_RESEND_DURATION,MAX_RESEND_TIMES,OUTBOUND_COMMAND,RESEND_FOR_TIMEOUT,RESEND_INTERVAL,RESEND_INTERVAL_INC,RESEND_INTERVAL_TYPE,RESEND_MODE,RESPONSE_CODE_FIELD,RESPONSE_CODE_VALUE,RESPONSE_SUCCESS_RESEND,TIMEOUT_DURATION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   <endrec>
"","","2","1","2","2","0","","","","","","0","0","AccountOpening","1","0","0","","0","","","","60"<endrec>
"","","2","2","2","","0","","","","","","300","3","ActivateAccount","1","60","0","1","2","","","","60"<endrec>
"","","2","2","2","2","0","","","","","","","","ActivateGroupAccount","0","","","","0","","","N","10"<endrec>
"","","2","1","2","","0","","","","","","100","5","ApplyTransactionRequest","1","","","","1","","","N","15"<endrec>
"","","2","2","2","2","0","","","","","","","","AutoSweepOnlineRequestToBank","0","","","","0","","","N","2"<endrec>
"","","2","2","2","","0","","","","","","","","AutoSweepOnlineResponse","0","","","","0","","","","15"<endrec>
"","","2","2","2","2","0","","","","","","300","3","BalanceEnquiry","1","60","0","1","2","","","","60"<endrec>
"","","2","1","2","2","0","","","","","","0","3","BankAccounttoCPS","1","0","0","0","1","","","","15"<endrec>
"","","2","2","2","1","0","","","","","","0","0","BankCardtoCPS","1","0","0","0","0","","","","15"<endrec>
"","","2","2","2","2","0","","","","","","0","3","BankToMpesa","1","60","0","1","2","","","","60"<endrec>
"","","","","","","0","","","","","","","3","BuyAirTime66","1","1","","1","2","","","N","60"<endrec>
"","","1","1","1","","1","","","","","","","","BuyAirtime","0","","","","1","","","N","30"<endrec>
"","","","","","","0","","","","","","","3","BuyAirtimeAscTest04","1","10","3","2","2","","","N","60"<endrec>
"","","","","","","0","","","","","","","5","BuyAirtimeGOAReqest","1","10","","1","2","","","N","30"<endrec>
"","","","","","","0","","","","","","","3","BuyAirtimeTest","1","1","","1","2","","","N","60"<endrec>
"","","","","","","0","","","","","","","3","BuyAirtimeTest53","1","1","","1","2","","","N","60"<endrec>
"","","1","2","2","1","0","","","","","","300","4","BuyAirtimeViaISO8583","0","15","3","2","2","","","N","5"<endrec>
"","","1","1","1","","0","","","","","","","","BuyGoodGOAReq","0","","","","0","","","","3"<endrec>
"","","1","1","1","","0","","","","","","","","BuyGoodsGOARequest","0","","","","0","","","","10"<endrec>
"","","2","1","2","2","0","","","","","","0","3","CPStoBankAccount","1","0","0","0","1","","","","15"<endrec>
"","","2","2","2","1","0","","","","","","0","0","CPStoBankCard","1","0","0","0","0","","","","15"<endrec>
"","","1","2","2","2","0","","","","","","0","0","CancelOrder","1","0","0","","0","","","","0"<endrec>
"","","2","2","2","2","0","","","","","","0","0","CashInToMMAccountFromLinkedBank","1","0","0","0","0","","","","15"<endrec>
"","","2","2","2","2","0","","","","","","0","0","CashInToMMAccountFromLinkedBankSoap","1","0","0","0","0","","","","15"<endrec>
"","","2","2","2","1","0","","","","","","0","0","CashOutToLinkedBankCard","1","0","0","0","0","","","","20"<endrec>
"","","2","2","2","1","0","","","","","","0","0","CashinfromLinkedBankCard","1","0","0","0","0","","","","20"<endrec>
"","","2","2","2","1","0","","","","","","0","0","ChangeDompetkuPIN","1","0","0","","0","","","","0"<endrec>
"","","2","2","2","2","0","","","","","","300","3","Charge","1","30","0","1","2","","","","15"<endrec>
"","","2","2","2","2","0","","","","","","0","0","ConfirmBankAccountToBank","1","0","0","0","0","","","","15"<endrec>
"","","2","2","2","2","0","","","","","","0","0","ConfirmBankLookupToBank","1","0","0","0","0","","","","15"<endrec>
"","","1","1","1","1","0","","","","","","0","0","ConfirmC2BPayment","1","0","0","","0","","","","60"<endrec>
"","","2","2","2","2","0","","","","","","0","0","ConfirmMessageSendRequest","1","0","0","0","0","","","","30"<endrec>
"","","1","2","2","2","0","","","","","","0","0","ConfirmOrder","1","0","0","","0","","","","30"<endrec>
"","","2","2","2","1","0","","","","","","0","0","ConfirmTransactionRequest","1","0","0","0","0","","","","15"<endrec>
"","","2","2","2","1","0","","","","","","0","0","CreateChildOrgInfoNotify","1","0","0","1","0","","","","30"<endrec>
"","","1","2","2","2","0","","","","","","0","0","CreateOrder","1","0","0","","0","","","","30"<endrec>
"","","2","2","2","1","0","","","","","","0","0","CreateTopOrgInfoNotify","1","0","0","1","0","","","","30"<endrec>
"","","2","2","2","1","0","","","","","","0","0","CreditLimitBalance","1","0","0","1","0","","","","60"<endrec>
"","","2","2","2","2","0","","","","","","300","3","CreditScoreLimit","1","60","0","1","2","","","","60"<endrec>
"","","2","2","2","1","0","","","","","","0","0","DebitLimitBalance","1","0","0","1","0","","","","60"<endrec>
"","","2","2","1","1","0","","","","","","0","0","DemoPush","1","0","0","","0","","","","15"<endrec>
"","","2","1","2","1","0","","","","","","0","0","DirectPaymentFromBankCard","1","0","0","0","0","","","","2"<endrec>
"","","2","1","2","1","0","","","","","","0","0","DirectPaymentFromBankCardSoap","1","0","0","0","0","","","","2"<endrec>
"","","2","1","2","2","0","","","","","","0","0","DirectPaymentFromBankSoap","1","0","0","0","0","","","","2"<endrec>
"","","2","2","2","2","0","","","","","","2","1","ExternalBundleToProvider","1","","","","1","","","N","3"<endrec>
"","","2","1","1","","0","","","","","","","10","FSPInitiatedMoneyTransferFromVMTToAccount","1","1","","1","2","","","","60"<endrec>
"","","2","1","2","2","0","","","","","","0","0","FixeDepositTermination","1","0","0","","0","","","","60"<endrec>
"","","2","1","2","2","0","","","","","","0","0","FixedDeposit","1","0","0","","0","","","","60"<endrec>
"","","2","2","2","2","0","","","","","","0","0","GOABillConfirm","1","0","0","0","0","","","","15"<endrec>
"","","2","1","1","","0","","","","","","","","GOABillValidation","1","","","1","2","","","N","15"<endrec>
"","","2","1","1","","0","","","","","","1","1","GOACommandTest","1","","","","1","","","N","2"<endrec>
"","","2","2","2","2","0","","","","","","86400","3","GOADompetkuBillPayment","1","60","0","1","2","","","","15"<endrec>
"","","2","2","2","2","0","","","","","","86400","3","GOADompetkuCashIn","1","60","0","1","2","","","","15"<endrec>
"","","2","2","2","2","0","","","","","","86400","3","GOADompetkuCashOut","1","60","0","1","2","","","","15"<endrec>
"","","2","2","2","","0","","","","","","","","GOAQueryPayBillBillRequest","0","","","","0","","","","60"<endrec>
"","","2","1","1","","0","","","","","","","","GOATestCritical","0","","","","0","","","","2"<endrec>
"","","2","2","2","","0","","","","","","","","GOAWithdrawRequest","0","","","","0","","","","60"<endrec>
"","","","","","","0","","","","","","","","GOA_QueryCustUpdateKYCValidation","0","","","","0","","","","60"<endrec>
"","","1","2","1","","1","","","","","","","","GOAtest","0","","","","0","","","N","20"<endrec>
"","","2","1","1","1","0","","","","","","","","GenericIMTInquiry","0","","","","0","","","","15"<endrec>
"","","2","2","2","2","0","","","","","","0","0","GenericIMTReceiveMoney","1","0","0","0","0","","","","2"<endrec>
"","","2","2","2","","0","","","","","","300","3","GetAccountBalance#kesho","1","30","0","1","2","","","","45"<endrec>
"","","2","2","1","","0","","","","","","300","3","GetAccountBalance#shwari","1","30","0","1","2","","","","30"<endrec>
"","","2","2","2","2","0","","","","","","0","0","GetAccountDetailsRequest","1","0","0","","","","","","60"<endrec>
"","","2","2","2","","0","","","","","","300","3","GetAccountTransactionList#kesho","1","30","0","1","2","","","","45"<endrec>
"","","2","2","2","","0","","","","","","300","3","GetAccountTransactionList#shwari","1","30","0","1","2","","","","30"<endrec>
"","","2","2","2","","0","","","","","","300","3","GetLoanCreditLimit","1","30","0","1","2","","","","30"<endrec>
"","","2","2","2","1","0","","","","","","0","0","GetShortBillpayProduct","1","0","0","0","0","","","","15"<endrec>
"","","2","2","2","","0","","","","","","300","3","HandleRequestToBuyInsurance","1","60","0","1","2","","","","60"<endrec>
"","","2","1","2","","0","","","","","","300","3","HandleResponseToLinkAccounts","1","60","0","1","2","","","","60"<endrec>
"","","2","2","2","2","0","","","","","","","3","IMTAdviceOfCharge","1","1","","1","2","","","N","5"<endrec>
"","","2","1","1","","0","","","","","","300","10","IMTInquiryStatus","1","7200","0","1","2","","","","5"<endrec>
"","","2","1","1","","0","","","","","","","","IMTReceiveMoney","1","","","","0","","","","25"<endrec>
"","","2","2","2","2","0","","","","","","2","3","IMTRemittance","0","3","0","1","2","","","","5"<endrec>
"","","2","1","1","1","0","","","","","","86400","3","IMTStatus","1","3","0","1","2","","","","5"<endrec>
"","","2","1","1","","0","","","","","","86400","10","IMTStatusReport","1","7200","0","1","2","","","","5"<endrec>
"","","2","1","1","1","0","","","","","","120","3","ISO8583_Out_0200_220000_","1","15","0","1","2","","","","60"<endrec>
"","","2","2","2","2","0","","","","","","0","0","ISO8583_Out_0200_391000_","1","0","0","0","0","","","","60"<endrec>
"","","2","2","2","2","0","","","","","","0","0","ISO8583_Out_0200_401000_","1","0","0","0","0","","","","60"<endrec>
"","","1","1","1","2","0","","","","","","0","0","ISO8583_Out_0400_401000_","1","0","0","0","0","","","","60"<endrec>
"","","2","2","2","2","0","","","","","","300","3","LoanMiniStatement","1","30","0","1","2","","","","30"<endrec>
"","","2","2","2","2","1","","","","","","","","LoanRequest","0","","","","0","","","N","30"<endrec>
"","","2","2","2","2","0","","","","","","0","0","MAPGWLocRequest","1","0","0","","0","","","","30"<endrec>
"","","2","2","2","2","0","","","","","","0","0","MPWSRemittance","1","0","0","0","0","","","","30"<endrec>
"","","2","2","2","2","0","","","","","","0","0","MPWSRequestQuote","1","0","0","0","0","","","","30"<endrec>
"","","2","2","2","2","0","","","","","","0","0","MPWSStatus","1","0","0","0","0","","","","30"<endrec>
"","","2","2","2","2","0","","","","","","300","3","MpesaToBank","1","60","0","1","2","","","","60"<endrec>
"","","2","2","2","","0","","","","","","120","3","NetworkInitiatedUSSDPushRequestMsg","1","30","30","2","2","","","","5"<endrec>
"","","1","1","2","","0","","","","","","300","3","NotifyTransactionState","1","30","0","1","2","","","","30"<endrec>
"","","","","","1","0","","","","","","0","0","O_GET /parties_1v0","1","0","0","","0","","","","60"<endrec>
"","","","","","1","0","","","","","","0","0","O_GET /quotes_1v0","1","0","0","","0","","","","60"<endrec>
"","","","","","1","0","","","","","","0","0","O_GET /transfers_1v0","1","0","0","","0","","","","60"<endrec>
"","","","","","1","0","","","","","","0","0","O_POST /quotes_1v0","1","0","0","","0","","","","60"<endrec>
"","","","","","1","0","","","","","","0","0","O_POST /transfers_1v0","1","0","0","","0","","","","60"<endrec>
"","","","","","1","0","","","","","","0","0","O_PUT /transfers_1v0","1","0","0","","0","","","","60"<endrec>
"","","2","1","1","1","0","","","","","","0","0","OffnetTransactionReversal","1","0","0","","0","","","","30"<endrec>
"","","2","1","1","1","0","","","","","","10","30","OffnetTransactionToPartnerSP","1","50","","1","2","","","N","40"<endrec>
"","","2","2","2","1","0","","","","","","0","0","OnlineCashInFromPartnerBank","1","0","0","0","0","","","","15"<endrec>
"","","2","2","2","1","0","","","","","","0","0","OnlineControlAccountTransfer","1","0","0","","0","","","","0"<endrec>
"","","2","2","2","1","0","","","","","","0","0","OnlineTransferToPartnerBank","1","0","0","0","0","","","","15"<endrec>
"","","","","","","0","","","","","","","","Pay Business01","0","","","","0","","","","20"<endrec>
"","","","","","","0","","","","","","","","Pay to Business","0","","","","0","","","","20"<endrec>
"","","2","2","2","2","0","","","","","","300","3","PaybackLoan","1","30","0","1","2","","","","30"<endrec>
"","","2","2","2","2","0","","","","","","300","3","PaybackLoanSaving","1","30","0","1","2","","","","30"<endrec>
"","","1","2","2","2","0","","","","","","","0","PostODCheckBalance","1","0","","0","0","","","","60"<endrec>
"","","","","","1","0","","","","","","0","0","PostODComputeTaxAndShare","1","0","0","","","","","","60"<endrec>
"","","1","2","2","2","0","","","","","","","3","PostODConfirm","1","60","","1","2","","","","60"<endrec>
"","","1","2","2","2","0","","","","","","","3","PostODQuery","1","60","","1","2","","","","60"<endrec>
"","","","","","1","0","","","","","","0","0","PostODQueryStatement","1","0","0","","","","","","60"<endrec>
"","","1","2","2","2","0","","","","","","","3","PostODRecord","1","60","","1","2","","","","60"<endrec>
"","","","","","1","0","","","","","","0","0","PostODRepayment","1","0","0","","","","","","60"<endrec>
"","","1","2","2","2","0","","","","","","","3","PostODSubscription","1","60","","1","2","","","","60"<endrec>
"","","","","","2","0","","","","","","0","0","PostODUnsubscription","1","0","0","","","","","","15"<endrec>
"","","2","2","2","2","0","","","","","","","","QueryAMLWatchlist","1","","","","1","","","N","30"<endrec>
"","","2","2","2","2","0","","","","","","0","0","QueryBankKYCValidation","1","0","0","0","0","","","","3"<endrec>
"","","1","1","1","1","0","","","","","","0","0","QueryBill","1","0","0","","0","","","","60"<endrec>
"","","2","2","2","1","0","","","","","","0","0","QueryDompetkuBalance","1","0","0","","0","","","","15"<endrec>
"","","2","2","2","2","0","","","","","","0","0","QueryGroupKYCValidation","1","0","0","0","0","","","","3"<endrec>
"","","2","2","2","2","0","","","","","","0","0","QueryKYCValidation","1","0","0","0","0","","","","3"<endrec>
"","","2","2","2","2","0","","","","","","0","0","QueryLoanAccount","1","0","0","0","0","","","","30"<endrec>
"","","2","2","2","2","0","","","","","","0","0","QueryODInformationRequest","1","0","0","0","0","","","","30"<endrec>
"","","2","2","2","2","0","","","","","","0","0","QueryOrgKYCValidation","1","0","0","0","0","","","","3"<endrec>
"","","2","2","2","2","0","","","","","","0","0","QueryOrgOperatorKYCValidation","1","0","0","0","0","","","","3"<endrec>
"","","2","2","2","2","0","","","","","","0","0","QuerySPOperatorKYCValidation","1","0","0","0","0","","","","3"<endrec>
"","","2","2","2","1","0","","","","","","1000","3","QueryStatusviaDiameter","1","20","120","2","2","","","","10"<endrec>
"","","2","1","1","1","0","","","","","","0","0","QueryThirdBillInfo","1","0","0","","0","","","","15"<endrec>
"","","","","","","0","","","","","","","","QueryThirdPartyBillInfo","0","","","","0","","","","60"<endrec>
"","","2","2","2","2","0","","","","","","300","3","RechargeAmountSFC","1","60","0","1","2","","","","30"<endrec>
"","","2","2","2","2","0","","","","","","0","0","RefillRequest","1","0","0","2","0","","","","60"<endrec>
"","","2","2","2","1","0","","","","","","0","0","RegisterDompetkuCustomer","1","0","0","","0","","","","0"<endrec>
"","","2","1","2","","0","","","","","","","","RequestCredit","1","","","","0","","","","60"<endrec>
"","","2","2","2","2","0","","","","","","0","0","RequestDisableOfflineWallet","1","0","0","0","0","","","","30"<endrec>
"","","2","2","2","1","0","","","","","","0","0","ResetDompetkuPIN","1","0","0","","0","","","","15"<endrec>
"","","2","2","2","2","0","","","","","","0","0","SPLookUpByHub","1","0","0","","0","","","","30"<endrec>
"","","2","2","2","1","0","","","","","","0","0","SendBankRollBack","1","0","0","0","0","","","","15"<endrec>
"","","2","2","2","2","0","","","","","","10","3","SendRecipientLookUp","0","","","","1","","","","30"<endrec>
"","","2","2","2","2","0","","","","","","","","ServicePurcahseGOARequest","0","","","","0","","","","5"<endrec>
"","","2","2","2","1","0","","","","","","60","2","ServicePurchase","1","15","0","1","2","","","","1"<endrec>
"","","2","2","2","2","0","","","","","","0","0","T24Reversal","1","0","0","0","0","","","","0"<endrec>
"","","2","2","2","2","0","","","","","","0","0","T24ReversalSoap","1","0","0","0","0","","","","0"<endrec>
"","","2","2","2","2","1","","","","","","1","3","TZ_USSD_SendPinNiRequest","1","","","","1","","","","3"<endrec>
"","","2","1","2","2","0","","","","","","0","0","TargetSaving","1","0","0","","0","","","","60"<endrec>
"","","2","1","2","2","0","","","","","","0","0","TargetSavingDeposit","1","0","0","","0","","","","60"<endrec>
