CONVERTOR_ID,DATA_FORMAT,DATA_TYPE,GETTING_STRING,GETTING_TYPE,PARA_ID,SOURCE_PARA_CODE,VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"","","String","","SOURCE_GETTING","100082872","ResultDesc",""<endrec>
"","","String","","SOURCE_GETTING","100082873","ResultCode",""<endrec>
"","","String","","SOURCE_GETTING","100083771","Result.TaskID",""<endrec>
"","","String","","SOURCE_GETTING","100083773","Result.WorkflowID",""<endrec>
"","","String","","SOURCE_GETTING","100083897","RequestID",""<endrec>
"","","String","","SOURCE_GETTING","100083898","OrganizationShortCode",""<endrec>
"","","String","","SOURCE_GETTING","100083899","OrganizationName",""<endrec>
"","","String","","SOURCE_GETTING","100083900","OrganizationAccountNumber",""<endrec>
"","","String","","SOURCE_GETTING","100083901","OrganizationAccountName",""<endrec>
"","","String","","SOURCE_GETTING","100083902","OrganizationBankBranch",""<endrec>
"","","String","","SOURCE_GETTING","100083903","OrganizationBankAccountNumber",""<endrec>
"","","String","","CONVERTOR_GETTING","100083904","OrganizationBankAccountName",""<endrec>
"","","String","","VALUE_GETTING","100083905","",""<endrec>
"","","String","","VALUE_GETTING","100083906","",""<endrec>
"","","String","","VALUE_GETTING","100083907","",""<endrec>
"","","String","","VALUE_GETTING","100083908","",""<endrec>
"","","String","","VALUE_GETTING","100083909","",""<endrec>
"","","String","","VALUE_GETTING","100083910","",""<endrec>
"","","String","","VALUE_GETTING","100083911","","AutoSweepOnlineRequest"<endrec>
"","","String","","VALUE_GETTING","100083912","","true"<endrec>
"","","String","","SOURCE_GETTING","100084402","Result.ResultParameters.BOCompletedTime",""<endrec>
