EQUAL_TARGET,EQUAL_VALUE,EXPR_VALUE,INVALID_ERROR_CODE,MAX_LENGTH,MAX_VALUE,MIN_LENGTH,MIN_VALUE,PARA_ID,TIME_FORMAT,VALIDATOR_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     <endrec>
"STK.parameter3","","","","","","","","100007","","EqualTarget"<endrec>
"","","","","","","","","100082722","",""<endrec>
"","","[\d]*","","18","","0","","100082723","","Reg"<endrec>
"","","[\d]*","","18","","0","","100082729","","Reg"<endrec>
"","","[\d]*","","18","","0","","100082731","","Reg"<endrec>
"","","[\d]*","","18","","0","","100082734","","Reg"<endrec>
"","","[\d]*","","18","","0","","100082859","","Reg"<endrec>
"","","[\d]*","","18","","0","","100082860","","Reg"<endrec>
"","","[\d]*","","18","","0","","100082861","","Reg"<endrec>
"","","[\d]*","","18","","0","","100082864","","Reg"<endrec>
"","","[\d]*","","18","","0","","100082865","","Reg"<endrec>
"","","[\d]*","","18","","0","","100082866","","Reg"<endrec>
"","","[\d]*","","18","","0","","100082867","","Reg"<endrec>
"","","","","","","","","100083071","",""<endrec>
"","","","","","","","","100083072","",""<endrec>
"","","","","","","","","100083073","",""<endrec>
"","","","","","","","","100083074","",""<endrec>
"","","","","","","","","100083171","",""<endrec>
"","","","","","","","","100083172","",""<endrec>
"","","","","","","","","100083173","",""<endrec>
"","","","","","","","","100083174","",""<endrec>
"","","","","","","","","100083175","",""<endrec>
"","","","","","","","","100083176","",""<endrec>
"","","","","","","","","100083177","",""<endrec>
"","","","","","","","","100083178","",""<endrec>
"","","","","","","","","100083179","",""<endrec>
"","","","","","","","","100083180","",""<endrec>
"","","","","","","","","100083255","",""<endrec>
"","","","","","","","","100083256","",""<endrec>
"","","","","","","","","100083283","",""<endrec>
"","","","","","","","","100083284","",""<endrec>
"","","","","","","","","100083285","",""<endrec>
"","","","","","","","","100083286","",""<endrec>
"","","","","","","","","100083287","",""<endrec>
"","","","","","","","","100083288","",""<endrec>
"","","","","","","","","100083289","",""<endrec>
"","","","","","","","","100083290","",""<endrec>
"","","","","","","","","100083291","",""<endrec>
"","","","","","","","","100083292","",""<endrec>
"","","","","","","","","100083293","",""<endrec>
"","","","","","","","","100083294","",""<endrec>
"","","","","","","","","100083295","",""<endrec>
"","","","","","","","","100083298","",""<endrec>
"","","","","","","","","100083371","",""<endrec>
"","","","","","","","","100083372","",""<endrec>
"","","","","","","","","100083373","",""<endrec>
"","","","","","","","","100083374","",""<endrec>
"","","","","","","","","100083375","",""<endrec>
"","","","","","","","","100083376","",""<endrec>
"","","","","","","","","100083377","",""<endrec>
"","","","","","","","","100083378","",""<endrec>
"","","","","","","","","100083379","",""<endrec>
"","","","","","","","","100083380","",""<endrec>
"","","","","","","","","100083381","",""<endrec>
"","","","","","","","","100083382","",""<endrec>
"","","","","","","","","100083383","",""<endrec>
"","","","","","","","","100083384","",""<endrec>
"","","","","","","","","100083385","",""<endrec>
"","","","","","","","","100083386","",""<endrec>
"","","","","","","","","100083387","",""<endrec>
"","","","","","","","","100083388","",""<endrec>
"","","","","","","","","100083389","",""<endrec>
"","","","","","","","","100083471","",""<endrec>
"","","","","","","","","100083472","",""<endrec>
"","","","","","","","","100083477","",""<endrec>
"","","","","","","","","100083478","",""<endrec>
"","","","","","","","","100083481","",""<endrec>
"","","","","","","","","100083482","",""<endrec>
"","","","","","","","","100083483","",""<endrec>
"","","","","","","","","100083484","",""<endrec>
"","","","","","","","","100083485","",""<endrec>
"","","","","","","","","100083486","",""<endrec>
"","","","","","","","","100083487","",""<endrec>
"","","","","","","","","100083488","",""<endrec>
"","","","","","","","","100083489","",""<endrec>
"","","","","","","","","100083490","",""<endrec>
"","","","","","","","","100083491","",""<endrec>
"","","","","","","","","100083492","",""<endrec>
"","","","","","","","","100083493","",""<endrec>
"","","","","","","","","100083494","",""<endrec>
"","","","","","","","","100083495","",""<endrec>
"","","","","","","","","100083496","",""<endrec>
"","","","","","","","","100083497","",""<endrec>
"","","","","","","","","100083498","",""<endrec>
"","","","","","","","","100083499","",""<endrec>
"","","","","","","","","100083500","",""<endrec>
"","","^[0-9A-Za-z]+(;[0-9A-Za-z]+)*;?$","","","","","","100083501","","Reg"<endrec>
"","","","","","","","","100083502","",""<endrec>
"","","","","","","","","100083512","",""<endrec>
"","","","","","","","","100083513","",""<endrec>
"","","","","","","","","100083514","",""<endrec>
"","","","","","","","","100083515","",""<endrec>
"","","","","","","","","100083571","",""<endrec>
"","","","","","","","","100083572","",""<endrec>
"","","","","","","","","100083573","",""<endrec>
"","","","","","","","","100083574","",""<endrec>
"","","","","","","","","100083575","",""<endrec>
"","","","","","","","","100083577","",""<endrec>
"","","","","","","","","100083578","",""<endrec>
"","","","","","","","","100083583","",""<endrec>
"","","","","","","","","100083584","",""<endrec>
"","","","","","","","","100083585","",""<endrec>
"","","","","","","","","100083586","",""<endrec>
"","","","","","","","","100083587","",""<endrec>
"","","","","","","","","100083588","",""<endrec>
"","","","","","","","","100083589","",""<endrec>
"","","","","","","","","100083590","",""<endrec>
"","","","","","","","","100083591","",""<endrec>
"","","","","","","","","100083592","",""<endrec>
"","","","","","","","","100083593","",""<endrec>
"","","","","","","","","100083594","",""<endrec>
"","","","","","","","","100083595","",""<endrec>
"","","","","","","","","100083596","",""<endrec>
"","","","","","","","","100083597","",""<endrec>
"","","","","","","","","100083598","",""<endrec>
"","","","","","","","","100083599","",""<endrec>
"","","","","","","","","100083600","",""<endrec>
"","","","","","","","","100083601","",""<endrec>
"","","","","","","","","100083602","",""<endrec>
"","","","","","","","","100083603","",""<endrec>
"","","","","","","","","100083604","",""<endrec>
"","","","","","","","","100083605","",""<endrec>
"","","","","","","","","100083606","",""<endrec>
"","","","","","","","","100083607","",""<endrec>
"","","","","","","","","100083608","",""<endrec>
"","","","","","","","","100083609","",""<endrec>
"","","","","","","","","100083610","",""<endrec>
"","","","","","","","","100083611","",""<endrec>
"","","","","","","","","100083612","",""<endrec>
"","","","","","","","","100083613","",""<endrec>
"","","","","","","","","100083614","",""<endrec>
"","","","","","","","","100083615","",""<endrec>
"","","","","","","","","100083616","",""<endrec>
"","","","","","","","","100083617","",""<endrec>
"","","","","","","","","100083618","",""<endrec>
"","","","","","","","","100083619","",""<endrec>
"","","","","","","","","100083620","",""<endrec>
"","","","","","","","","100083621","",""<endrec>
"","","","","","","","","100083622","",""<endrec>
"","","","","","","","","100083623","",""<endrec>
"","","","","","","","","100083624","",""<endrec>
"","","","","","","","","100083625","",""<endrec>
"","","","","","","","","100083626","",""<endrec>
"","","","","","","","","100083627","",""<endrec>
"","","","","","","","","100083628","",""<endrec>
