LOAD_DATA_TS,PRODUCT_UNIQUE_ID,PROPERTY_CODE,PROPERTY_VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"","30003059","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30003090","CUST_IDENTITY_SUB_TYPE","1000"<endrec>
"","30003100","ORG_IDENTITY_MODEL","0"<endrec>
"","30003100","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30003109","ORG_IDENTITY_MODEL","1"<endrec>
"","30003109","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30003139","ORG_IDENTITY_MODEL","1"<endrec>
"","30003139","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30003147","ORG_IDENTITY_MODEL","0"<endrec>
"","30003147","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30003150","ORG_IDENTITY_MODEL","3"<endrec>
"","30003150","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30003167","ORG_IDENTITY_MODEL","3"<endrec>
"","30003167","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30003172","ORG_IDENTITY_MODEL","1"<endrec>
"","30003172","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30003178","ORG_IDENTITY_MODEL","1"<endrec>
"","30003178","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30003188","ORG_IDENTITY_MODEL","3"<endrec>
"","30003188","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30007006","ORG_IDENTITY_MODEL","0"<endrec>
"","30007006","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30013144","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30013145","CUST_IDENTITY_SUB_TYPE","1000"<endrec>
"","30013151","ORG_IDENTITY_MODEL","0"<endrec>
"","30013151","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30013152","ORG_IDENTITY_MODEL","1"<endrec>
"","30013152","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30013153","ORG_IDENTITY_MODEL","1"<endrec>
"","30013153","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30013154","ORG_IDENTITY_MODEL","0"<endrec>
"","30013154","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30013155","ORG_IDENTITY_MODEL","3"<endrec>
"","30013155","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30013157","ORG_IDENTITY_MODEL","3"<endrec>
"","30013157","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30013158","ORG_IDENTITY_MODEL","1"<endrec>
"","30013158","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30013159","ORG_IDENTITY_MODEL","1"<endrec>
"","30013159","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30013160","ORG_IDENTITY_MODEL","3"<endrec>
"","30013160","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30015308","ORG_IDENTITY_MODEL","1"<endrec>
"","30015308","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30015313","BILL_REF_NUM_RULE",""<endrec>
"","30015313","ORG_IDENTITY_MODEL","3"<endrec>
"","30015313","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30015674","ORG_IDENTITY_MODEL","0"<endrec>
"","30015674","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30046246","BILL_REF_NUM_RULE",""<endrec>
"","30046246","ORG_IDENTITY_MODEL","3"<endrec>
"","30046246","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30046247","BILL_REF_NUM_RULE",""<endrec>
"","30046247","ORG_IDENTITY_MODEL","3"<endrec>
"","30046247","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30047240","BILL_REF_NUM_RULE",""<endrec>
"","30047240","ORG_IDENTITY_MODEL","3"<endrec>
"","30047240","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30047252","ORG_IDENTITY_MODEL","3"<endrec>
"","30047252","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30047253","ORG_IDENTITY_MODEL","3"<endrec>
"","30047253","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30048263","ORG_IDENTITY_MODEL","1"<endrec>
"","30048263","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30048264","ORG_IDENTITY_MODEL","0"<endrec>
