APPLY_CHG_RULE_OPTION,CHARGE_CATEGORY_TYPE,CHARGE_TYPE_INDEX,LOAD_DATA_TS,PAYEE_ACCOUNT_TYPE,PAYER_ACCOUNT_TYPE,REASON_CHARGE_INDEX,REASON_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"","1","10000038","","10014","10011","20093","20310"<endrec>
"","1","10000042","","10014","10013","20189","30005069"<endrec>
"","1","10000043","","10014","10011","20190","30006000"<endrec>
"","1","10000015","","10014","10011","20671","30015552"<endrec>
"","1","10000016","","10014","10013","20672","30003046"<endrec>
"","1","10000005","","10014","10015","20682","30055278"<endrec>
"","1","10000017","","10014","10011","20781","30084564"<endrec>
"","2","10000056","","10019","10020","20793","30086591"<endrec>
"","5","10000026","","10019","10011","20798","30086597"<endrec>
"","1","10000036","","10014","10011","20946","30106832"<endrec>
"","1","10000096","","10014","10011","20952","30109845"<endrec>
"","2","10000039","","10019","10018","20994","30114894"<endrec>
"","2","10000056","","10019","10020","21013","30047242"<endrec>
"","5","10000025","","10019","10011","21019","30075468"<endrec>
"","5","10000026","","10019","10011","21020","30013228"<endrec>
"","5","10000026","","10019","10011","21021","30013230"<endrec>
"","1","10000029","","10014","10011","21024","30015688"<endrec>
"","1","10000029","","10014","10011","21089","30118045"<endrec>
"","5","10000025","","10019","10011","21090","30118046"<endrec>
"","1","10000004","","10014","10011","21091","30118047"<endrec>
"","5","10000026","","10019","10011","21094","30118051"<endrec>
"","1","10000033","","10014","10011","21115","30118064"<endrec>
"","2","10000056","","10019","10014","21116","30118064"<endrec>
"","2","10000039","","10019","10018","21123","30118991"<endrec>
"","1","10000050","","10014","10015","21126","30055279"<endrec>
"","1","10000005","","10014","10015","21127","30071481"<endrec>
"","1","10000050","","10014","10015","21128","30015301"<endrec>
"","5","10000051","","10011","10015","21129","30015301"<endrec>
"","1","10000005","","10014","10015","21130","30015684"<endrec>
"","5","10000018","","10011","10015","21131","30015684"<endrec>
"","1","10000050","","10014","10015","21132","30013194"<endrec>
"","1","10000005","","10014","10015","21133","30013200"<endrec>
"","1","10000005","","10014","10015","21136","30015662"<endrec>
"","4","10000057","","10020","10014","21137","30015662"<endrec>
"","1","10000050","","10014","10015","21138","30071472"<endrec>
"","1","10000005","","10014","10015","21139","30071479"<endrec>
"","1","10000050","","10014","10015","21140","30089638"<endrec>
"","4","10000054","","10020","10014","21141","30089638"<endrec>
"","1","10000005","","10014","10015","21142","30071482"<endrec>
"","4","10000057","","10020","10014","21143","30071482"<endrec>
"","1","10000050","","10014","10015","21144","30013213"<endrec>
"","5","10000051","","10011","10015","21145","30013213"<endrec>
"","1","10000005","","10014","10015","21146","30061350"<endrec>
"","5","10000018","","10011","10015","21147","30061350"<endrec>
"","1","10000050","","10014","10015","21148","30013171"<endrec>
"","1","10000005","","10014","10015","21149","30013129"<endrec>
"","1","10000005","","10014","10015","21152","30015703"<endrec>
"","4","10000057","","10020","10014","21153","30015703"<endrec>
"","1","10000005","","10014","10015","21154","30071532"<endrec>
"","1","10000005","","10014","10015","21155","30015253"<endrec>
"","5","10000018","","10011","10015","21156","30015253"<endrec>
"","1","10000005","","10014","10015","21157","30071470"<endrec>
"","1","10000005","","10014","10015","21158","30015661"<endrec>
"","4","10000057","","10020","10014","21159","30015661"<endrec>
"","1","10000005","","10014","10015","21163","30071469"<endrec>
"","5","10000018","","10011","10015","21164","30071469"<endrec>
"","1","10000050","","10014","10016","21165","30105838"<endrec>
"","1","10000023","","10014","10011","21172","30015691"<endrec>
"","1","10000024","","10014","10016","21173","30015691"<endrec>
"","5","10000025","","10019","10011","21178","30118052"<endrec>
"","5","10000025","","10019","10011","21179","30040240"<endrec>
"","1","10000005","","10014","10015","21196","30118999"<endrec>
"","1","10000005","","10014","10015","21197","30119000"<endrec>
"","4","10000057","","10020","10014","21198","30119000"<endrec>
"","1","10000050","","10014","10015","21210","30121047"<endrec>
"","4","10000054","","10020","10014","21211","30121047"<endrec>
"","1","10000050","","10014","10015","21212","30027239"<endrec>
"","4","10000054","","10020","10014","21213","30027239"<endrec>
"","1","10000003","","10014","10013","21258","30116925"<endrec>
"","1","10000066","","10014","10137","21272","30136080"<endrec>
"","1","10000031","","10014","10011","21283","30136095"<endrec>
"","2","10000032","","10019","10014","21284","30136095"<endrec>
"","1","10000064","","10014","10011","21288","30136119"<endrec>
"","1","10000065","","10014","10011","21289","30136121"<endrec>
"","1","10000068","","10014","10011","21295","30136132"<endrec>
"","1","10000083","","10014","10011","21296","30136134"<endrec>
"","1","10000106","","10014","10137","21311","30138078"<endrec>
"","1","10000084","","10014","10135","21326","30143123"<endrec>
"","1","10000086","","10014","10011","21362","30149135"<endrec>
"","1","10000088","","10014","10016","21364","30153119"<endrec>
"","1","10000047","","10014","10011","21365","30153122"<endrec>
"","4","10000055","","10020","10014","21366","30153122"<endrec>
"","1","10000047","","10014","10011","21367","30153123"<endrec>
"","4","10000055","","10020","10014","21368","30153123"<endrec>
"","1","10000072","","10014","10011","21369","30153160"<endrec>
"","1","10000089","","10014","10011","21371","30153162"<endrec>
"","1","10000094","","10014","10016","21373","30153164"<endrec>
"","1","10000099","","10014","10016","21405","30157260"<endrec>
"","1","10000091","","10014","10011","21406","30157260"<endrec>
"","1","10000024","","10014","10016","21419","30158209"<endrec>
"","1","10000023","","10014","10011","21420","30158209"<endrec>
"","2","10000020","","10019","10018","21423","30159212"<endrec>
"","3","10000037","","10019","10018","21424","30159212"<endrec>
"","1","10000103","","10014","10022","21425","30159262"<endrec>
"","1","10000104","","10014","10016","21426","30159262"<endrec>
"","1","10000103","","10014","10022","21427","30159263"<endrec>
"","1","10000104","","10014","10016","21428","30159263"<endrec>
"","1","10000101","","10014","10011","21429","30159264"<endrec>
"","1","10000102","","10014","10016","21430","30159264"<endrec>
"","1","10000101","","10014","10011","21431","30159265"<endrec>
"","1","10000102","","10014","10016","21432","30159265"<endrec>
"","1","10000092","","10014","10015","21437","30159268"<endrec>
"","1","10000100","","10014","10016","21438","30159268"<endrec>
"","1","10000092","","10014","10015","21439","30159269"<endrec>
"","1","10000100","","10014","10016","21440","30159269"<endrec>
"","1","10000092","","10014","10015","21441","30159270"<endrec>
"","1","10000100","","10014","10016","21442","30159270"<endrec>
"","1","10000092","","10014","10015","21443","30159271"<endrec>
"","1","10000100","","10014","10016","21444","30159271"<endrec>
"","1","10000024","","10014","10016","21445","30159289"<endrec>
"","1","10000023","","10014","10011","21446","30159289"<endrec>
"","1","10000027","","10014","10027","21464","30175422"<endrec>
"","1","10000027","","10014","10027","21465","30175423"<endrec>
"","1","10000080","","10014","10135","21466","30175425"<endrec>
"","1","10000076","","10014","10011","21467","30175425"<endrec>
"","1","10000069","","10014","10016","21468","30175426"<endrec>
"","1","10000087","","10014","10016","21469","30175427"<endrec>
"","1","10000090","","10014","10011","21472","30175429"<endrec>
"","1","10000098","","10014","10016","21473","30175429"<endrec>
"","1","10001421","","10014","10011","21474","30175430"<endrec>
"","1","10000022","","10014","10016","21475","30175430"<endrec>
"","1","10000077","","10014","10011","21476","30175431"<endrec>
"","1","10000082","","10014","10135","21477","30175431"<endrec>
"","1","10000022","","10014","10016","21478","30175432"<endrec>
"","1","10000021","","10014","10011","21479","30175432"<endrec>
"","1","10000022","","10014","10016","21480","30175433"<endrec>
"","1","10000021","","10014","10011","21481","30175433"<endrec>
"","1","10000098","","10014","10016","21482","30175435"<endrec>
"","1","10000090","","10014","10011","21483","30175435"<endrec>
"","2","10000020","","10019","10018","21485","937125880"<endrec>
"","1","10000091","","10014","10011","21486","937124879"<endrec>
"","1","10000099","","10014","10016","21487","937124879"<endrec>
"","1","10000081","","10014","10135","21489","937137893"<endrec>
"","1","10000078","","10014","10011","21490","937137893"<endrec>
"","1","10000067","","10014","10011","21492","937137894"<endrec>
"","1","10000033","","10014","10011","21493","937139896"<endrec>
"","2","10000056","","10019","10014","21494","937139896"<endrec>
"","1","10000024","","10014","10016","21587","30121466"<endrec>
"","1","10000023","","10014","10011","21588","30121466"<endrec>
"","1","10000047","","10014","10011","21597","30123466"<endrec>
"","4","10000055","","10020","10014","21598","30123466"<endrec>
"","2","10000020","","10019","10018","21607","937142895"<endrec>
"","3","10000037","","10019","10018","21608","937142895"<endrec>
"","1","10000033","","10014","10011","21617","937144921"<endrec>
"","2","10000056","","10019","10018","21618","937144921"<endrec>
"","1","10000033","","10014","10011","21619","937144922"<endrec>
"","2","10000056","","10019","10018","21620","937144922"<endrec>
"","1","10000031","","10014","10011","21621","937144923"<endrec>
"","2","10000032","","10019","10018","21622","937144923"<endrec>
"","1","10000047","","10014","10011","21623","937144924"<endrec>
"","4","10000055","","10020","10018","21624","937144924"<endrec>
"","1","10000047","","10014","10011","21625","937144925"<endrec>
"","4","10000055","","10020","10018","21626","937144925"<endrec>
"","2","10000020","","10019","10018","21628","937146045"<endrec>
"","1","10000005","","10014","10015","21629","937146058"<endrec>
"","4","10000057","","10020","10014","21630","937146058"<endrec>
"","1","10000090","","10014","10011","21633","937146065"<endrec>
"","1","10000098","","10014","10016","21634","937146065"<endrec>
"","1","10000022","","10014","10016","21635","937146066"<endrec>
"","1","10000021","","10014","10011","21636","937146066"<endrec>
"","1","10000098","","10014","10016","21637","937146067"<endrec>
"","1","10000090","","10014","10011","21638","937146067"<endrec>
"","1","10000022","","10014","10016","21639","937146064"<endrec>
"","1","10001421","","10014","10011","21640","937146064"<endrec>
"","1","10000022","","10014","10016","21641","937146070"<endrec>
"","1","10000021","","10014","10011","21642","937146070"<endrec>
"","1","10000050","","10014","10016","21643","937146071"<endrec>
"","1","10000099","","10014","10016","21644","937146076"<endrec>
"","1","10000091","","10014","10011","21645","937146076"<endrec>
"","1","10000024","","10014","10016","21646","937146077"<endrec>
"","1","10000023","","10014","10011","21647","937146077"<endrec>
"","1","10000024","","10014","10016","21648","937146079"<endrec>
"","1","10000023","","10014","10011","21649","937146079"<endrec>
"","1","10000024","","10014","10016","21650","937146080"<endrec>
"","1","10000023","","10014","10011","21651","937146080"<endrec>
"","1","10000091","","10014","10011","21652","937146081"<endrec>
"","1","10000099","","10014","10016","21653","937146081"<endrec>
"","1","10000050","","10014","10015","21654","937146082"<endrec>
"","4","10000054","","10020","10014","21655","937146082"<endrec>
"","1","10000050","","10014","10015","21656","937146083"<endrec>
"","4","10000054","","10020","10014","21657","937146083"<endrec>
"","1","10000050","","10014","10015","21658","937146084"<endrec>
"","4","10000054","","10020","10014","21659","937146084"<endrec>
"","1","10000005","","10014","10015","21660","937146085"<endrec>
"","4","10000057","","10020","10014","21661","937146085"<endrec>
"","1","10000005","","10014","10015","21662","937146086"<endrec>
"","4","10000057","","10020","10014","21663","937146086"<endrec>
"","1","10000005","","10014","10015","21664","937146087"<endrec>
"","4","10000057","","10020","10014","21665","937146087"<endrec>
"","1","10000005","","10014","10015","21666","937146088"<endrec>
"","1","10000005","","10014","10015","21667","937146089"<endrec>
"","5","10000018","","10011","10015","21668","937146089"<endrec>
"","1","10000005","","10014","10015","21669","937146090"<endrec>
"","1","10000005","","10014","10015","21670","937146091"<endrec>
"","1","10000005","","10014","10015","21671","937146092"<endrec>
"","1","10000005","","10014","10015","21672","937146093"<endrec>
"","5","10000018","","10011","10015","21673","937146093"<endrec>
"","1","10000005","","10014","10015","21674","937146095"<endrec>
"","4","10000057","","10020","10014","21675","937146095"<endrec>
"","1","10000050","","10014","10015","21678","937147106"<endrec>
"","4","10000054","","10020","10014","21679","937147106"<endrec>
"","1","10000050","","10014","10015","21688","937148098"<endrec>
"","4","10000054","","10020","10014","21689","937148098"<endrec>
"","1","10000050","","10014","10015","21690","937148099"<endrec>
"","4","10000054","","10020","10014","21691","937148099"<endrec>
"","1","10000005","","10014","10015","21692","937148100"<endrec>
"","4","10000057","","10020","10014","21693","937148100"<endrec>
"","1","10000050","","10014","10015","21694","937148101"<endrec>
"","4","10000054","","10020","10014","21695","937148101"<endrec>
"","1","10000024","","10014","10016","21698","937150097"<endrec>
"","1","10000023","","10014","10011","21699","937150097"<endrec>
"","1","10000050","","10014","10015","21700","937150098"<endrec>
"","4","10000054","","10020","10014","21701","937150098"<endrec>
"","1","10000022","","10014","10016","21702","937150099"<endrec>
"","1","10001421","","10014","10011","21703","937150099"<endrec>
"","1","10000022","","10014","10016","21704","937150101"<endrec>
"","1","10000021","","10014","10011","21705","937150101"<endrec>
"","1","10000005","","10014","10015","21706","937150102"<endrec>
"","4","10000057","","10020","10014","21707","937150102"<endrec>
"","1","10000022","","10014","10016","21708","937150116"<endrec>
"","1","10000021","","10014","10011","21709","937150116"<endrec>
"","1","10000027","","10014","10027","21711","937150117"<endrec>
"","1","10000027","","10014","10027","21712","937150119"<endrec>
"","1","10000022","","10014","10016","21713","937150130"<endrec>
"","1","10000021","","10014","10011","21714","937150130"<endrec>
"","1","10000022","","10014","10016","21715","937150143"<endrec>
"","1","10000021","","10014","10011","21716","937150143"<endrec>
"","1","10000022","","10014","10016","21717","937150148"<endrec>
"","1","10001421","","10014","10011","21718","937150148"<endrec>
"","1","10000022","","10014","10016","21719","937150152"<endrec>
"","1","10001421","","10014","10011","21720","937150152"<endrec>
"","1","10000022","","10014","10016","21728","937153128"<endrec>
"","1","10000021","","10014","10011","21729","937153128"<endrec>
"","1","10000022","","10014","10016","21730","937153129"<endrec>
"","1","10000021","","10014","10011","21731","937153129"<endrec>
"","1","10000004","","10014","10011","21738","937155145"<endrec>
"","1","10000050","","10014","10016","21739","937155149"<endrec>
"","4","10000054","","10020","10018","21740","937155149"<endrec>
"","1","10001162","","10014","10016","21748","937156159"<endrec>
"","2","10001161","","10019","10018","21749","937156159"<endrec>
"","1","10000080","","10014","10135","21758","937158184"<endrec>
"","1","10000076","","10014","10011","21759","937158184"<endrec>
"","1","10000069","","10014","10016","21760","937158185"<endrec>
"","1","10000084","","10014","10135","21761","937158187"<endrec>
"","1","10000081","","10014","10135","21762","937158201"<endrec>
"","1","10000078","","10014","10011","21763","937158201"<endrec>
"","1","10000067","","10014","10011","21764","937158202"<endrec>
"","1","10000086","","10014","10011","21765","937158203"<endrec>
"","1","10000077","","10014","10011","21766","937158204"<endrec>
"","1","10000082","","10014","10135","21767","937158204"<endrec>
"","1","10000087","","10014","10016","21768","937158205"<endrec>
"1","1","10000047","","10014","10011","21778","937161198"<endrec>
"1","4","10000055","","10020","10018","21779","937161198"<endrec>
"0","5","10001171","","10011","10011","21780","937161209"<endrec>
"0","5","10001171","","10011","10011","21781","937161210"<endrec>
"1","1","10000080","","10014","10135","21782","937161211"<endrec>
"1","1","10000076","","10014","10011","21783","937161211"<endrec>
"1","1","10000069","","10014","10016","21784","937161212"<endrec>
"1","1","10000080","","10014","10135","21788","937161216"<endrec>
"1","1","10000076","","10014","10011","21789","937161216"<endrec>
"1","1","10000069","","10014","10016","21790","937161217"<endrec>
"1","1","10000031","","10014","10011","21798","937162184"<endrec>
"1","2","10000032","","10019","10018","21799","937162184"<endrec>
"","1","10000064","","10014","10011","21800","937162185"<endrec>
"1","2","10000020","","10019","10018","21801","937162198"<endrec>
"1","2","10000020","","10019","10018","21802","937162199"<endrec>
"1","2","10000020","","10019","10018","21803","937162201"<endrec>
"","1","10000083","","10014","10011","21804","937162202"<endrec>
"","1","10000068","","10014","10011","21805","937162203"<endrec>
"","1","10000065","","10014","10011","21806","937162205"<endrec>
"1","5","10000026","","10019","10011","21808","937163205"<endrec>
"1","1","10000047","","10014","10011","21809","937163253"<endrec>
"1","4","10000055","","10020","10018","21810","937163253"<endrec>
"1","1","10000005","","10014","10015","21828","937166333"<endrec>
"1","5","10000026","","10019","10011","21829","937166361"<endrec>
"1","5","10000025","","10019","10011","21830","937166362"<endrec>
"1","2","10000020","","10019","10018","21831","937166430"<endrec>
"1","2","10000020","","10019","10018","21832","937166431"<endrec>
"1","2","10000020","","10019","10018","21833","937166432"<endrec>
"1","1","10000033","","10014","10011","21834","937166434"<endrec>
"1","2","10000056","","10019","10018","21835","937166434"<endrec>
"1","1","10000023","","10014","10011","21836","937166435"<endrec>
"1","1","10000024","","10014","10016","21837","937166435"<endrec>
"1","5","10000025","","10019","10011","21838","937166437"<endrec>
"1","5","10000025","","10019","10011","21839","937166438"<endrec>
"1","5","10000025","","10019","10011","21840","937166439"<endrec>
"0","5","10001171","","10011","10011","21843","937166466"<endrec>
"1","2","10000056","","10019","10020","21844","937164224"<endrec>
"1","1","10000033","","10014","10011","21845","937166481"<endrec>
"1","2","10000056","","10019","10018","21846","937166481"<endrec>
"","1","10000096","","10014","10011","21848","937167316"<endrec>
"1","1","10000027","","10014","10027","21849","937167322"<endrec>
"1","1","10000029","","10014","10011","21850","937167338"<endrec>
"0","1","10000029","","10014","10011","21852","937167366"<endrec>
"1","1","10000029","","10014","10011","21853","937167367"<endrec>
"1","1","10000029","","10014","10011","21855","937167378"<endrec>
"1","1","10000047","","10014","10011","21856","937167379"<endrec>
"1","4","10000055","","10020","10018","21857","937167379"<endrec>
"1","1","10000080","","10014","10135","21858","937167429"<endrec>
"1","1","10000076","","10014","10011","21859","937167429"<endrec>
"1","2","10000020","","10019","10018","21868","937168310"<endrec>
"0","3","10000037","","10019","10018","21869","937168310"<endrec>
"0","5","10001171","","10011","10011","21870","937168315"<endrec>
"0","1","10000029","","10014","10011","21871","937168320"<endrec>
"0","5","10001171","","10011","10011","21872","937168323"<endrec>
"0","5","10001171","","10011","10011","21873","937168326"<endrec>
"","2","10000039","","10019","10018","21874","937168331"<endrec>
"1","1","10001162","","10014","10016","21878","937171314"<endrec>
"1","2","10001161","","10019","10018","21879","937171314"<endrec>
"0","1","10000029","","10014","10011","21881","937171317"<endrec>
"1","1","10000029","","10014","10011","21882","937171319"<endrec>
"1","1","10000027","","10014","10027","21883","937171322"<endrec>
"1","1","10000027","","10014","10027","21884","937171323"<endrec>
"1","1","10000027","","10014","10027","21888","937173326"<endrec>
"1","1","10000098","","10014","10016","21889","937173335"<endrec>
"1","1","10000090","","10014","10011","21890","937173335"<endrec>
"1","2","10000056","","10019","10020","21898","937164223"<endrec>
"1","1","10000022","","10014","10016","21899","937174346"<endrec>
"1","1","10001421","","10014","10011","21900","937174346"<endrec>
"0","1","10000029","","10014","10011","21901","937174350"<endrec>
"1","1","10000029","","10014","10011","21908","937175381"<endrec>
"1","1","10000005","","10014","10015","21909","937175386"<endrec>
"1","1","10000047","","10014","10011","21910","937175388"<endrec>
"1","4","10000055","","10020","10018","21911","937175388"<endrec>
"1","1","10000029","","10014","10011","21918","937176394"<endrec>
"1","1","10000029","","10014","10011","21919","937176395"<endrec>
