KYC_FIELD_ID,KYC_GROUP_ID,KYC_GROUP_TYPE_VALUE,LOAD_DATA_TS,PARTICIPANT_TYPE,REASON_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"1001","1001","","2017-03-25 09:38:44.561000","2","937298842"<endrec>
"1001","1001","","2017-10-13 11:31:40.691000","2","937417180"<endrec>
"1001","1001","","2018-02-08 12:27:25.888000","2","937423255"<endrec>
"1001","1001","","2019-01-29 07:52:42.044000","2","937570744"<endrec>
"1001","1001","","2019-07-12 11:49:58.065000","2","937612886"<endrec>
"1001","1001","","2016-11-28 08:00:46.997000","3","937243669"<endrec>
"1001","1001","","2016-12-16 08:33:39.013000","3","937249785"<endrec>
"1001","1001","","2016-12-16 08:38:45.737000","3","937249786"<endrec>
"1001","1001","","2016-12-30 07:31:06.211000","3","937254688"<endrec>
"1001","1001","","2017-03-15 07:48:00.260000","3","937287832"<endrec>
"1001","1001","","2017-07-12 12:51:56.481000","3","937374458"<endrec>
"1001","1001","","2017-10-13 11:24:53.969000","3","937417179"<endrec>
"1001","1001","","2019-01-29 07:47:06.816000","3","937570743"<endrec>
"1001","1001","","2019-01-29 07:52:42.065000","3","937570744"<endrec>
"1001","1001","","2019-07-11 12:50:07.348000","3","937612866"<endrec>
"1001","1001","","2019-10-08 07:41:08.536000","3","937664975"<endrec>
"1001","1001","","2019-10-08 09:11:58.677000","3","937664980"<endrec>
"1004","1001","","2017-12-29 06:59:56.275000","2","937447227"<endrec>
"1004","1001","","2019-01-18 09:00:09.599000","2","937567771"<endrec>
"1014","1007","","2016-11-28 09:38:58.555000","3","937243672"<endrec>
"1014","1007","","2017-01-04 12:57:39.797000","3","937254797"<endrec>
"1015","1007","","2016-11-29 03:08:38.370000","3","937243679"<endrec>
"1015","1007","","2017-01-03 07:11:09.413000","3","937254750"<endrec>
"102","100","01","2016-11-28 17:48:55.123000","2","937235635"<endrec>
"102","100","01","2016-11-28 17:50:24.124000","2","937235643"<endrec>
"102","100","01","2019-10-07 10:23:58.880000","2","937664947"<endrec>
"1021","1010","","2016-12-05 08:16:23.013000","2","937244750"<endrec>
"1021","1010","","2016-12-05 08:43:08.282000","2","937244754"<endrec>
"1021","1010","","2016-12-05 09:48:43.322000","2","937244761"<endrec>
"1022","1010","","2016-12-05 08:16:23.083000","3","937244750"<endrec>
"1022","1010","","2016-12-05 08:43:08.303000","3","937244754"<endrec>
"1022","1010","","2016-12-05 09:48:43.379000","3","937244761"<endrec>
"1023","1011","","2016-11-30 17:49:20.555000","2","937244675"<endrec>
"111146","1001","","2016-11-28 09:17:30.204000","3","937243670"<endrec>
"111146","1001","","2016-12-16 08:46:50.243000","3","937249791"<endrec>
"111156","1001","","2016-11-28 09:28:18.872000","3","937243671"<endrec>
"111166","1001","","2016-11-28 10:12:57.032000","3","937243673"<endrec>
"111166","1001","","2016-12-30 06:22:27.014000","3","937254683"<endrec>
"111166","1001","","2017-03-15 07:27:17.173000","3","937287831"<endrec>
"303","300","","2018-04-23 11:05:38.248000","3","937481547"<endrec>
"304","300","","2018-11-30 13:08:58.691000","2","937549733"<endrec>
