AUTHORIZ_CURRENCY,CHANNEL,CHECKER,REASON_INDEX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          <endrec>
"GBP","1002","Process#1#Level1","10000054"<endrec>
"GBP","1002","Process#1#Level1","10000097"<endrec>
"GBP","1002","Process#2#Level2","10000097"<endrec>
"GBP","1003","Process#1#Level1","10000054"<endrec>
"GBP","1005","Process#1#Level1","10000007"<endrec>
"GBP","1005","Process#1#Level1","10000057"<endrec>
"GBP","1010","Process#1#Level1","10000110"<endrec>
"TZS","1002","Process#1#Level1","10000134"<endrec>
"TZS","1002","Process#1#Level1","10000184"<endrec>
"TZS","1002","Process#1#Level1","10000209"<endrec>
"TZS","1002","Process#1#Level1","10000210"<endrec>
"TZS","1002","Process#1#Level1","10000211"<endrec>
"TZS","1002","Process#1#Level1","10002368"<endrec>
"TZS","1002","Process#1#Level1","10002625"<endrec>
"TZS","1002","Process#1#Level1","10003390"<endrec>
"TZS","1003","Process#1#Level1","10000134"<endrec>
"TZS","1003","Process#1#Level1","10000145"<endrec>
"TZS","1003","Process#1#Level1","10000209"<endrec>
"TZS","1003","Process#1#Level1","10002368"<endrec>
"TZS","1003","Process#1#Level1","10002717"<endrec>
"TZS","1003","Process#1#Level1","10002784"<endrec>
"TZS","1003","Process#1#Level1","10002788"<endrec>
"TZS","1005","Process#1#Level1","10000007"<endrec>
"TZS","1005","Process#1#Level1","10000018"<endrec>
"TZS","1005","Process#1#Level1","10000020"<endrec>
"TZS","1005","Process#1#Level1","10000022"<endrec>
"TZS","1005","Process#1#Level1","10000025"<endrec>
"TZS","1005","Process#1#Level1","10000031"<endrec>
"TZS","1005","Process#1#Level1","10000034"<endrec>
"TZS","1005","Process#1#Level1","10000039"<endrec>
"TZS","1005","Process#1#Level1","10000042"<endrec>
"TZS","1005","Process#1#Level1","10000043"<endrec>
"TZS","1005","Process#1#Level1","10000051"<endrec>
"TZS","1005","Process#1#Level1","10000055"<endrec>
"TZS","1005","Process#1#Level1","10000058"<endrec>
"TZS","1005","Process#1#Level1","10000061"<endrec>
"TZS","1005","Process#1#Level1","10000062"<endrec>
"TZS","1005","Process#1#Level1","10000069"<endrec>
"TZS","1005","Process#1#Level1","10000070"<endrec>
"TZS","1005","Process#1#Level1","10000074"<endrec>
"TZS","1005","Process#1#Level1","10000079"<endrec>
"TZS","1005","Process#1#Level1","10000080"<endrec>
"TZS","1005","Process#1#Level1","10000083"<endrec>
"TZS","1005","Process#1#Level1","10000087"<endrec>
"TZS","1005","Process#1#Level1","10000089"<endrec>
"TZS","1005","Process#1#Level1","10000090"<endrec>
"TZS","1005","Process#1#Level1","10000091"<endrec>
"TZS","1005","Process#1#Level1","10000092"<endrec>
"TZS","1005","Process#1#Level1","10000094"<endrec>
"TZS","1005","Process#1#Level1","10000095"<endrec>
"TZS","1005","Process#1#Level1","10000104"<endrec>
"TZS","1005","Process#1#Level1","10000107"<endrec>
"TZS","1005","Process#1#Level1","10000115"<endrec>
"TZS","1005","Process#1#Level1","10000116"<endrec>
"TZS","1005","Process#1#Level1","10000118"<endrec>
"TZS","1005","Process#1#Level1","10000119"<endrec>
"TZS","1005","Process#1#Level1","10000122"<endrec>
"TZS","1005","Process#1#Level1","10000125"<endrec>
"TZS","1005","Process#1#Level1","10000126"<endrec>
"TZS","1005","Process#1#Level1","10000127"<endrec>
"TZS","1005","Process#1#Level1","10000128"<endrec>
"TZS","1005","Process#1#Level1","10000129"<endrec>
"TZS","1005","Process#1#Level1","10000130"<endrec>
"TZS","1005","Process#1#Level1","10000137"<endrec>
"TZS","1005","Process#1#Level1","10000140"<endrec>
"TZS","1005","Process#1#Level1","10000141"<endrec>
"TZS","1005","Process#1#Level1","10000143"<endrec>
"TZS","1005","Process#1#Level1","10000144"<endrec>
"TZS","1005","Process#1#Level1","10000146"<endrec>
"TZS","1005","Process#1#Level1","10000147"<endrec>
"TZS","1005","Process#1#Level1","10000149"<endrec>
"TZS","1005","Process#1#Level1","10000150"<endrec>
"TZS","1005","Process#1#Level1","10000151"<endrec>
"TZS","1005","Process#1#Level1","10000152"<endrec>
"TZS","1005","Process#1#Level1","10000153"<endrec>
"TZS","1005","Process#1#Level1","10000154"<endrec>
"TZS","1005","Process#1#Level1","10000155"<endrec>
"TZS","1005","Process#1#Level1","10000156"<endrec>
"TZS","1005","Process#1#Level1","10000186"<endrec>
"TZS","1005","Process#1#Level1","10000187"<endrec>
"TZS","1005","Process#1#Level1","10000190"<endrec>
"TZS","1005","Process#1#Level1","10000191"<endrec>
"TZS","1005","Process#1#Level1","10000195"<endrec>
"TZS","1005","Process#1#Level1","10000200"<endrec>
"TZS","1005","Process#1#Level1","10000204"<endrec>
"TZS","1005","Process#1#Level1","10000213"<endrec>
"TZS","1005","Process#1#Level1","10000229"<endrec>
"TZS","1005","Process#1#Level1","10000230"<endrec>
"TZS","1005","Process#1#Level1","10000231"<endrec>
"TZS","1005","Process#1#Level1","10000232"<endrec>
"TZS","1005","Process#1#Level1","10000242"<endrec>
"TZS","1005","Process#1#Level1","10000266"<endrec>
"TZS","1005","Process#1#Level1","10000283"<endrec>
"TZS","1005","Process#1#Level1","10000294"<endrec>
"TZS","1005","Process#1#Level1","10000300"<endrec>
"TZS","1005","Process#1#Level1","10000336"<endrec>
"TZS","1005","Process#1#Level1","10000343"<endrec>
"TZS","1005","Process#1#Level1","10000344"<endrec>
"TZS","1005","Process#1#Level1","10000345"<endrec>
"TZS","1005","Process#1#Level1","10000346"<endrec>
"TZS","1005","Process#1#Level1","10000347"<endrec>
"TZS","1005","Process#1#Level1","10000352"<endrec>
"TZS","1005","Process#1#Level1","10000353"<endrec>
"TZS","1005","Process#1#Level1","10000354"<endrec>
"TZS","1005","Process#1#Level1","10000355"<endrec>
"TZS","1005","Process#1#Level1","10000356"<endrec>
"TZS","1005","Process#1#Level1","10000357"<endrec>
"TZS","1005","Process#1#Level1","10000358"<endrec>
"TZS","1005","Process#1#Level1","10000359"<endrec>
"TZS","1005","Process#1#Level1","10000360"<endrec>
"TZS","1005","Process#1#Level1","10000361"<endrec>
"TZS","1005","Process#1#Level1","10000362"<endrec>
"TZS","1005","Process#1#Level1","10000363"<endrec>
"TZS","1005","Process#1#Level1","10000364"<endrec>
"TZS","1005","Process#1#Level1","10000370"<endrec>
"TZS","1005","Process#1#Level1","10000371"<endrec>
"TZS","1005","Process#1#Level1","10002481"<endrec>
"TZS","1005","Process#1#Level1","10002518"<endrec>
"TZS","1005","Process#1#Level1","10002626"<endrec>
"TZS","1005","Process#1#Level1","10002646"<endrec>
"TZS","1005","Process#1#Level1","10002690"<endrec>
"TZS","1005","Process#1#Level1","10002712"<endrec>
"TZS","1005","Process#1#Level1","10002784"<endrec>
"TZS","1005","Process#1#Level1","10002788"<endrec>
"TZS","1005","Process#1#Level1","10002805"<endrec>
"TZS","1005","Process#1#Level1","10002878"<endrec>
"TZS","1005","Process#1#Level1","10002883"<endrec>
"TZS","1005","Process#1#Level1","10003097"<endrec>
"TZS","1005","Process#1#Level1","10003219"<endrec>
"TZS","1005","Process#1#Level1","10004145"<endrec>
"TZS","1005","Process#1#Level1","10004219"<endrec>
"TZS","1005","Process#1#Level1","10004329"<endrec>
"TZS","1005","Process#1#Level1","10004389"<endrec>
"TZS","1005","Process#2#Level2","10000095"<endrec>
"TZS","1005","Process#2#Level2","10000151"<endrec>
"TZS","1005","Process#2#Level2","10000186"<endrec>
"TZS","1005","Process#2#Level2","10000187"<endrec>
"TZS","1005","Process#2#Level2","10000213"<endrec>
"TZS","1005","Process#3#Level3","10000151"<endrec>
"TZS","1010","Process#1#Level1","10000026"<endrec>
"TZS","1010","Process#1#Level1","10000028"<endrec>
"TZS","1010","Process#1#Level1","10000032"<endrec>
"TZS","1010","Process#1#Level1","10000035"<endrec>
"TZS","1010","Process#1#Level1","10000075"<endrec>
"TZS","1010","Process#1#Level1","10000077"<endrec>
"TZS","1010","Process#1#Level1","10000080"<endrec>
"TZS","1010","Process#1#Level1","10000081"<endrec>
"TZS","1010","Process#1#Level1","10000095"<endrec>
"TZS","1010","Process#1#Level1","10000097"<endrec>
"TZS","1010","Process#1#Level1","10000133"<endrec>
"TZS","1010","Process#1#Level1","10000144"<endrec>
"TZS","1010","Process#1#Level1","10000145"<endrec>
