LOAD_DATA_TS,PROPERTY_CODE,PROPERTY_VALUE,REASON_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"","ATM_Deposit","Yes","937197744"<endrec>
"","ATM_Deposit","Yes","937197860"<endrec>
"","ATM_Deposit","Yes","937198569"<endrec>
"","ATM_Deposit","Yes","937198575"<endrec>
"","ATM_Deposit","Yes","937198576"<endrec>
"","ATM_Deposit","Yes","937198595"<endrec>
"","ATM_Deposit","Yes","937198605"<endrec>
"","ATM_Deposit","Yes","937202534"<endrec>
"","ATM_Deposit","Yes","937203569"<endrec>
"","ATM_Deposit","Yes","937205708"<endrec>
"","ATM_Deposit","Yes","937213622"<endrec>
"","ATM_Deposit","Yes","937216665"<endrec>
"","ATM_Deposit","Yes","937216667"<endrec>
"","ATM_Deposit","Yes","937218670"<endrec>
"","ATM_Deposit","Yes","937218707"<endrec>
"","ATM_Deposit","Yes","937218797"<endrec>
"","ATM_Deposit","Yes","937218975"<endrec>
"","ATM_Deposit","Yes","937218992"<endrec>
"","ATM_Deposit","Yes","937219069"<endrec>
"","ATM_Deposit","Yes","937219091"<endrec>
"","ATM_Deposit","Yes","937219269"<endrec>
"","ATM_Deposit","Yes","937219327"<endrec>
"","ATM_Deposit","Yes","937219369"<endrec>
"","ATM_Deposit","Yes","937219370"<endrec>
"","ATM_Deposit","Yes","937219423"<endrec>
"","ATM_Deposit","Yes","937219429"<endrec>
"","ATM_Deposit","Yes","937220575"<endrec>
"","ATM_Deposit","Yes","937230661"<endrec>
"","ATM_Deposit","Yes","937235660"<endrec>
"","ATM_Deposit","Yes","937341883"<endrec>
"","ATM_Deposit","Yes","937351932"<endrec>
"","ATM_Deposit","Yes","937460313"<endrec>
"","ATM_Deposit","Yes","937460316"<endrec>
"","ATM_Deposit","Yes","937460324"<endrec>
"","ATM_Deposit","Yes","937460389"<endrec>
"","ATM_Deposit","Yes","937460390"<endrec>
"","ATM_Deposit","Yes","937460391"<endrec>
"","ATM_Deposit","Yes","937460394"<endrec>
"","ATM_Deposit","Yes","937460398"<endrec>
"","ATM_Deposit","Yes","937461319"<endrec>
"","ATM_Deposit","Yes","937461325"<endrec>
"","ATM_Deposit","Yes","937461332"<endrec>
"","ATM_Deposit","Yes","937461333"<endrec>
"","ATM_Deposit","Yes","937461334"<endrec>
"","ATM_Deposit","Yes","937461335"<endrec>
"","ATM_Deposit","Yes","937461336"<endrec>
"","ATM_Deposit","Yes","937461337"<endrec>
"","ATM_Deposit","Yes","937461338"<endrec>
"","ATM_Deposit","Yes","937461339"<endrec>
"","ATM_Deposit","Yes","937461342"<endrec>
"","ATM_Deposit","Yes","937461344"<endrec>
"","ATM_Deposit","Yes","937461365"<endrec>
"","ATM_Deposit","Yes","937461372"<endrec>
"","ATM_Deposit","Yes","937510168"<endrec>
"","ATM_Deposit","Yes","937510169"<endrec>
"","ATM_Deposit","Yes","937510252"<endrec>
"","ATM_Deposit","Yes","937510253"<endrec>
"","ATM_Deposit","Yes","937510259"<endrec>
"","ATM_Deposit","Yes","937593762"<endrec>
"","ATM_Deposit","Yes","937593763"<endrec>
"","ATM_Deposit","Yes","937646762"<endrec>
"","ATM_Deposit","Yes","937646763"<endrec>
"","ATM_Deposit","Yes","937646790"<endrec>
"","ATM_Deposit","Yes","937646792"<endrec>
"","Allow_Confirm_Transaction","1","937150153"<endrec>
"","Allow_Confirm_Transaction","1","937411085"<endrec>
"","Allow_Confirm_Transaction","3","937510727"<endrec>
"","Allow_Confirm_Transaction","1","937515913"<endrec>
"","Allow_Confirm_Transaction","1","937536759"<endrec>
"","Allow_Confirm_Transaction","1","937539860"<endrec>
"","Allow_Confirm_Transaction","1","937539862"<endrec>
"","Allow_Confirm_Transaction","1","937539865"<endrec>
"","Allow_Confirm_Transaction","1","937539866"<endrec>
"","Allow_Confirm_Transaction","1","937544826"<endrec>
"","Allow_Confirm_Transaction","1","937544872"<endrec>
"","Allow_Confirm_Transaction","1","937544873"<endrec>
"","Allow_Confirm_Transaction","1","937594783"<endrec>
"","Apply_ATM_Voucher","2","937197534"<endrec>
"","Apply_ATM_Voucher","1","937197540"<endrec>
"","Apply_ATM_Voucher","2","937197561"<endrec>
"","Apply_ATM_Voucher","2","937197582"<endrec>
"","Apply_ATM_Voucher","2","937197620"<endrec>
"","Apply_ATM_Voucher","2","937197633"<endrec>
"","Apply_ATM_Voucher","2","937197653"<endrec>
"","Apply_ATM_Voucher","1","937198546"<endrec>
"","Apply_ATM_Voucher","2","937198547"<endrec>
"","Apply_ATM_Voucher","2","937203532"<endrec>
"","Apply_ATM_Voucher","2","937210629"<endrec>
"","Apply_ATM_Voucher","2","937210661"<endrec>
"","Apply_ATM_Voucher","2","937217682"<endrec>
"","Apply_ATM_Voucher","1","937217685"<endrec>
"","Apply_ATM_Voucher","2","937218717"<endrec>
"","Apply_ATM_Voucher","2","937218718"<endrec>
"","Apply_ATM_Voucher","2","937219100"<endrec>
"","Apply_ATM_Voucher","2","937219102"<endrec>
"","Apply_ATM_Voucher","2","937219103"<endrec>
"","Apply_ATM_Voucher","2","937219137"<endrec>
"","Apply_ATM_Voucher","2","937219139"<endrec>
"","Apply_ATM_Voucher","2","937219140"<endrec>
"","Apply_ATM_Voucher","2","937219141"<endrec>
"","Apply_ATM_Voucher","2","937219168"<endrec>
"","Apply_ATM_Voucher","2","937219173"<endrec>
"","Apply_ATM_Voucher","1","937219174"<endrec>
"","Apply_ATM_Voucher","2","937219176"<endrec>
"","Apply_ATM_Voucher","2","937219177"<endrec>
"","Apply_ATM_Voucher","2","937219179"<endrec>
"","Apply_ATM_Voucher","2","937219180"<endrec>
"","Apply_ATM_Voucher","2","937219281"<endrec>
"","Apply_ATM_Voucher","2","937219365"<endrec>
"","Apply_ATM_Voucher","2","937220572"<endrec>
"","Apply_ATM_Voucher","2","937220615"<endrec>
"","Apply_ATM_Voucher","2","937232580"<endrec>
"","Apply_ATM_Voucher","1","937348903"<endrec>
"","Apply_ATM_Voucher","2","937348918"<endrec>
"","Apply_ATM_Voucher","2","937351931"<endrec>
"","Apply_ATM_Voucher","2","937371564"<endrec>
"","Apply_ATM_Voucher","2","937371565"<endrec>
"","Apply_ATM_Voucher","2","937376529"<endrec>
"","Apply_ATM_Voucher","1","937376573"<endrec>
"","Apply_ATM_Voucher","2","937377467"<endrec>
"","Apply_ATM_Voucher","2","937377470"<endrec>
"","Apply_ATM_Voucher","2","937417181"<endrec>
"","Apply_ATM_Voucher","2","937417185"<endrec>
"","Apply_ATM_Voucher","2","937418173"<endrec>
"","Apply_ATM_Voucher","1","937421177"<endrec>
"","Apply_ATM_Voucher","1","937421179"<endrec>
"","Apply_ATM_Voucher","2","937422147"<endrec>
"","Apply_ATM_Voucher","2","937460321"<endrec>
"","Apply_ATM_Voucher","1","937460336"<endrec>
"","Apply_ATM_Voucher","1","937460337"<endrec>
"","Apply_ATM_Voucher","1","937460338"<endrec>
"","Apply_ATM_Voucher","1","937460339"<endrec>
"","Apply_ATM_Voucher","1","937460354"<endrec>
"","Apply_ATM_Voucher","1","937460358"<endrec>
"","Apply_ATM_Voucher","2","937460366"<endrec>
"","Apply_ATM_Voucher","2","937460371"<endrec>
"","Apply_ATM_Voucher","2","937460373"<endrec>
"","Apply_ATM_Voucher","2","937460381"<endrec>
"","Apply_ATM_Voucher","2","937460384"<endrec>
"","Apply_ATM_Voucher","2","937460385"<endrec>
"","Apply_ATM_Voucher","2","937510160"<endrec>
"","Apply_ATM_Voucher","2","937510173"<endrec>
"","Apply_ATM_Voucher","1","937510202"<endrec>
"","Apply_ATM_Voucher","1","937510206"<endrec>
"","Apply_ATM_Voucher","1","937510264"<endrec>
"","Apply_ATM_Voucher","1","937510268"<endrec>
"","Apply_ATM_Voucher","1","937510269"<endrec>
"","Apply_ATM_Voucher","2","937539808"<endrec>
"","Apply_ATM_Voucher","1","937571735"<endrec>
"","Apply_ATM_Voucher","2","937591759"<endrec>
"","Apply_ATM_Voucher","2","937591760"<endrec>
"","Apply_ATM_Voucher","2","937591761"<endrec>
"","Apply_ATM_Voucher","2","937593759"<endrec>
"","Apply_ATM_Voucher","2","937593761"<endrec>
"","Apply_ATM_Voucher","1","937612821"<endrec>
"","Apply_ATM_Voucher","2","937664789"<endrec>
"","Apply_ATM_Voucher","2","937664791"<endrec>
"","Apply_ATM_Voucher","2","937664792"<endrec>
"","Apply_ATM_Voucher","2","937664794"<endrec>
"","Apply_ATM_Voucher","2","937664795"<endrec>
"","Apply_ATM_Voucher","2","937664797"<endrec>
"","FX_BUSINESS_TYPE","1","937260736"<endrec>
"","FX_BUSINESS_TYPE","1","937260764"<endrec>
"","FX_BUSINESS_TYPE","2","937260765"<endrec>
"","FX_BUSINESS_TYPE","2","937260766"<endrec>
"","FX_BUSINESS_TYPE","2","937260767"<endrec>
"","FX_BUSINESS_TYPE","2","937260768"<endrec>
"","FX_BUSINESS_TYPE","1","937260772"<endrec>
"","FX_BUSINESS_TYPE","1","937260773"<endrec>
"","FX_BUSINESS_TYPE","2","937260774"<endrec>
"","FX_BUSINESS_TYPE","2","937260775"<endrec>
"","FX_BUSINESS_TYPE","2","937260776"<endrec>
"","FX_BUSINESS_TYPE","2","937260777"<endrec>
"","FX_BUSINESS_TYPE","1","937260779"<endrec>
"","FX_BUSINESS_TYPE","1","937260780"<endrec>
"","FX_BUSINESS_TYPE","2","937260781"<endrec>
"","FX_BUSINESS_TYPE","2","937260782"<endrec>
"","FX_BUSINESS_TYPE","2","937260783"<endrec>
"","FX_BUSINESS_TYPE","2","937260784"<endrec>
"","FX_BUSINESS_TYPE","1","937260785"<endrec>
"","FX_BUSINESS_TYPE","1","937260786"<endrec>
"","FX_BUSINESS_TYPE","2","937260787"<endrec>
"","FX_BUSINESS_TYPE","2","937260788"<endrec>
"","FX_BUSINESS_TYPE","2","937260789"<endrec>
"","FX_BUSINESS_TYPE","2","937260790"<endrec>
"","FX_BUSINESS_TYPE","1","937263697"<endrec>
"","FX_BUSINESS_TYPE","1","937280004"<endrec>
"","FX_BUSINESS_TYPE","1","937280005"<endrec>
"","FX_BUSINESS_TYPE","2","937280008"<endrec>
"","FX_BUSINESS_TYPE","2","937280009"<endrec>
"","FX_BUSINESS_TYPE","2","937280011"<endrec>
"","FX_BUSINESS_TYPE","1","937281822"<endrec>
"","FX_BUSINESS_TYPE","1","937281823"<endrec>
"","FX_BUSINESS_TYPE","1","937281824"<endrec>
"","FX_BUSINESS_TYPE","1","937281825"<endrec>
"","FX_BUSINESS_TYPE","1","937285822"<endrec>
"","FX_BUSINESS_TYPE","1","937285823"<endrec>
"","FX_BUSINESS_TYPE","1","937285824"<endrec>
"","FX_BUSINESS_TYPE","1","937285825"<endrec>
"","FX_BUSINESS_TYPE","1","937285826"<endrec>
"","FX_BUSINESS_TYPE","1","937285827"<endrec>
"","FX_BUSINESS_TYPE","1","937285828"<endrec>
"","FX_BUSINESS_TYPE","1","937285832"<endrec>
"","FX_BUSINESS_TYPE","1","937285837"<endrec>
"","FX_BUSINESS_TYPE","1","937285838"<endrec>
"","FX_BUSINESS_TYPE","1","937285839"<endrec>
"","FX_BUSINESS_TYPE","1","937287822"<endrec>
"","FX_BUSINESS_TYPE","1","937287823"<endrec>
"","FX_BUSINESS_TYPE","1","937287824"<endrec>
"","FX_BUSINESS_TYPE","1","937287825"<endrec>
"","FX_BUSINESS_TYPE","1","937348942"<endrec>
"","FX_BUSINESS_TYPE","1","937356941"<endrec>
"","FX_BUSINESS_TYPE","1","937365210"<endrec>
"","FX_BUSINESS_TYPE","2","937392676"<endrec>
"","FX_BUSINESS_TYPE","2","937392707"<endrec>
"","FX_BUSINESS_TYPE","1","937392772"<endrec>
"","FX_BUSINESS_TYPE","2","937392776"<endrec>
"","FX_BUSINESS_TYPE","2","937392785"<endrec>
"","FX_BUSINESS_TYPE","1","937392786"<endrec>
"","FX_BUSINESS_TYPE","2","937392787"<endrec>
"","FX_BUSINESS_TYPE","1","937392789"<endrec>
"","FX_BUSINESS_TYPE","1","937392794"<endrec>
"","FX_BUSINESS_TYPE","1","937392795"<endrec>
"","FX_BUSINESS_TYPE","3","937419133"<endrec>
"","FX_BUSINESS_TYPE","3","937428337"<endrec>
"","FX_BUSINESS_TYPE","2","937430329"<endrec>
"","FX_BUSINESS_TYPE","3","937466611"<endrec>
"","FX_BUSINESS_TYPE","3","937467552"<endrec>
"","FX_BUSINESS_TYPE","2","937472572"<endrec>
"","FX_BUSINESS_TYPE","1","937484594"<endrec>
"","FX_BUSINESS_TYPE","1","937490621"<endrec>
"","FX_BUSINESS_TYPE","3","937496698"<endrec>
"","FX_BUSINESS_TYPE","2","937496827"<endrec>
"","FX_BUSINESS_TYPE","2","937496851"<endrec>
"","FX_BUSINESS_TYPE","2","937496853"<endrec>
"","FX_BUSINESS_TYPE","2","937496857"<endrec>
"","FX_BUSINESS_TYPE","1","937510044"<endrec>
"","FX_BUSINESS_TYPE","3","937527750"<endrec>
"","FX_BUSINESS_TYPE","4","937536775"<endrec>
"","FX_BUSINESS_TYPE","4","937537737"<endrec>
"","FX_BUSINESS_TYPE","4","937537738"<endrec>
"","FX_BUSINESS_TYPE","4","937537739"<endrec>
"","FX_BUSINESS_TYPE","1","937537747"<endrec>
"","FX_BUSINESS_TYPE","4","937539740"<endrec>
"","FX_BUSINESS_TYPE","4","937539745"<endrec>
"","FX_BUSINESS_TYPE","4","937539810"<endrec>
"","FX_BUSINESS_TYPE","4","937539821"<endrec>
"","FX_BUSINESS_TYPE","4","937539824"<endrec>
"","FX_BUSINESS_TYPE","4","937539827"<endrec>
"","FX_BUSINESS_TYPE","4","937548861"<endrec>
"","FX_BUSINESS_TYPE","4","937552732"<endrec>
"","FX_BUSINESS_TYPE","1","937567741"<endrec>
"","FX_BUSINESS_TYPE","1","937567742"<endrec>
"","FX_BUSINESS_TYPE","1","937567744"<endrec>
"","FX_BUSINESS_TYPE","1","937567746"<endrec>
"","Funding_Source","3","937197679"<endrec>
"","Funding_Source","3","937197681"<endrec>
"","Funding_Source","3","937197685"<endrec>
"","Funding_Source","3","937197688"<endrec>
"","Funding_Source","3","937197689"<endrec>
"","Funding_Source","3","937197697"<endrec>
