CHANNELS,LOAD_DATA_TS,REASON_TYPE_UNIQUE_ID,TEMPLATE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 <endrec>
"API","","30013129","B2C Payment"<endrec>
"API","","30013200","B2C Payment"<endrec>
"API","","30015662","B2C Payment For Unreg Customer"<endrec>
"API","","30015684","B2C Payment"<endrec>
"API","","30015703","B2C Payment For Unreg Customer"<endrec>
"API","","30048248","IntraInterTransfer"<endrec>
"API","","30055280","DirectTransfer"<endrec>
"API","","30061350","B2C Payment"<endrec>
"API","","30071479","B2C Payment"<endrec>
"API","","30071481","B2C Payment"<endrec>
"API","","30071482","B2C Payment For Unreg Customer"<endrec>
"API","","30071494","IMTHomeSendValidation"<endrec>
"API","","30097662","IMTHomeSendCredit"<endrec>
"API","","30099723","DirectTransfer"<endrec>
"API","","30099727","DirectTransfer"<endrec>
"API","","30102769","B2B Transfer between Orgaizations"<endrec>
"API","","30105838","New B2C Payment"<endrec>
"API","","30110852","QueryBalance"<endrec>
"API","","30110855","IntraInterTransfer"<endrec>
"API","","30110856","IntraInterTransfer"<endrec>
"API","","30110858","IntraInterTransfer"<endrec>
"API","","30110859","IntraInterTransfer"<endrec>
"API","","30110894","Kenya Finance Withdraw Direct Transfer"<endrec>
"API","","30116930","ReverseTransaction"<endrec>
"API","","30121466","Transfer"<endrec>
"API","","30126078","IntraInterTransfer"<endrec>
"API","","30135100","DirectTransfer"<endrec>
"API","","30136089","DirectTransfer"<endrec>
"API","","30136095","VoucherRedeeming"<endrec>
"API","","30149169","IMTWU"<endrec>
"API","","30153119","FSIPayout"<endrec>
"API","","30157231","IntraInterTransfer"<endrec>
"API","","30159262","DirectTransfer"<endrec>
"API","","30159264","DirectTransfer"<endrec>
"API","","30159268","DirectTransfer"<endrec>
"API","","30159269","DirectTransfer"<endrec>
"API","","30159289","Buy Goods"<endrec>
"API","","30175424","Pay Bill With Confirmation Without CNS For Kenya"<endrec>
"API","","30175429","Pay Bill With Confirmation Without CNS For Kenya"<endrec>
"API","","30175432","Pay Bill With Confirmation Without CNS For Kenya"<endrec>
"API","","937124879","Buy Goods"<endrec>
"API","","937127874","IntraInterTransfer"<endrec>
"API","","937127897","Reverse Transaction with Debit/Credit Party Check"<endrec>
"API","","937127905","Reverse Transaction with Debit/Credit Party Check"<endrec>
"API","","937127909","Reverse Transaction with Debit/Credit Party Check"<endrec>
"API","","937127912","DirectTransfer"<endrec>
"API","","937127913","DirectTransfer"<endrec>
"API","","937127914","DirectTransfer"<endrec>
"API","","937127915","DirectTransfer"<endrec>
