POLICY_ID,REASON_TYPE_ID,REASON_TYPE_POLICY_ID,TRANS_STATUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"15003","10000119","937258722","Cancelled"<endrec>
"15037","10000119","937258723","Pending Authorized"<endrec>
"15003","10000028","937415138","Completed"<endrec>
"15003","10000119","937415143","Declined"<endrec>
"15027","10003719","937417077","Completed"<endrec>
"15003","10002378","937418172","Authorized"<endrec>
"3001","10000051","937445268","Completed"<endrec>
"3001","10000054","937445270","Completed"<endrec>
"15003","10003390","937465455","Declined"<endrec>
"15003","10003390","937465460","Cancelled"<endrec>
"15003","10000090","937465471","Authorized"<endrec>
"15027","10003719","937469574","Expired"<endrec>
"15026","10003129","937471578","Completed"<endrec>
"15003","10003390","937487601","Completed"<endrec>
"15003","10000059","937487603","Completed"<endrec>
"15003","10000059","937487610","Cancelled"<endrec>
"15042","10000110","937492623","Completed"<endrec>
"15003","10000302","937496848","Completed"<endrec>
"15003","10000271","937496858","Completed"<endrec>
"15003","10000110","937510042","Declined"<endrec>
"15036","10000110","937510045","Cancelled"<endrec>
"15003","10000110","937510060","Cancelled"<endrec>
"15003","10000119","937510087","Completed"<endrec>
"15045","10000110","937510107","Completed"<endrec>
"15036","10002878","937515882","Completed"<endrec>
"15036","10000014","937515883","Completed"<endrec>
"15036","10000016","937515922","Completed"<endrec>
"15003","10000110","937529729","Completed"<endrec>
"15003","10002878","937612768","Completed"<endrec>
"15003","10002878","937612769","Declined"<endrec>
"15042","10000090","937612802","Completed"<endrec>
"15003","10000057","937641895","Completed"<endrec>
"15003","10000248","937641901","Authorized"<endrec>
"3001","10000119","937707769","Completed"<endrec>
"3001","10002657","937707777","Completed"<endrec>
"15076","10000133","937707783","Completed"<endrec>
"2001","10000133","937707784","Completed"<endrec>
