REASON_CHARGE_ID,RELATED_REASON_CHARGE_ID,REL_ID,REVERSAL_MODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          <endrec>
"20450","0","30161220","0"<endrec>
"20493","0","30109888","0"<endrec>
"20493","0","30161225","0"<endrec>
"20540","0","30072513","0"<endrec>
"20540","0","30121043","0"<endrec>
"20571","0","30161222","0"<endrec>
"20572","0","30072512","0"<endrec>
"20572","0","30121042","0"<endrec>
"20589","0","30160212","1"<endrec>
"20627","0","30161248","1"<endrec>
"20627","0","937142896","1"<endrec>
"20627","0","937142898","1"<endrec>
"20682","","937182461","0"<endrec>
"20682","0","937191467","0"<endrec>
"20775","0","30161245","0"<endrec>
"20776","0","30161245","1"<endrec>
"20794","0","30161212","1"<endrec>
"20802","0","30161210","1"<endrec>
"20830","0","30109888","0"<endrec>
"20830","0","30161225","0"<endrec>
"20945","0","30121042","1"<endrec>
"20951","0","30160212","1"<endrec>
"20951","0","30161248","1"<endrec>
"20951","0","937142896","1"<endrec>
"20951","0","937142898","1"<endrec>
"20953","0","30161240","1"<endrec>
"20954","0","30161240","0"<endrec>
"20959","0","30161241","0"<endrec>
"20960","0","30161241","1"<endrec>
"21019","","30161213","0"<endrec>
"21021","","937191491","0"<endrec>
"21021","0","937212745","0"<endrec>
"21021","0","937326877","0"<endrec>
"21021","0","937366165","0"<endrec>
"21021","0","937472515","0"<endrec>
"21021","0","937496595","0"<endrec>
"21021","0","937496603","0"<endrec>
"21021","0","937578744","0"<endrec>
"21022","0","30161246","0"<endrec>
"21023","0","30121043","1"<endrec>
"21023","0","30161246","1"<endrec>
"21024","0","30161221","0"<endrec>
"21024","0","30161223","0"<endrec>
"21024","0","937159163","0"<endrec>
"21025","","30109887","0"<endrec>
"21025","0","30161224","0"<endrec>
"21026","","30109887","0"<endrec>
"21026","0","30161224","0"<endrec>
"21059","0","30161216","1"<endrec>
"21060","0","30161216","1"<endrec>
"21061","0","30161217","1"<endrec>
"21062","0","30161217","1"<endrec>
"21063","0","30161234","1"<endrec>
"21064","0","30161234","1"<endrec>
"21065","0","30161235","1"<endrec>
"21066","0","30161235","1"<endrec>
"21089","","937159162","0"<endrec>
"21090","","937188475","1"<endrec>
"21090","","937191495","0"<endrec>
"21090","0","937209716","1"<endrec>
"21090","0","937212749","0"<endrec>
"21090","0","937496617","1"<endrec>
"21113","0","30161229","1"<endrec>
"21113","0","937142900","1"<endrec>
"21114","0","30161229","1"<endrec>
"21114","0","937142900","1"<endrec>
