EXPRESSION_CODE,EXPRESSION_ID,EXPRESSION_MODE,EXPRESSION_TEXT,EXPRESSION_VERSION,SCENE_CODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"","10","C","return tostring(Transaction.InitiatedTime,""yyyyMMddHHmmss"");","1","Outbound"<endrec>
"","100","C","return BankStatement.Substring_5;","2","BankStatement"<endrec>
"","10001","C","return Transaction.RechargeNumber;","0","Outbound"<endrec>
"","10002","C","return Transaction.Amount;","0","Outbound"<endrec>
"","10003","C","return Transaction.SubscriberNumber;","0","Outbound"<endrec>
"","10004","C","return Transaction.OrderId;","0","Outbound"<endrec>
"","10005","C","return Transaction.OriginHostName;","0","Outbound"<endrec>
"","10006","C","return ""0"";","0","Outbound"<endrec>
"","10007","C","return Transaction.OriginTimeStamp;","0","Outbound"<endrec>
"","10008","C","return Transaction.TransactionCurrency;","0","Outbound"<endrec>
"","10009","C","return Transaction.RefillProfileID;","0","Outbound"<endrec>
"","10010","C","return Transaction.SubscriberNumberNAI;","0","Outbound"<endrec>
"","10011","C","return Transaction.OriginNodeType;","0","Outbound"<endrec>
"","10018","C","return Transaction.ExternalData1;","0","Outbound"<endrec>
"","10038","C","return Credit.ShortCode;","0","Outbound"<endrec>
"","10039","C","return Transaction.OrderId;","0","Outbound"<endrec>
"","10040","C","return Transaction.Amount;","0","Outbound"<endrec>
"","10041","C","return Transaction.Amount/100;","0","Outbound"<endrec>
"","10042","C","return Transaction.Currency;","0","Outbound"<endrec>
"","10043","C","return Transaction.RechargeNumber;","0","Outbound"<endrec>
"","10044","C","return tostring(Transaction.InitiatedTime,""yyyyMMddHHmmss"");","0","Outbound"<endrec>
"","10045","C","return Transaction.OrderId;","0","Outbound"<endrec>
"","10046","C","return Debit.MSISDN;","0","Outbound"<endrec>
"","10047","C","return Transaction.BillReferenceNumber;","0","Outbound"<endrec>
"","10048","C","return Transaction.Currency;","0","Outbound"<endrec>
"","10049","C","return Transaction.InvoiceNumber;","0","Outbound"<endrec>
"","10050","C","return Credit.ShortCode;","0","Outbound"<endrec>
"","10051","C","return Transaction.Amount/100;","0","Outbound"<endrec>
"","10052","C","return Transaction.Amount;","0","Outbound"<endrec>
"","10053","C","return Transaction.RechargeNumber;","0","Outbound"<endrec>
"","10054","C","return Credit.ShortCode;","0","Outbound"<endrec>
"","10055","C","return Transaction.Amount/100;","0","Outbound"<endrec>
"","10056","C","return tostring(Transaction.InitiatedTime,""yyyyMMddHHmmss"");","0","Outbound"<endrec>
"","10057","C","string str = ""<OutboundList><ListValue><KYCName>FirstName</KYCName><KYCValue>""
                + Debit.FirstName
                + ""</KYCValue></ListValue><ListValue><KYCName>MiddleName</KYCName><KYCValue>""
                + Debit.MiddleName
                + ""</KYCValue></ListValue><ListValue><KYCName>LastName</KYCName><KYCValue>""
                + Debit.LastName + ""</KYCValue></ListValue></OutboundList>"";
return str;","0","Outbound"<endrec>
"","10058","C","return Transaction.Currency;","0","Outbound"<endrec>
"","10059","C","return Debit.OrganizationName;","0","Outbound"<endrec>
"","10060","C","return Debit.ShortCode;","0","Outbound"<endrec>
"","10061","C","return Transaction.Amount;","0","Outbound"<endrec>
"","10062","C","return Transaction.InvoiceNumber;","0","Outbound"<endrec>
"","10063","C","return Transaction.OrderId;","0","Outbound"<endrec>
"","10064","C","return Transaction.BillReferenceNumber;","0","Outbound"<endrec>
"","10065","C","return Debit.MSISDN;","0","Outbound"<endrec>
"","101","C","if(BankStatement.Substring_2==""de"" && BankStatement.Substring_3==""cont"" && BankStatement.Substring_4==""1111112"")return true; else return false;","7","BankStatement"<endrec>
"","10106","C","return ""TZS"";","1","BankStatement"<endrec>
"","10116","S","if((Transaction.Channel == ""1003"") && (Transaction.Amount > 250)) return true; else return false;","0","Charge"<endrec>
"","10117","S","if((Transaction.Channel == ""1003"") && (Transaction.Amount > 250)) return true; else return false;","0","Charge"<endrec>
"","10118","S","if((Transaction.Channel == ""1003"") && (Transaction.Amount > 250)) return true; else return false;","0","Charge"<endrec>
"","10119","S","if((Transaction.Channel == ""1005"") && (Transaction.Amount > 250)) return true; else return false;","0","Charge"<endrec>
"","10120","S","if((Transaction.Channel == ""1003"") && (Transaction.Amount == 150)) return true; else return false;","0","Charge"<endrec>
"","10121","S","if((Transaction.Channel == ""1003"") && (Transaction.Amount == 150)) return true; else return false;","0","Charge"<endrec>
"","10122","S","if((Transaction.Channel == ""1005"") && (Transaction.Amount == 150)) return true; else return false;","0","Charge"<endrec>
"","10123","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10124","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10125","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10126","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10127","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
"","10128","S","if((Transaction.Channel == ""1005"") && (Transaction.Amount >= 205) && (Initiator.Birthday == todate(""15-10-1990"", ""dd-MM-yyyy""))) return true; else return false;","0","Charge"<endrec>
"","10129","S","if((Transaction.Channel == ""1005"")) return true; else return false;","0","Charge"<endrec>
