ACCOUNT_TYPE_ID,END_TIME,IDENTITY_TYPE,LAST_UPDATE_OPER_ID,LAST_UPDATE_TIME,PLAN_CODE,START_TIME,STATUS,SUB_TYPE_ID,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"10011","2017-05-08 12:11:45.462000","1000","203000000000010806","2017-05-08 12:11:45.462000","3","2017-05-08 11:05:51.333000","1","1002","937332919"<endrec>
"10011","2017-05-19 07:55:11.210000","1000","203000000000014911","2017-05-19 07:55:11.210000","4","2017-05-08 12:11:45.462000","1","1002","937333873"<endrec>
"10011","2017-05-22 09:48:24.407000","1000","203000000000014909","2017-05-22 09:48:24.407000","6","2017-05-19 07:55:11.210000","1","1002","937342878"<endrec>
"10011","","7000","203000000000014911","2017-05-22 09:47:25.580000","7","2017-05-22 09:47:25.580000","0","","937343883"<endrec>
"10011","2017-09-25 08:58:34.573000","1000","203000000000024612","2017-09-25 08:58:34.573000","3","2017-05-22 09:48:24.407000","1","1002","937343884"<endrec>
"10011","2017-10-25 07:45:18.855000","5000","203000000000018910","2017-10-25 07:45:18.855000","8","2017-05-22 13:16:37.580000","1","5001","937343904"<endrec>
"10011","2017-09-25 09:05:57.324000","1000","203000000000024612","2017-09-25 09:05:57.324000","10","2017-09-25 08:58:34.573000","1","1002","937414096"<endrec>
"10011","2017-10-23 06:29:53.412000","1000","203000000000018910","2017-10-23 06:29:53.412000","3","2017-09-25 09:05:57.324000","1","1002","937414097"<endrec>
"10011","2017-10-23 06:32:46.679000","1000","203000000000018910","2017-10-23 06:32:46.679000","4","2017-10-23 06:29:53.412000","1","1002","937419068"<endrec>
"10011","","1000","203000000000018910","2017-10-23 08:27:30.218000","4","2017-10-23 08:27:30.218000","0","1002","937419073"<endrec>
"10011","2017-10-25 07:45:31.049000","5000","203000000000018910","2017-10-25 07:45:31.049000","6","2017-10-25 07:45:18.855000","1","5001","937419129"<endrec>
"10011","","5000","203000000000018910","2017-10-25 07:45:31.049000","8","2017-10-25 07:45:31.049000","0","5001","937419130"<endrec>
