ALGORITHM,BEGIN_VALUE,DISPLAY_ORDER,END_VALUE,ID,SEGMENT_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"","dinushaj@symbox.com","0","dinushaj@symbox.com","107","510652"<endrec>
"","11213232321","0","3636326326","112","510662"<endrec>
"","dinushaj@symbox.com","0","dinushaj@symbox.com","113","510672"<endrec>
"","dinushaj@symbox.com","0","dinushaj@symbox.com","115","510682"<endrec>
"0","02","0","02","118","510752"<endrec>
"","02","0","02","127","510852"<endrec>
"","AAAAAAA","0","ZZZZZZZ","158","510952"<endrec>
"","AAAAA","0","ZZZZZ","159","510962"<endrec>
"","10","0","20","168","511052"<endrec>
"0","0","0","0","172","511062"<endrec>
"","02","1","02","173","511062"<endrec>
"0","20180101","0","20181030","178","511152"<endrec>
"0","01","0","01","197","511252"<endrec>
"","Suspended","0","Suspended","207","511352"<endrec>
"0","01","1","01","217","510752"<endrec>
"0","a","0","z","27","510062"<endrec>
"0","karachi","0","karachi","36","510152"<endrec>
"","karachi","0","karachi","38","510162"<endrec>
"","lahore","1","lahore","39","510162"<endrec>
"0","0","0","9","49","510252"<endrec>
"","000000","1","999999","51","510252"<endrec>
"","Yes","0","Yes","67","510352"<endrec>
"3","10","1","100","748","511152"<endrec>
"0","1","0","999999999","89","510552"<endrec>
