IDENTITY_TYPE,KYC_FIELD_ID,KYC_GROUP_ID,PRIORITY,RULE_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"1000","1004","1001","3","01"<endrec>
"1000","1004","1001","3","02"<endrec>
"1000","1004","1001","3","03"<endrec>
"1000","1011","1003","1","01"<endrec>
"1000","1011","1003","1","02"<endrec>
"1000","1011","1003","1","03"<endrec>
"1000","111286","1010","2","01"<endrec>
"1000","111286","1010","2","02"<endrec>
"1000","111286","1010","2","03"<endrec>
"5000","1001","1001","5","01"<endrec>
"5000","1001","1001","5","02"<endrec>
"5000","1001","1001","5","03"<endrec>
"5000","1003","1001","6","01"<endrec>
"5000","1003","1001","6","02"<endrec>
"5000","1003","1001","6","03"<endrec>
"5000","1010","1003","1","01"<endrec>
"5000","1010","1003","2","02"<endrec>
"5000","1010","1003","2","03"<endrec>
"5000","1011","1003","2","01"<endrec>
"5000","1011","1003","3","02"<endrec>
"5000","1011","1003","3","03"<endrec>
"5000","110474","1003","4","01"<endrec>
"5000","110474","1003","0","02"<endrec>
"5000","110474","1003","0","03"<endrec>
"5000","110515","310072","0","01"<endrec>
"5000","110515","310072","1","02"<endrec>
"5000","110515","310072","1","03"<endrec>
"5000","110846","310183","3","01"<endrec>
"5000","110846","310183","4","02"<endrec>
"5000","110846","310183","4","03"<endrec>
"7000","1023","1011","1","01"<endrec>
"7000","1023","1011","1","02"<endrec>
"7000","1023","1011","1","03"<endrec>
"7000","110020","1001","0","01"<endrec>
"7000","110020","1001","0","02"<endrec>
"7000","110020","1001","0","03"<endrec>
"7000","111246","1010","5","01"<endrec>
"7000","111246","1010","5","02"<endrec>
"7000","111246","1010","5","03"<endrec>
"7000","111256","1010","2","01"<endrec>
"7000","111256","1010","2","02"<endrec>
"7000","111256","1010","2","03"<endrec>
"7000","111276","1010","4","01"<endrec>
"7000","111276","1010","4","02"<endrec>
"7000","111276","1010","4","03"<endrec>
"7000","111286","1010","3","01"<endrec>
"7000","111286","1010","3","02"<endrec>
"7000","111286","1010","3","03"<endrec>
