ALIAS,BUSINESS_SCOPE,CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,REASON_SELECTION_MODE,RECEIVER_TYPES,SERVICE_INDEX,SERVICE_NAME,STATUS,TXN_INDEX,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"Apply ATM Voucher","3","203000000000010002","2014-03-20 10:36:34.998000","Apply ATM Voucher","203000000000010002","2014-03-21 16:19:28.620000","","0","","10007","Apply ATM Voucher","30","8","20301"<endrec>
"Activate Customer","3","203000000000010002","2014-03-20 10:41:43.914000","Activate Customer","203000000000010164","2014-12-16 14:49:06.481000","","0","","10008","Activate Customer","50","27","20302"<endrec>
"Send Money","2","203000000000010002","2014-03-20 12:26:46.417000","Send Money","203000000000010002","2014-03-26 04:40:00.690000","","0","","10010","Send Money","50","20020","20308"<endrec>
"Customer Withdrawal","2","203000000000010002","2014-03-20 14:02:52.365000","Customer Withdrawal","203000000000010002","2014-04-08 17:43:56.039000","","1","","10011","Customer Withdrawal","50","20008","20312"<endrec>
"Customer Buy Airtime","2","203000000000010002","2014-03-20 14:05:21.218000","Customer Buy Airtime","203000000000011204","2015-08-13 04:46:45.606000","","0","","10012","Customer Buy Airtime","50","20018","20314"<endrec>
"Customer Pay Bill","2","203000000000010002","2014-03-20 14:08:10.281000","Customer Pay Bill","203000000000010002","2014-03-26 05:28:40.980000","","0","","10013","Customer Pay Bill","50","20009","20315"<endrec>
"CustomerPayMerchant","2","203000000000010002","2014-03-20 14:11:01.382000","Customer Pay Merchant","203000000000010002","2014-03-26 07:49:32.961000","","0","","10014","Customer Pay Merchant","50","20010","20316"<endrec>
"Customer Account Management - Query Balance","3","203000000000010002","2014-03-20 14:13:56.031000","Customer Account Management - Query Balance","203000000000010002","2014-04-08 17:43:54.900000","","0","","10015","Customer Account Management - Query Balance","50","21","20317"<endrec>
"AgencyRedistributionOfFloatFunds","2","203000000000010002","2014-03-20 14:22:37.097000","H/O Float Management","203000000000010002","2014-04-02 12:22:37.794000","","0","","10016","H/O Float Management","50","20003","20318"<endrec>
"Organization Account Management - Query Balance","3","203000000000010002","2014-03-20 14:30:26.417000","Organization Account Management - Query Balance","203000000000010164","2014-12-16 09:54:39.827000","","0","","10017","Organization Account Management - Query Balance","50","21","20319"<endrec>
"Customer Account Management - PIN","3","203000000000010002","2014-03-20 14:41:00.085000","Customer Account Management - PIN","203000000000013202","2016-03-09 03:49:30.783000","","0","","10018","Customer Account Management - PIN","50","27","20320"<endrec>
"Organization Account Management - Secret Word and Language","3","203000000000010002","2014-03-20 14:45:11.251000","Organization Account Management - Secret Word and Language","203000000000013202","2016-03-09 03:16:37.688000","","1","","10019","Organization Account Management - Secret Word and Language","30","27","20321"<endrec>
"Organization Account Management - PIN","3","203000000000010002","2014-03-20 14:47:36.519000","Organization Account Management - PIN","203000000000021106","2017-09-07 16:10:09.338000","","0","","10020","Organization Account Management - PIN","50","27","20322"<endrec>
"Organization Account Management - Register Assistant","3","203000000000010002","2014-03-20 14:48:52.259000","Organization Account Management - Register Assistant","203000000000010002","2014-03-21 16:19:17.376000","","0","","10021","Organization Account Management - Register Assistant","30","27","20323"<endrec>
"Agent Store Customer Deposit","2","203000000000010002","2014-03-20 14:56:29.117000","Agent Store Customer Deposit","203000000000011204","2015-09-22 08:47:41.315000","","0","","10022","Agent Store Customer Deposit","50","20006","20324"<endrec>
"Agent Store Register Customer","3","203000000000010002","2014-03-20 15:09:54.022000","Agent Store Register Customer","203000000000010063","2014-10-25 18:04:34.879000","","0","","10023","Agent Store Register Customer","50","27","20326"<endrec>
"AgencyOrganizationMoveFunds","2","203000000000010002","2014-03-20 15:25:03.676000","Organization Funds Management - Move Funds","203000000000013109","2014-10-30 16:56:25.440000","","1","","10024","Organization Funds Management - Move Funds","50","20001","20327"<endrec>
"Organization Funds Management - Business Deposit","2","203000000000010002","2014-03-20 15:44:48.981000","Organization Funds Management - Business Deposit","203000000000011204","2015-10-21 08:04:00.970000","","0","","10025","Organization Funds Management - Business Deposit","50","20003","20328"<endrec>
