LOAD_DATA_TS,PROPERTY_CODE,PROPERTY_VALUE,SERVICE_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"2017-05-04 16:13:27.000000","Bank_Card_Service","1","937332882"<endrec>
"2017-05-19 09:39:40.000000","Bank_Card_Service","0","937342893"<endrec>
"2017-10-20 10:10:31.000000","Bank_Card_Service","1","937418191"<endrec>
"2017-11-06 09:48:52.000000","Bank_Card_Service","1","937423150"<endrec>
"2017-11-06 10:48:20.000000","Bank_Card_Service","1","937423158"<endrec>
"2017-11-22 07:24:27.000000","Bank_Card_Service","1","937430223"<endrec>
"2017-11-22 07:34:03.000000","Bank_Card_Service","0","937430225"<endrec>
"2017-11-29 02:49:21.000000","Bank_Card_Service","1","937433138"<endrec>
"2017-11-29 03:03:26.000000","Bank_Card_Service","1","937433141"<endrec>
"2017-11-29 03:04:36.000000","Bank_Card_Service","1","937433142"<endrec>
"2017-11-29 03:08:22.000000","Bank_Card_Service","1","937433143"<endrec>
"2017-11-29 08:11:44.000000","Bank_Card_Service","1","937433165"<endrec>
"2017-12-08 10:10:49.000000","Bank_Card_Service","1","937437157"<endrec>
"2017-12-12 12:58:31.000000","Bank_Card_Service","1","937437204"<endrec>
"2017-12-12 13:39:08.000000","Bank_Card_Service","0","937437210"<endrec>
"2018-01-02 12:45:52.000000","Bank_Card_Service","1","937448263"<endrec>
"2018-01-03 02:35:37.000000","Bank_Card_Service","1","937448269"<endrec>
"2018-01-05 04:41:09.000000","Bank_Card_Service","1","937450254"<endrec>
"2018-01-11 08:25:43.000000","Bank_Card_Service","1","937451351"<endrec>
"2018-01-19 10:12:46.000000","Bank_Card_Service","1","937456312"<endrec>
"2018-03-26 09:59:34.000000","Bank_Card_Service","1","937470777"<endrec>
"2018-03-26 10:27:23.000000","Bank_Card_Service","1","937470786"<endrec>
"2018-04-09 11:52:30.000000","Bank_Card_Service","1","937474596"<endrec>
"2018-07-31 04:03:52.000000","Bank_Card_Service","0","937515830"<endrec>
"2019-02-12 07:53:55.000000","Bank_Card_Service","0","937572778"<endrec>
"2016-04-18 05:45:54.000000","Extra_Parameters","FirstName","937197533"<endrec>
"2016-05-28 05:00:47.000000","Extra_Parameters","FirstName","937205697"<endrec>
"2017-08-24 10:06:56.000000","Extra_Parameters","Bill Number","937392765"<endrec>
"2017-08-25 09:05:56.000000","Extra_Parameters","Bill Number","937392811"<endrec>
"2017-08-25 09:14:24.000000","Extra_Parameters","Bill Number","937392812"<endrec>
"2017-08-25 09:18:05.000000","Extra_Parameters","Bill Number","937392814"<endrec>
"2017-11-20 13:41:47.000000","Extra_Parameters","Bill Number","937430195"<endrec>
"2017-12-08 09:17:24.000000","Extra_Parameters","Bill Number","937437151"<endrec>
"2018-01-12 07:21:28.000000","Extra_Parameters","Bill Number","937452263"<endrec>
"2018-01-12 08:06:36.000000","Extra_Parameters","Bill Number","937452272"<endrec>
"2018-01-31 09:51:16.000000","Extra_Parameters","Bill Number","937460415"<endrec>
"2018-02-19 11:52:17.000000","Extra_Parameters","Bill Number","937462484"<endrec>
"2018-04-06 09:32:41.000000","Extra_Parameters","Bill Number","937474570"<endrec>
"2018-04-25 10:43:59.000000","Extra_Parameters","Bill Number","937481641"<endrec>
"2018-04-25 11:34:47.000000","Extra_Parameters","Bill Number","937481647"<endrec>
"2018-04-26 13:12:57.000000","Extra_Parameters","Bill Number","937483565"<endrec>
"2018-04-27 09:08:34.000000","Extra_Parameters","Bill Number","937484589"<endrec>
"2018-05-15 15:23:16.000000","Extra_Parameters","Bill Number","937490644"<endrec>
"2018-05-24 11:07:59.000000","Extra_Parameters","Bill Number","937496703"<endrec>
"2018-05-28 10:35:49.000000","Extra_Parameters","Bill Number","937496734"<endrec>
"2018-06-20 03:28:51.000000","Extra_Parameters","Bill Number","937510096"<endrec>
"2018-07-23 05:20:00.000000","Extra_Parameters","Bill Number","937514888"<endrec>
"2018-07-23 05:25:10.000000","Extra_Parameters","Bill Number","937514889"<endrec>
"2018-07-23 05:33:03.000000","Extra_Parameters","Bill Number","937514890"<endrec>
"2018-07-23 09:18:08.000000","Extra_Parameters","Bill Number","937514892"<endrec>
"2018-07-23 11:17:25.000000","Extra_Parameters","Bill Number","937514899"<endrec>
"2018-09-06 09:25:25.000000","Extra_Parameters","RechargedMSISDN","937526731"<endrec>
"2018-11-05 09:41:55.000000","Extra_Parameters","Bill Number","937539960"<endrec>
"2018-11-06 11:18:48.000000","Extra_Parameters","Bill Number","937540727"<endrec>
"2019-02-28 07:11:44.000000","Extra_Parameters","Bill Number","937583776"<endrec>
"2019-03-11 05:28:06.000000","Extra_Parameters","Bill Number","937584761"<endrec>
"2019-03-28 23:30:36.000000","Extra_Parameters","Bill Number","937594769"<endrec>
"2019-04-06 20:21:31.000000","Extra_Parameters","Bill Number","937594818"<endrec>
"2016-12-19 07:50:53.000000","FOREIGN_EXCHANGE","0","937250683"<endrec>
"2017-01-25 03:01:29.000000","FOREIGN_EXCHANGE","1","937260715"<endrec>
"2017-01-25 03:03:33.000000","FOREIGN_EXCHANGE","1","937260716"<endrec>
"2017-01-25 03:05:50.000000","FOREIGN_EXCHANGE","1","937260717"<endrec>
"2017-01-25 03:06:47.000000","FOREIGN_EXCHANGE","1","937260718"<endrec>
"2017-01-25 05:24:22.000000","FOREIGN_EXCHANGE","1","937260731"<endrec>
"2017-01-25 05:25:46.000000","FOREIGN_EXCHANGE","1","937260732"<endrec>
"2017-01-25 05:27:02.000000","FOREIGN_EXCHANGE","1","937260733"<endrec>
"2017-01-25 05:28:14.000000","FOREIGN_EXCHANGE","1","937260734"<endrec>
"2017-01-26 20:16:02.000000","FOREIGN_EXCHANGE","1","937261692"<endrec>
"2017-01-26 20:16:31.000000","FOREIGN_EXCHANGE","1","937261693"<endrec>
"2017-01-26 20:16:59.000000","FOREIGN_EXCHANGE","1","937261694"<endrec>
"2017-01-26 20:17:18.000000","FOREIGN_EXCHANGE","1","937261695"<endrec>
"2017-01-26 20:17:47.000000","FOREIGN_EXCHANGE","1","937261696"<endrec>
"2017-01-26 20:18:08.000000","FOREIGN_EXCHANGE","1","937261698"<endrec>
"2017-02-09 10:20:40.000000","FOREIGN_EXCHANGE","1","937262902"<endrec>
"2017-03-02 19:06:31.000000","FOREIGN_EXCHANGE","1","937280003"<endrec>
"2017-03-03 11:02:51.000000","FOREIGN_EXCHANGE","1","937280827"<endrec>
"2017-03-03 11:06:05.000000","FOREIGN_EXCHANGE","1","937280828"<endrec>
"2017-03-03 11:07:50.000000","FOREIGN_EXCHANGE","1","937280829"<endrec>
"2017-03-03 11:09:08.000000","FOREIGN_EXCHANGE","1","937280830"<endrec>
"2017-03-03 11:12:39.000000","FOREIGN_EXCHANGE","1","937280831"<endrec>
"2017-03-08 03:03:16.000000","FOREIGN_EXCHANGE","1","937281847"<endrec>
"2017-10-25 05:09:34.000000","FOREIGN_EXCHANGE","1","937419120"<endrec>
"2017-10-25 05:41:03.000000","FOREIGN_EXCHANGE","1","937419126"<endrec>
"2018-09-11 12:11:42.000000","FOREIGN_EXCHANGE","1","937527751"<endrec>
"2018-09-11 12:21:10.000000","FOREIGN_EXCHANGE","1","937527752"<endrec>
"2018-10-12 04:16:10.000000","FOREIGN_EXCHANGE","1","937537725"<endrec>
"2018-10-12 04:17:28.000000","FOREIGN_EXCHANGE","1","937537726"<endrec>
"2018-10-18 10:14:17.000000","FOREIGN_EXCHANGE","1","937539741"<endrec>
"2018-10-18 10:41:26.000000","FOREIGN_EXCHANGE","1","937539746"<endrec>
"2018-10-23 08:20:57.000000","FOREIGN_EXCHANGE","1","937539811"<endrec>
"2018-10-23 08:55:35.000000","FOREIGN_EXCHANGE","1","937539815"<endrec>
"2018-10-23 12:16:01.000000","FOREIGN_EXCHANGE","1","937539823"<endrec>
"2019-10-15 06:40:15.000000","FOREIGN_EXCHANGE","1","937665090"<endrec>
"2015-12-09 09:07:15.000000","Need_Requester","1","937175382"<endrec>
"2015-12-09 09:07:54.000000","Need_Requester","0","937175383"<endrec>
"2015-12-17 06:45:59.000000","Need_Requester","0","937178423"<endrec>
"2015-12-17 13:16:28.000000","Need_Requester","0","937178433"<endrec>
"2015-12-17 14:46:20.000000","Need_Requester","0","937178434"<endrec>
"2016-04-20 14:05:38.000000","Need_Requester","0","937195568"<endrec>
"2016-04-18 05:45:54.000000","Need_Requester","1","937197533"<endrec>
"2016-05-28 05:00:47.000000","Need_Requester","1","937205697"<endrec>
"2016-08-10 12:20:02.000000","Need_Requester","1","937218750"<endrec>
"2016-10-13 08:40:56.000000","Need_Requester","0","937228552"<endrec>
"2016-10-13 08:50:10.000000","Need_Requester","0","937228553"<endrec>
"2017-02-22 02:18:00.000000","Need_Requester","1","937272818"<endrec>
"2017-03-01 11:55:23.000000","Need_Requester","1","937279951"<endrec>
"2017-04-11 06:26:00.000000","Need_Requester","0","937315865"<endrec>
"2017-05-16 08:25:39.000000","Need_Requester","0","937340878"<endrec>
"2017-05-16 08:48:06.000000","Need_Requester","0","937340881"<endrec>
"2017-06-23 05:19:04.000000","Need_Requester","1","937364036"<endrec>
"2017-06-28 12:12:23.000000","Need_Requester","0","937366333"<endrec>
"2017-07-14 12:43:07.000000","Need_Requester","0","937375483"<endrec>
"2017-08-15 10:14:53.000000","Need_Requester","0","937389587"<endrec>
"2017-08-16 07:41:03.000000","Need_Requester","0","937390574"<endrec>
"2017-08-16 11:55:27.000000","Need_Requester","0","937391579"<endrec>
"2018-01-18 07:59:37.000000","Need_Requester","1","937455384"<endrec>
"2018-03-23 08:21:33.000000","Need_Requester","1","937470739"<endrec>
"2018-03-27 11:12:54.000000","Need_Requester","1","937470860"<endrec>
"2018-03-27 11:15:05.000000","Need_Requester","1","937470861"<endrec>
"2019-05-22 12:18:52.000000","Need_Requester","1","937607776"<endrec>
"2018-01-18 07:59:37.000000","Payment_Method","4","937455384"<endrec>
"2015-12-10 12:16:59.000000","Reminder_Type","1","937175392"<endrec>
"2015-12-11 11:45:17.000000","Reminder_Type","1","937176393"<endrec>
"2015-12-15 13:41:15.000000","Reminder_Type","0","937178398"<endrec>
"2015-12-17 06:45:59.000000","Reminder_Type","1","937178423"<endrec>
"2015-12-17 07:01:11.000000","Reminder_Type","1","937178424"<endrec>
"2015-12-17 07:03:33.000000","Reminder_Type","1","937178425"<endrec>
"2015-12-17 12:52:03.000000","Reminder_Type","3","937178432"<endrec>
"2015-12-17 13:16:28.000000","Reminder_Type","3","937178433"<endrec>
"2015-12-17 14:46:20.000000","Reminder_Type","3","937178434"<endrec>
"2015-12-18 06:53:39.000000","Reminder_Type","3","937178437"<endrec>
"2015-12-18 07:53:31.000000","Reminder_Type","3","937178438"<endrec>
"2015-12-18 07:57:11.000000","Reminder_Type","3","937178439"<endrec>
"2015-12-18 10:43:38.000000","Reminder_Type","3","937178440"<endrec>
"2015-12-21 09:25:29.000000","Reminder_Type","3","937178450"<endrec>
"2015-12-21 10:28:23.000000","Reminder_Type","3","937178459"<endrec>
"2015-12-21 10:30:21.000000","Reminder_Type","2","937178460"<endrec>
"2015-12-25 08:35:49.000000","Reminder_Type","3","937178481"<endrec>
"2016-01-12 04:37:47.000000","Reminder_Type","3","937178674"<endrec>
"2016-01-21 03:03:30.000000","Reminder_Type","3","937179423"<endrec>
"2016-01-22 09:09:44.000000","Reminder_Type","3","937179431"<endrec>
"2016-01-26 10:44:43.000000","Reminder_Type","3","937179452"<endrec>
"2016-03-15 12:40:43.000000","Reminder_Type","3","937185540"<endrec>
"2016-04-07 10:34:02.000000","Reminder_Type","3","937192542"<endrec>
"2016-04-20 14:05:04.000000","Reminder_Type","3","937195567"<endrec>
"2016-04-20 14:05:38.000000","Reminder_Type","3","937195568"<endrec>
