CATALOG,CURRENCY,REASON_TYPE,TRANSACTION_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"1","GBP","10000219","20039"<endrec>
"2","GBP","10000220","20039"<endrec>
"3","GBP","10000221","20039"<endrec>
"4","GBP","10000222","20039"<endrec>
"1","TZS","10000219","20039"<endrec>
"2","TZS","10000220","20039"<endrec>
"3","TZS","10000221","20039"<endrec>
"4","TZS","10000222","20039"<endrec>
"2","TZS","10003439","20039"<endrec>
"1","TZS","10003639","20039"<endrec>
"2","TZS","10003640","20039"<endrec>
"1","USD","10000219","20039"<endrec>
"2","USD","10000220","20039"<endrec>
"3","USD","10000221","20039"<endrec>
"4","USD","10000222","20039"<endrec>
