AUTO_WF_SWITCH,CREATE_OPER_ID,CREATE_OPER_TIME,END_TIME,INTERVAL_TYPE,INTERVAL_VALUE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,MANUAL_WF_SWITCH,NOTIFICATION_ORG_ROLE,NOTIFICATION_SP_ROLE,NOTIFICATION_TYPE,PERIODIC_SWITCH,SETTLEMENT_PROFILE_DESC,SETTLEMENT_PROFILE_ID,SETTLEMENT_PROFILE_NAME,SP_NOTIFICATION_TYPE,START_TIME,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"0","203000000000010036","2014-07-05 10:53:19.949000","","1","1","203000000200002131","2015-05-01 23:23:17.850000","","1","500000000000010052","0","107000000000028033","1","Daily Settlement - Pay Bill","101","Daily Settlement - Pay Bill","0","","50","30071511"<endrec>
"0","203000000000010036","2014-07-05 10:55:48.163000","","2","1","203000000200002131","2015-05-01 23:49:52.674000","","1","500000000000010052","0","107000000000028033","1","Weekly Settlement - Pay Bill","102","Weekly Settlement - Pay Bill","0","","50","30071516"<endrec>
"0","203000000000010036","2014-07-05 10:54:05.659000","","3","1","203000000200002131","2015-05-01 23:48:12.861000","","1","500000000000010052","0","107000000000028033","1","Monthly Settlement - Pay Bill","103","Monthly Settlement - Pay Bill","0","","50","30071517"<endrec>
"0","203000000000010036","2014-07-05 10:55:25.812000","","","","203000000200002131","2015-05-01 23:49:15.496000","","1","500000000000010052","0","107000000000028033","0","Utility Trigger Balance - Pay Bill","104","Utility Trigger Balance - Pay Bill","0","","50","30071518"<endrec>
"0","203000000000010036","2014-07-05 10:51:58.718000","","","","203000000200002131","2015-05-01 23:21:35.493000","","1","500000000000010052","0","107000000000028033","0","Charges Paid Trigger Balance - Pay Bill","105","Charges Paid Trigger Balance - Pay Bill","0","","50","30071519"<endrec>
"0","203000000000010036","2014-07-05 10:54:29.965000","","","","203000000000010392","2015-04-21 02:29:58.025000","","1","500000000000010052","0","107000000000028033","0","Utility Account Maximun Balance - Pay Bill","106","Utility Account Maximun Balance - Pay Bill","0","","50","30071524"<endrec>
"0","203000000000010036","2014-08-19 17:58:42.359000","","","","203000000200002131","2015-05-01 23:20:52.576000","","1","500000000000010052","0","107000000000028033","0","Charges Paid Trigger Balance - Merchant","107","Charges Paid Trigger Balance - Merchant","0","","50","30071538"<endrec>
"0","203000000000010036","2014-08-19 17:59:12.659000","","1","1","203000000200002131","2015-05-01 23:22:42.564000","","1","500000000000010052","0","107000000000028033","1","Daily Settlement - Merchant","108","Daily Settlement - Merchant","0","","50","30071539"<endrec>
"0","203000000000010036","2014-08-19 18:00:06.443000","","3","1","203000000200002131","2015-05-01 23:47:41.009000","","1","500000000000010052","0","107000000000028033","1","Monthly Settlement - Merchant","109","Monthly Settlement - Merchant","0","","50","30071540"<endrec>
"0","203000000000010036","2014-08-19 17:59:42.771000","","","","203000000200002131","2015-05-01 23:51:23.409000","","1","500000000000010052","0","107000000000028033","0","Merchant Account Maximun Balance - Merchant","110","Merchant Account Maximun Balance - Merchant","0","","50","30071541"<endrec>
"0","203000000000010036","2014-08-19 17:59:54.554000","","","","203000000200002131","2015-05-01 23:52:26.666000","","1","500000000000010052","0","107000000000028033","0","Merchant Trigger Balance - Merchant","111","Merchant Trigger Balance - Merchant","0","","50","30071542"<endrec>
"0","203000000000010036","2014-08-19 18:00:31.523000","","2","1","203000000200002131","2015-05-01 23:49:32.927000","","1","500000000000010052","0","107000000000028033","1","Weekly Settlement - Merchant","112","Weekly Settlement - Merchant","0","","50","30071543"<endrec>
"0","203000000000010036","2014-08-19 17:59:31.066000","","1","1","203000000200002131","2015-05-01 23:23:51.050000","","1","500000000000010052","0","107000000000028033","1","Daily Settlement - Pay BillMerchant","113","Daily Settlement - Pay Bill and Merchant","0","","50","30076486"<endrec>
"0","203000000000010036","2014-08-19 18:00:44.069000","","2","1","203000000200002131","2015-05-01 23:47:06.542000","","1","500000000000010052","0","107000000000028033","1","Weekly Settlement - Pay BillMerchant","114","Weekly Settlement - Pay Bill And Merchant","0","","50","30076487"<endrec>
"0","203000000000010036","2014-08-19 18:00:18.647000","","3","1","203000000200002131","2015-05-01 23:47:49.058000","","1","500000000000010052","0","107000000000028033","1","Monthly Settlement - Pay BillMerchant","115","Monthly Settlement - Pay Bill And Merchant","0","","50","30076488"<endrec>
"0","203000000000010036","2014-08-19 17:58:55.273000","","","","203000000200002131","2015-05-01 23:22:11.887000","","1","500000000000010052","0","107000000000028033","0","Charges Paid Trigger Balance - Pay BillMerchant","117","Charges Paid Trigger Balance - Pay Bill And Merchant","0","","50","30076490"<endrec>
"0","203000000000010063","2014-10-10 16:42:31.961000","","","","203000000000010133","2014-10-11 14:33:25.031000","","1","500000000000010135","0","107000000000031032","0","M-Shwari Settlement","119","M-Shwari Settlement","0","","50","30104818"<endrec>
"0","203000000000010063","2014-10-10 16:49:58.412000","","","","203000000000010063","2014-10-10 17:43:16.673000","","1","500000000000010135","0","107000000000031032","0","M-Kesho Settlement","120","M-Kesho Settlement","0","","50","30104821"<endrec>
"0","203000000000010063","2014-10-11 14:29:50.140000","","","","203000000000010392","2015-04-21 02:31:57.844000","","1","500000000000010135","0","107000000000031032","0","M-Kesho Settlement","120","M-Kesho Settlement","0","","50","30104826"<endrec>
"0","203000000000010133","2014-10-11 14:33:18.953000","","","","203000000000010289","2015-04-15 21:35:38.907000","","1","500000000000010135","0","107000000000031032","0","M-Shwari Settlement","119","M-Shwari Settlement","0","","50","30105835"<endrec>
"0","203000000000010164","2014-11-13 18:59:50.540000","","1","1","203000000000010164","2014-11-22 17:13:23.649000","","1","500000000000010079","0","107000000000028033","1","MNO Settlement Profile","121","MNO Settlement Profile","0","","50","30120116"<endrec>
"0","203000000000010164","2014-11-22 17:13:17.561000","","1","1","203000000200002131","2015-05-01 23:47:30.416000","","1","500000000000010079","0","107000000000028033","1","MNO Settlement Profile","121","MNO Settlement Profile","0","","50","30129091"<endrec>
"0","203000000000010164","2014-11-24 16:05:37.564000","","","","203000000200002131","2015-05-01 23:48:56.029000","","1","500000000000010052","0","107000000000028033","0","Utility And Merchant Trigger Balance - Pay Bill And Merchant","122","Utility And Merchant Trigger Balance - Pay Bill And Merchant","0","","50","30130077"<endrec>
"0","203000000000010164","2014-11-24 16:22:39.057000","","","","203000000200002131","2015-05-01 23:48:27.118000","","1","500000000000010052","0","107000000000028033","0","Utility And Merchant Account Maximun Balance - Pay Bill And Merchant","123","Utility And Merchant Account Maximun Balance - Pay Bill And Merchant","0","","50","30130078"<endrec>
"0","203000000000010289","2015-04-15 21:35:18.685000","","","","203000000000010276","2015-04-15 22:51:35.774000","","1","500000000000010135","0","107000000000031032","0","M-Shwari Settlement","119","M-Shwari Settlement","0","","50","30178488"<endrec>
"0","203000000000010276","2015-04-15 22:51:27.386000","","","","203000000000010276","2015-04-16 16:24:46.623000","","1","500000000000010135","0","107000000000031032","0","M-Shwari Settlement","119","M-Shwari Settlement","0","","50","30178492"<endrec>
"0","203000000000010276","2015-04-16 16:24:39.397000","","","","203000000000010392","2015-04-21 02:31:09.537000","","1","500000000000010135","0","107000000000031032","0","M-Shwari Settlement","119","M-Shwari Settlement","0","","50","30178503"<endrec>
"0","203000000000010392","2015-04-21 02:29:47.138000","","","","203000000200002131","2015-05-01 23:48:20.500000","","1","500000000000010052","0","107000000000028033","0","Utility Account Maximun Balance - Pay Bill","106","Utility Account Maximun Balance - Pay Bill","0","","50","937125874"<endrec>
"0","203000000000010392","2015-04-21 02:30:59.532000","","","","203000000200002131","2015-05-01 23:50:36.912000","","1","500000000000010220","0","107000000000031032","0","M-Shwari Settlement","119","M-Shwari Settlement","0","","50","937125875"<endrec>
