ACCOUNT_TYPE,CURRENCY,FIXED_AMOUNT,FUNDING_SOURCE,LIABILITY_ORDER,LOAD_DATA_TS,MAX_MIN_BALANCE_TRIGGER,REASON_INDEX,SETTLEMENT_ACCOUNT_TYPE,SETTLEMENT_ACCOUNT_TYPE_ORDER,SETTLEMENT_DETAIL_ID,SETTLEMENT_PROFILE_UNIQUE_ID,SETTLEMENT_TRIGGER_BALANCE,SETTLEMENT_TYPE,TARGET_BALANCE,TRIGGER_SWITCH,TXN_INDEX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          <endrec>
"10011","TZS","","","","","0","10000230","10089","1","101","937125874","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","102","937125874","","4","0","0","20039"<endrec>
"10015","TZS","","","","","1","10000226","10089","","103","937125874","","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","104","937125874","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","105","937125875","","3","-9000000000","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","106","937125875","","4","-9000000000","0","20039"<endrec>
"10136","TZS","","","","","0","10000318","10089","1","107","937125875","0","1","500000000","0","20039"<endrec>
"10139","TZS","","","","","0","10000319","10089","","108","937125875","0","1","50000000","0","20039"<endrec>
"10138","TZS","","","1","","0","10000321","10089","","109","937125875","500000000","2","1500000000","1","20039"<endrec>
"10140","TZS","","","2","","0","10000320","10089","1","110","937125875","2000000000","2","2500000000","1","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","111","937125876","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","112","937125876","","4","0","0","20039"<endrec>
"10017","TZS","","","","","0","10000322","10089","","113","937125876","2000000000","1","1000000000","1","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","114","937125876","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","115","937131878","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","116","937131878","","4","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","","117","937131878","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","118","937131878","-100000000","2","0","1","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","119","937131879","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","120","937131879","","4","0","0","20039"<endrec>
"10015","TZS","","","","","0","10000226","10089","1","121","937131879","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","122","937131879","-100000000","2","0","1","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","123","937131880","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","124","937131880","","4","0","0","20039"<endrec>
"10015","TZS","","","","","0","10000226","10089","1","125","937131880","0","1","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","1","126","937131880","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","127","937131880","-100000000","2","0","1","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","128","937131881","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","129","937131881","","4","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","","130","937131881","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","131","937131881","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","132","937131882","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","133","937131882","","4","0","0","20039"<endrec>
"10015","TZS","","","","","0","10000226","10089","1","134","937131882","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","135","937131882","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","136","937131883","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","137","937131883","","4","0","0","20039"<endrec>
"10015","TZS","","","","","0","10000226","10089","1","138","937131883","0","1","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","1","139","937131883","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","140","937131883","0","2","0","0","20039"<endrec>
