APPLIED_SCENARIO,CATEGORY,ERROR_CODE,ERROR_DESCRIPTION,ERROR_DESCRIPTION_I18N_ID,LOAD_DATA_TS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"","COMMON","*","All failure.","",""<endrec>
"2","AG","AG45000","The access message is empty.","",""<endrec>
"2","AG","AG45001","The system does not support the requested service.","",""<endrec>
"2","AG","AG45006","Failed to parse the message.","",""<endrec>
"2","AG","AG45008","No parameter delimiter is found.","",""<endrec>
"2","AG","AG45009","Send message failed.","",""<endrec>
"2","AG","AG45010","Call service failed.","",""<endrec>
"2","AG","AG45011","AG service does not exist.","",""<endrec>
"2","AG","AG45016","Call RPC service failed.","",""<endrec>
"2","AG","AG45018","AG internal error.","",""<endrec>
"2","AG","AG45019","The initiator has no permission to access the service.","",""<endrec>
"2","AG","AG45020","Database error.","",""<endrec>
"2","AG","AG45021","Requests with the same OriginatorConversationID exist within a cycle.","",""<endrec>
"2","AG","AG45022","IP address verification failed.","",""<endrec>
"2","AG","AG45023","The parameters are invalid.","",""<endrec>
"2","AG","AG45024","The message format is incorrect.","",""<endrec>
"2","AG","AG45025","The third party does not exist.","",""<endrec>
"2","AG","AG45027","Duplicate request message.","",""<endrec>
"2","AG","AG45028","User name or password error.","",""<endrec>
"2","AG","AG45030","System overloaded.","",""<endrec>
"2","AG","AG45031","The message is already sent and cannot be sent again.","",""<endrec>
"2","AG","AG45032","The STK message times out.","",""<endrec>
"2","AG","AG45033","A time-out error occurred when an external service is invoked.","",""<endrec>
"2","AG","AG45035","The customer has no key.","",""<endrec>
"2","AG","AG45036","The organization has no key.","",""<endrec>
"2","AG","AG45039","MOM connection failed. Please check Condition Service configuration.","",""<endrec>
"2","AG","AG45040","The system is being maintained.","",""<endrec>
"2","AG","AG45041","The system is overloaded, resulting in abnormal response latency.","",""<endrec>
"2","AG","AG45042","The system is overloaded and cannot process new access requests.","",""<endrec>
"2","AG","AG45043","The conditions are not monotonically increasing.","",""<endrec>
"2","AG","AG45044","The service level condition does not exist.","",""<endrec>
"8","AG","AG45045","An encryption or decryption error occurred in the AG.","",""<endrec>
"2","AG","AG45101","Failed to update the STK sequence table.","",""<endrec>
"2","AG","AG45300","The {0} parameter is not supported.","",""<endrec>
"2","AG","AG45301","The {0} parameter is mandatory.","",""<endrec>
