LOAD_DATA_TS,PARAM_CATEGORY_CODE,PARAM_CODE,VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"","-1","ABNORMAL_STATUS_OF_ACCOUNT","1006,1007,1005,1000,1004"<endrec>
"","-1","ABNORMAL_STATUS_OF_IDENTITY","07,06,08,05,00,02,04"<endrec>
"","-1","ABNORMAL_STATUS_OF_SECURITY_CREDENTIAL","3,0,2"<endrec>
"","-1","ACCOUNT_NAME_MAX_LEGTH","50"<endrec>
"","-1","ACCUMULATOR_COMPLETE_TRANSACTIONS","17901"<endrec>
"","-1","ACCUMULATOR_FOR_RESUME_ORG_OP_CNS",""<endrec>
"","-1","ACTION_FOR_USSD_PUSHING_EXPIRED","2"<endrec>
"","-1","ACTIVE_TASK_SORT_TIME","CREATE_TIME_LATEST"<endrec>
"","-1","ACTIVITY_TRANSACTION_TYPES","all,27200,21504,21502,21501,21503,21500,20007"<endrec>
"","-1","ADMIN_FEE_AMOUNT","10"<endrec>
"","-1","ADMIN_FEE_CHARGE_DAY","10"<endrec>
"","-1","ADMIN_FEE_REASON_TYPE","10000009"<endrec>
"","-1","AG_BILL_CONFIRM_MAX_RESEND_DURATION","5"<endrec>
"","-1","AG_BILL_CONFIRM_MAX_RESEND_TIMES","3"<endrec>
"","-1","AG_BILL_CONFIRM_RESEND_INTERVAL","1"<endrec>
"","-1","AG_BILL_CONFIRM_RESEND_INTERVAL_MODE","1"<endrec>
"","-1","AG_BUY_GOODS_CONFIRM_MAX_RESEND_DURATION","1440"<endrec>
"","-1","AG_BUY_GOODS_CONFIRM_MAX_RESEND_TIMES","3"<endrec>
"","-1","AG_BUY_GOODS_CONFIRM_RESEND_INTERVAL","3"<endrec>
"","-1","AG_BUY_GOODS_CONFIRM_RESEND_INTERVAL_MODE","1"<endrec>
"","-1","AG_BUY_GOODS_PAYMENT_GW_URL","https://10.5.38.50:18323/cpsinterface/c2bpayment/CPSInterface_C2BPaymentValidationAndConfirmation"<endrec>
"","-1","AG_BUY_GOODS_VALIDATION_TIME_OUT","5"<endrec>
"","-1","AG_GOA_ENCRYPT_ALGORITHM","2"<endrec>
"","-1","AG_PAY_BILL_PAYMENT_GW_URL","https://10.5.38.50:18323/cpsinterface/c2bpayment/CPSInterface_C2BPaymentValidationAndConfirmation"<endrec>
"","-1","AG_PAY_BILL_VALIDATION_TIME_OUT","5"<endrec>
"","-1","AG_STK_23048_KIC","80"<endrec>
"","-1","AG_STK_23048_KID","80"<endrec>
"","-1","AG_STK_23048_MAX_SIZE","1000"<endrec>
"","-1","AG_STK_TAR","0x313131"<endrec>
"","-1","AG_WRITE_STK_LOG","1"<endrec>
"","-1","AG_WS_CLIENT_CERTIFICATE","0"<endrec>
"","-1","AG_WS_CLIENT_IPLIMIT","1"<endrec>
"","-1","AG_WS_CLIENT_SERIALNO_DURATION","1440"<endrec>
"","-1","AG_WS_CREDENTIAL_OBFUSCATION","0"<endrec>
"","-1","AG_WS_ENCRYPT_ALGORITHM","0"<endrec>
"","-1","AG_WS_ENCRYPT_ALGORITHM_CALLER","0"<endrec>
"","-1","AG_WS_MSG_MAX_RESEND_DURATION","5"<endrec>
"","-1","AG_WS_MSG_MAX_RESEND_INTERVAL","1"<endrec>
"","-1","AG_WS_MSG_MAX_RESEND_INTERVAL_MODE","1"<endrec>
"","-1","AG_WS_MSG_MAX_RESEND_TIMES","3"<endrec>
"","-1","AG_WS_REC_MSG","1"<endrec>
"","-1","AG_WS_RETURN_RESULT_MODE","0"<endrec>
"","-1","AG_WS_RSA_KEY_MINLEN","2048"<endrec>
"","-1","AG_WS_TIMESTAMP_PERIOD","0"<endrec>
"","-1","AIRTIME_NOTIFICATION",""<endrec>
"","-1","ALLOWABLE_CUSTOMER_TYPE_INVITED","1001"<endrec>
"","-1","ALLOWABLE_PICTURE_FILE_SUFFIX","jpeg|jpg"<endrec>
"","-1","ALLOW_CHANG_STATUS_TO_CLOSED","0"<endrec>
"","-1","ALLOW_MODIFY_PUBLIC","0"<endrec>
"","-1","ALLOW_MODIFY_SCHEMAAPI","1"<endrec>
"","-1","ALLOW_PENDING_ACTIVE_DORMANT","0"<endrec>
"","-1","AML_CHECKING_IS_ON","0"<endrec>
"","-1","AML_DOWNLOAD_RETRY_TIMES","5"<endrec>
"","-1","AML_MAX_DAY","7"<endrec>
"","-1","AML_WATCHLIST_SCREEN","1"<endrec>
"","-1","API_AIRTIME_PURCHASE_ACCOUNTID",""<endrec>
"","-1","API_AIRTIME_PURCHASE_TERMINALID",""<endrec>
"","-1","API_AIRTIME_PURCHASE_USERID",""<endrec>
"","-1","API_Airtime_Purchase_AccountID","1"<endrec>
"","-1","API_Airtime_Purchase_Password","+y8OScPHPGaVCrcI4lRyIg=="<endrec>
"","-1","API_Airtime_Purchase_TerminalID","1"<endrec>
"","-1","API_Airtime_Purchase_UserID","MPESA_G2"<endrec>
